Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
675218,675218,0,,669027,669058,0,,656649,656680,0,,599369,599398,0,,2600263,2600354,0,665667328,665690624,3572786,0,0,0,
679747,679747,0,,673867,673865,0,,661644,661645,0,,603817,603820,0,,2619075,2619077,0,670483200,670484736,3630555,0,0,0,
679707,679707,0,,673149,673152,0,,660779,660778,0,,604675,604675,0,,2618310,2618312,0,670287360,670292992,3631498,0,0,0,
679969,679969,0,,673547,673547,0,,660488,660489,0,,603359,603359,0,,2617363,2617364,0,670044928,670040576,3632361,0,0,0,
679733,679733,0,,673122,673122,0,,661200,661200,0,,604318,604318,0,,2618373,2618373,0,670303488,670305536,3631346,0,0,0,
679691,679691,0,,673609,673606,0,,660240,660240,0,,603819,603819,0,,2617359,2617356,0,670043904,670043136,3632386,0,0,0,
680738,680738,0,,673741,673744,0,,661591,661591,0,,603281,603281,0,,2619351,2619354,0,670553856,670568704,3630600,0,0,0,
679823,679823,0,,673604,673604,0,,661162,661162,0,,604136,604136,0,,2618725,2618725,0,670393600,670383360,3631151,0,0,0,
679779,679779,0,,673787,673787,0,,660034,660034,0,,603092,603091,0,,2616692,2616691,0,669873152,669872384,3633044,0,0,0,
679881,679881,0,,673147,673147,0,,661629,661629,0,,603890,603891,0,,2618547,2618548,0,670348032,670346752,3631333,0,0,0,
679825,679825,0,,673485,673485,0,,660258,660258,0,,603097,603097,0,,2616665,2616665,0,669866240,669870336,3633113,0,0,0,
680450,680450,0,,673055,673055,0,,659679,659677,0,,603067,603067,0,,2616251,2616249,0,669760256,669750528,3633467,0,0,0,
680156,680156,0,,673656,673653,0,,660789,660789,0,,603903,603902,0,,2618504,2618500,0,670344704,670340352,3631476,0,0,0,
679939,679939,0,,673757,673760,0,,661098,661100,0,,604295,604296,0,,2619089,2619095,0,670479104,670489344,3630741,0,0,0,
680666,680666,0,,673651,673648,0,,660460,660460,0,,602933,602933,0,,2617710,2617707,0,670133760,670130432,3632214,0,0,0,
679856,679856,0,,673202,673204,0,,661438,661438,0,,604232,604232,0,,2618728,2618730,0,670394368,670394368,3630963,0,0,0,
680755,680755,0,,673095,673094,0,,660533,660533,0,,603811,603809,0,,2618194,2618191,0,670257664,670255616,3631577,0,0,0,
34676,34676,0,,34424,34394,0,,33934,33902,0,,31749,31719,0,,134783,134691,0,34504448,34479616,141563,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
489146,489146,0,,482665,482697,0,,473944,473976,0,,434318,434350,0,,1880073,1880169,0,481298688,481328896,327399,0,0,0,
680263,680263,0,,672884,672883,0,,662270,662270,0,,603379,603379,0,,2618796,2618795,0,670411776,670415360,502225,0,0,0,
680368,680368,0,,673433,673434,0,,660621,660618,0,,603783,603781,0,,2618205,2618201,0,670275584,670268672,502482,0,0,0,
679490,679490,0,,674387,674387,0,,661285,661288,0,,604129,604130,0,,2619291,2619295,0,670523392,670524928,502253,0,0,0,
680819,680819,0,,673653,673653,0,,660697,660697,0,,603513,603513,0,,2618682,2618682,0,670382592,670391296,501776,0,0,0,
679528,679528,0,,674071,674068,0,,661133,661133,0,,603921,603922,0,,2618653,2618651,0,670375168,670369792,502328,0,0,0,
679535,679535,0,,674136,674139,0,,662089,662088,0,,604104,604102,0,,2619864,2619864,0,670685184,670678528,500659,0,0,0,
680746,680746,0,,673171,673171,0,,660490,660491,0,,604512,604514,0,,2618919,2618922,0,670443264,670452736,501844,0,0,0,
679849,679849,0,,674004,674004,0,,661172,661172,0,,603328,603328,0,,2618353,2618353,0,670298368,670299648,502824,0,0,0,
679494,679494,0,,673834,673834,0,,661916,661915,0,,604093,604093,0,,2619337,2619336,0,670550272,670546944,501973,0,0,0,
679721,679721,0,,673491,673491,0,,661772,661770,0,,603784,603784,0,,2618768,2618766,0,670404608,670401024,501236,0,0,0,
680838,680838,0,,672701,672701,0,,661517,661520,0,,604173,604173,0,,2619229,2619232,0,670522624,670520320,501994,0,0,0,
679554,679554,0,,673279,673279,0,,661821,661821,0,,603893,603893,0,,2618547,2618547,0,670348032,670361088,502271,0,0,0,
680680,680680,0,,673652,673652,0,,660975,660975,0,,603522,603520,0,,2618829,2618827,0,670420224,670413056,502045,0,0,0,
680421,680421,0,,672608,672608,0,,660829,660829,0,,603836,603835,0,,2617694,2617693,0,670129664,670129152,502709,0,0,0,
680150,680150,0,,673893,673892,0,,661623,661622,0,,603941,603944,0,,2619607,2619608,0,670635264,670643712,501498,0,0,0,
679698,679698,0,,673096,673097,0,,661032,661033,0,,604375,604375,0,,2618201,2618203,0,670243584,670238720,502603,0,0,0,
211794,211794,0,,208883,208851,0,,205494,205462,0,,188482,188450,0,,814653,814557,0,208551168,208515584,150650,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
219730,219730,0,,204691,204691,0,,213555,213555,0,,240842,240842,0,,878818,878818,0,224977408,224977408,0,0,0,0,
391493,391493,0,,367332,367332,0,,377188,377188,0,,424375,424375,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
391736,391736,0,,366795,366795,0,,378526,378526,0,,423331,423331,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
390692,390692,0,,366439,366439,0,,377962,377962,0,,425295,425295,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
390450,390450,0,,366887,366887,0,,378590,378590,0,,424491,424491,0,,1560418,1560418,0,399467008,399469056,0,0,0,0,
389835,389835,0,,366519,366519,0,,378633,378633,0,,425496,425515,0,,1560483,1560502,0,399483648,399486464,0,0,0,0,
390615,390615,0,,366176,366176,0,,378576,378576,0,,425054,425035,0,,1560421,1560402,0,399467776,399462912,0,0,0,0,
389954,389954,0,,366710,366710,0,,378492,378494,0,,425230,425230,0,,1560386,1560388,0,399459328,399459328,0,0,0,0,
390697,390697,0,,366633,366633,0,,378204,378202,0,,424856,424856,0,,1560390,1560388,0,399459328,399459328,0,0,0,0,
390107,390107,0,,366276,366276,0,,377863,377863,0,,426142,426142,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
390976,390976,0,,365975,365975,0,,378614,378614,0,,424823,424823,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
390873,390873,0,,366473,366473,0,,377892,377892,0,,425150,425150,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
390845,390845,0,,365571,365571,0,,378885,378885,0,,425087,425087,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
391170,391170,0,,365948,365958,0,,378688,378699,0,,424653,424684,0,,1560459,1560511,0,399480320,399490816,0,0,0,0,
390801,390801,0,,366326,366316,0,,378543,378532,0,,424775,424744,0,,1560445,1560393,0,399471104,399460608,0,0,0,0,
391235,391235,0,,365916,365916,0,,378342,378342,0,,424895,424895,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
391322,391322,0,,366392,366392,0,,377799,377799,0,,424875,424875,0,,1560388,1560388,0,399459328,399459328,0,0,0,0,
219618,219618,0,,207299,207299,0,,212305,212305,0,,239084,239084,0,,878306,878306,0,224846336,224846336,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
121523,121523,0,,115047,115049,0,,122983,122983,0,,139364,139389,0,,498917,498944,0,127723264,127729664,0,0,0,0,
588696,588696,0,,549016,549033,0,,567416,567439,0,,636199,636186,0,,2341327,2341354,0,599379200,599386624,0,0,0,0,
587535,587535,0,,550295,550276,0,,566763,566740,0,,636807,636795,0,,2341400,2341346,0,599398400,599384576,0,0,0,0,
587911,587911,0,,549328,549347,0,,567712,567712,0,,636383,636411,0,,2341334,2341381,0,599386368,599397632,0,0,0,0,
