Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1984552,1984552,0,,1997552,1997523,0,,3982104,3982075,0,764563968,764565312,3487708,0,0,0,
1984015,1984015,0,,1995388,1995420,0,,3979403,3979435,0,764045376,764045184,3490610,0,0,0,
1984208,1984208,0,,1997744,1997744,0,,3981952,3981952,0,764540928,764542848,3487990,0,0,0,
1982336,1982336,0,,1995371,1995368,0,,3977707,3977704,0,763719168,763709952,3492325,0,0,0,
1985516,1985516,0,,1999084,1999087,0,,3984600,3984603,0,765037632,765044736,3485403,0,0,0,
1983646,1983646,0,,1997183,1997183,0,,3980829,3980829,0,764319168,764323968,3489194,0,0,0,
1983174,1983174,0,,1997406,1997406,0,,3980580,3980580,0,764277504,764273280,3489345,0,0,0,
1982144,1982144,0,,1996053,1996052,0,,3978197,3978196,0,763813632,763816320,3491805,0,0,0,
1987388,1987388,0,,1998959,1998960,0,,3986347,3986348,0,765372672,765369216,3483584,0,0,0,
1982456,1982456,0,,1994160,1994160,0,,3976616,3976616,0,763510272,763514880,3493354,0,0,0,
1986974,1986974,0,,1999704,1999704,0,,3986678,3986678,0,765442176,765442944,3483450,0,0,0,
1984735,1984735,0,,1998624,1998624,0,,3983359,3983359,0,764804928,764803968,3486592,0,0,0,
1981714,1981714,0,,1995272,1995272,0,,3976986,3976986,0,763581312,763589184,3492920,0,0,0,
1982782,1982782,0,,1994495,1994492,0,,3977277,3977274,0,763637184,763632576,3492659,0,0,0,
1986432,1986432,0,,1999953,1999924,0,,3986385,3986356,0,765385920,765378240,3483674,0,0,0,
1982939,1982939,0,,1996449,1996481,0,,3979388,3979420,0,764042496,764043072,3490518,0,0,0,
1984732,1984732,0,,1998731,1998731,0,,3983463,3983463,0,764824896,764824320,3486553,0,0,0,
1982904,1982904,0,,1994268,1994268,0,,3977172,3977172,0,763623168,763628544,3492767,0,0,0,
803068,803068,0,,808316,808284,0,,1611384,1611352,0,309379584,309367296,1397581,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1605080,1605080,0,,1605078,1605110,0,,3210158,3210190,0,616350336,616363008,0,0,0,0,
1867688,1867688,0,,1867686,1867686,0,,3735374,3735374,0,717191808,717187008,0,0,0,0,
1867696,1867696,0,,1867700,1867700,0,,3735396,3735396,0,717196032,717198144,0,0,0,0,
1867656,1867656,0,,1867656,1867656,0,,3735312,3735312,0,717179904,717180864,0,0,0,0,
1867688,1867688,0,,1867688,1867688,0,,3735376,3735376,0,717192192,717192000,0,0,0,0,
