Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2877990,2877990,0,,2632723,2632726,0,,3338752,3338745,0,,2721923,2721920,0,,2780717,2780701,0,,2756404,2756404,0,,2974840,2974839,0,,20083349,20083325,0,3855996672,3855997632,211,0,0,0,
2877763,2877763,0,,2628638,2628635,0,,3335772,3335772,0,,2720034,2720031,0,,2789260,2789257,0,,2753880,2753880,0,,2978062,2978067,0,,20083409,20083405,0,3856015872,3856009152,188,0,0,0,
2879922,2879922,0,,2626550,2626555,0,,3336851,3336869,0,,2724584,2724585,0,,2784982,2784988,0,,2753576,2753576,0,,2976777,2976772,0,,20083242,20083267,0,3855986688,3855986880,282,0,0,0,
2877202,2877202,0,,2632856,2632866,0,,3336677,3336670,0,,2721114,2721117,0,,2782616,2782615,0,,2757268,2757268,0,,2975388,2975393,0,,20083121,20083131,0,3855963264,3855971904,315,0,0,0,
2881000,2881000,0,,2627010,2626995,0,,3335750,3335739,0,,2718279,2718282,0,,2791823,2791828,0,,2752736,2752736,0,,2977095,2977094,0,,20083693,20083674,0,3856060032,3856059648,0,0,0,0,
2877147,2877147,0,,2629791,2629791,0,,3339162,3339192,0,,2724292,2724285,0,,2781267,2781257,0,,2754891,2754891,0,,2976626,2976622,0,,20083176,20083185,0,3855973248,3855964800,359,0,0,0,
2876008,2876008,0,,2630307,2630313,0,,3335588,3335558,0,,2720488,2720494,0,,2787031,2787041,0,,2756205,2756205,0,,2977166,2977166,0,,20082793,20082785,0,3855894720,3855897024,796,0,0,0,
2881678,2881678,0,,2626224,2626220,0,,3336345,3336354,0,,2722079,2722073,0,,2787667,2787657,0,,2752636,2752636,0,,2976419,2976419,0,,20083048,20083037,0,3855945408,3855948672,477,0,0,0,
2877693,2877693,0,,2632069,2632067,0,,3339159,3339150,0,,2721996,2721996,0,,2781067,2781068,0,,2756000,2756000,0,,2975173,2975173,0,,20083157,20083147,0,3855963456,3855958272,410,0,0,0,
2877489,2877489,0,,2629341,2629341,0,,3335861,3335861,0,,2720036,2720059,0,,2788720,2788719,0,,2754014,2754014,0,,2977724,2977724,0,,20083185,20083207,0,3855974400,3855974208,393,0,0,0,
2879190,2879190,0,,2625901,2625901,0,,3336606,3336631,0,,2724683,2724666,0,,2785632,2785640,0,,2753580,2753590,0,,2976870,2976874,0,,20082462,20082492,0,3855839424,3855840960,1037,0,0,0,
2877215,2877215,0,,2633529,2633533,0,,3336949,3336928,0,,2720809,2720803,0,,2782558,2782555,0,,2756948,2756941,0,,2975289,2975290,0,,20083297,20083265,0,3855990528,3855992448,279,0,0,0,
2880808,2880808,0,,2626830,2626827,0,,3335518,3335517,0,,2718174,2718174,0,,2791348,2791344,0,,2753348,2753351,0,,2977059,2977054,0,,20083085,20083075,0,3855945792,3855942144,512,0,0,0,
2877146,2877146,0,,2629612,2629611,0,,3339078,3339086,0,,2724420,2724420,0,,2781728,2781727,0,,2754489,2754483,0,,2976978,2976978,0,,20083451,20083451,0,3856022400,3856022400,105,0,0,0,
2876683,2876683,0,,2630372,2630384,0,,3336093,3336085,0,,2720435,2720443,0,,2786403,2786411,0,,2756302,2756314,0,,2976861,2976861,0,,20083149,20083181,0,3855974208,3855974208,402,0,0,0,
2881925,2881925,0,,2626503,2626491,0,,3335495,3335492,0,,2722030,2722022,0,,2788226,2788218,0,,2752977,2752966,0,,2976355,2976356,0,,20083511,20083470,0,3856025472,3856025856,0,0,0,0,
2877949,2877949,0,,2631504,2631504,0,,3339202,3339202,0,,2722060,2722060,0,,2781087,2781087,0,,2755894,2755893,0,,2975597,2975596,0,,20083293,20083291,0,3855989184,3855991104,308,0,0,0,
2877212,2877212,0,,2629866,2629866,0,,3336418,3336418,0,,2720205,2720205,0,,2788389,2788389,0,,2754070,2754070,0,,2977378,2977378,0,,20083538,20083538,0,3856039296,3856036992,64,0,0,0,
