Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Lcore 7,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
3453517,3791156,337639,,3419834,3424905,5056,,3452942,3749430,296488,,3470353,3723794,253439,,3444656,3664026,219356,,3434477,3572818,138310,,3454855,3545319,90464,,3458925,3965621,506697,,27589559,29437069,1847449,5297203008,5651913024,687933,0,0,0,
3453690,3791290,337600,,3419739,3424740,5019,,3452688,3749396,296704,,3470125,3723230,253104,,3446862,3665909,219054,,3433652,3574250,140600,,3454598,3545516,90919,,3459235,3968961,509724,,27590589,29443292,1852724,5297390016,5653122240,681030,0,0,0,
3453459,3792081,338622,,3419240,3424121,4863,,3452313,3749662,297336,,3470250,3724200,253979,,3446085,3665265,219155,,3433713,3564000,130285,,3454515,3545424,90913,,3459605,3967535,507962,,27589180,29432288,1843115,5297128704,5651002752,694560,0,0,0,
3452485,3789092,336607,,3418983,3424459,5491,,3452752,3749149,296382,,3470423,3722909,252481,,3445848,3665975,220127,,3433578,3576915,143336,,3453709,3544215,90530,,3459376,3967282,507874,,27587154,29439996,1852828,5296730304,5652471168,682322,0,0,0,
3454070,3791266,337196,,3420147,3425021,4869,,3453517,3750239,296722,,3470315,3724155,253818,,3447191,3666038,218847,,3432983,3574468,141485,,3455405,3544735,89301,,3459326,3968436,509113,,27592954,29444358,1851351,5297846784,5653324416,680983,0,0,0,
3454230,3789056,334826,,3420157,3425172,4991,,3453590,3748948,295390,,3470427,3722666,252256,,3446769,3665766,218997,,3433240,3576538,143298,,3454570,3544903,90333,,3458333,3968346,510010,,27591316,29441395,1850101,5297535744,5652746880,683817,0,0,0,
3454736,3791735,336999,,3419977,3424878,4932,,3453797,3749270,295473,,3470582,3721849,251280,,3446459,3666177,219750,,3432734,3571582,138880,,3454558,3544312,89786,,3460058,3966593,506535,,27592901,29436396,1843635,5297821248,5651803584,688519,0,0,0,
3453319,3789732,336413,,3421253,3425974,4690,,3452464,3749804,297324,,3469732,3723286,253546,,3445542,3665932,220358,,3433995,3545753,111754,,3454051,3544325,90267,,3459095,3962318,503223,,27589451,29407124,1817575,5297180928,5646143808,716306,0,0,0,
3454434,3791105,336671,,3420225,3425123,4929,,3452768,3749982,297198,,3470368,3724604,254244,,3446815,3665201,218418,,3433518,3573681,140166,,3454491,3544885,90401,,3459571,3969354,509783,,27592190,29443935,1851810,5297707968,5653241472,682658,0,0,0,
3453483,3789107,335624,,3419730,3424470,4736,,3452907,3750132,297228,,3470258,3723272,253011,,3445431,3663653,218216,,3433818,3575263,141443,,3455382,3544936,89538,,3460914,3967216,506302,,27591923,29438049,1846098,5297639424,5652104448,685382,0,0,0,
3454272,3789695,335423,,3420444,3425056,4613,,3453043,3749261,296242,,3469884,3722171,252285,,3446283,3665338,219053,,3433373,3575452,142050,,3454423,3543979,89566,,3459216,3968160,508947,,27590938,29439112,1848179,5297466432,5652304896,687498,0,0,0,
3453674,3791141,337467,,3420783,3425502,4692,,3453724,3750154,296403,,3469793,3723054,253234,,3446520,3665398,218854,,3433383,3575740,142389,,3454689,3544648,89933,,3459728,3968927,509196,,27592294,29444564,1852168,5297721024,5653368192,678139,0,0,0,
3454917,3790392,335475,,3419908,3424804,4896,,3452807,3750919,298144,,3470030,3723603,253574,,3447083,3665948,218865,,3433828,3561912,128084,,3454950,3544788,89839,,3459567,3966849,507282,,27593090,29429215,1836159,5297870400,5650410048,696039,0,0,0,
3451658,3789423,337765,,3420321,3424903,4604,,3452180,3750988,298778,,3470120,3723609,253507,,3446382,3666545,220163,,3433199,3572358,139127,,3455677,3545217,89539,,3458437,3969842,511405,,27587974,29442885,1854888,5296905216,5653031232,681286,0,0,0,
3453014,3790030,337016,,3420361,3425402,5046,,3452984,3749885,296899,,3470787,3724211,253437,,3446803,3666738,219935,,3434012,3574812,140832,,3454579,3544193,89646,,3458988,3969603,510615,,27591528,29444874,1853426,5297557632,5653408512,680575,0,0,0,
3453508,3790222,336714,,3421699,3426068,4341,,3454106,3749656,295582,,3470074,3723699,253593,,3447299,3666302,219005,,3433865,3573036,139139,,3456489,3545161,88668,,3461042,3968661,507622,,27598082,29442805,1844664,5298840768,5653020288,682048,0,0,0,
3453830,3789820,335990,,3420820,3425552,4764,,3453923,3751013,297058,,3470297,3723779,253483,,3446928,3665509,218590,,3433584,3575432,141880,,3455255,3544540,89257,,3460129,3970092,509963,,27594766,29445737,1850985,5298193728,5653579776,679585,0,0,0,
3451767,3789358,337591,,3420041,3424809,4768,,3453097,3749617,296550,,3469955,3724908,254952,,3446195,3664766,218582,,3433885,3575065,141148,,3455134,3545235,90117,,3460748,3967712,506961,,27590822,29441470,1850669,5297435712,5652759552,681864,0,0,0,
3452617,3790426,337809,,3420172,3424836,4635,,3453156,3749748,296592,,3470330,3723552,253223,,3447049,3666250,219206,,3433985,3577482,143497,,3455268,3545577,90296,,3459604,3968008,508404,,27592181,29445879,1853662,5297704704,5653609152,680104,0,0,0,
3453854,3789347,335493,,3419815,3424245,4444,,3454323,3749073,294740,,3471364,3723846,252506,,3448027,3666293,218242,,3433546,3577233,143687,,3456229,3545244,89041,,3460446,3967672,507226,,27597604,29442953,1845379,5298729408,5653048128,681940,0,0,0,
3453446,3790151,336705,,3419112,3424143,5046,,3453065,3749068,296015,,3471069,3723733,252671,,3447282,3665438,218153,,3433290,3576828,143538,,3454242,3544252,90013,,3459209,3969280,510071,,27590715,29442893,1852212,5297412288,5653040832,681939,0,0,0,
3453666,3787894,334228,,3420917,3425280,4363,,3455050,3749546,294484,,3471437,3723462,251995,,3447101,3665317,218216,,3433977,3577427,143451,,3456732,3544794,88056,,3460786,3969004,508250,,27599666,29442724,1843043,5299136256,5653007040,682123,0,0,0,
3454235,3788673,334438,,3420795,3425011,4215,,3454373,3748388,293995,,3471496,3723065,251595,,3448002,3666580,218578,,3434503,3577161,142671,,3455766,3545013,89223,,3460889,3967462,506541,,27600059,29441353,1841256,5299212672,5652728640,684465,0,0,0,
3454131,3789117,334986,,3420246,3425028,4751,,3454007,3749619,295644,,3470850,3721864,251008,,3447413,3666618,219205,,3433720,3575475,141773,,3455692,3544251,88580,,3460603,3967386,506783,,27596662,29439358,1842730,5298563712,5652365376,683933,0,0,0,
3453320,3789398,336078,,3421504,3426121,4620,,3453804,3750044,296208,,3470025,3724596,254579,,3445939,3666415,220476,,3432265,3574383,142112,,3455624,3544373,88727,,3459583,3969292,509709,,27592064,29444622,1852509,5297683776,5653358016,681563,0,0,0,
3453689,3788739,335050,,3420059,3424857,4827,,3453117,3749254,296137,,3471195,3724397,253200,,3447112,3664866,217785,,3433456,3575971,142518,,3455371,3544936,89564,,3460241,3967989,507748,,27594240,29441009,1846829,5298082560,5652680448,683548,0,0,0,
3452895,3788608,335713,,3419495,3424393,4894,,3453572,3748777,295205,,3470490,3722876,252390,,3446036,3665430,219395,,3434326,3555032,120707,,3455638,3544670,89062,,3459371,3968119,508750,,27591823,29417905,1826116,5297627328,5648229696,705649,0,0,0,
3454195,3791309,337114,,3420529,3425209,4681,,3453972,3749638,295698,,3470668,3722516,251845,,3447108,3665669,218561,,3433348,3575629,142270,,3454792,3544220,89398,,3459197,3969079,509880,,27593809,29443269,1849447,5298010560,5653111680,683403,0,0,0,
3453167,3789293,336126,,3420517,3425797,5252,,3454160,3749677,295513,,3470521,3723649,253101,,3447257,3665379,218091,,3435103,3569064,133974,,3455098,3544467,89399,,3459897,3964843,504946,,27595720,29432169,1836402,5298378240,5650972608,690737,0,0,0,
3454176,3791430,337254,,3419660,3424771,5110,,3453566,3750670,297076,,3470971,3723832,252859,,3446621,3665910,219288,,3433957,3575919,141958,,3455806,3544949,89113,,3460055,3969637,509583,,27594812,29447118,1852241,5298209280,5653846080,678294,0,0,0,
3452126,3788320,336194,,3419788,3424905,5118,,3452154,3750256,298102,,3469983,3723598,253615,,3447094,3665726,218634,,3432287,3574179,141864,,3455458,3545074,89648,,3459711,3967405,507696,,27588601,29439463,1850871,5297018688,5652382848,684006,0,0,0,
3453487,3790710,337223,,3420531,3425269,4766,,3453711,3750266,296555,,3470769,3723909,253170,,3447004,3666102,219096,,3435270,3558266,122996,,3455433,3544194,88733,,3459699,3968013,508311,,27595904,29426729,1830850,5298401088,5649929088,698540,0,0,0,
3452704,3790192,337488,,3421513,3426112,4599,,3453580,3750745,297165,,3470501,3724502,253971,,3446407,3665661,219256,,3433204,3576582,143403,,3455023,3545183,90187,,3459394,3967044,507651,,27592326,29446021,1853720,5297738880,5653639104,678863,0,0,0,
3453625,3790536,336911,,3420135,3425386,5238,,3453212,3750086,296906,,3470637,3725011,254374,,3446580,3665781,219221,,3434087,3576389,142284,,3455431,3544576,89114,,3459911,3967864,507955,,27593618,29445629,1852003,5297968128,5653553280,679586,0,0,0,
3452368,3790336,337968,,3420289,3424815,4538,,3453360,3749670,296292,,3470530,3722804,252274,,3445595,3664325,218740,,3434960,3577872,142937,,3456255,3545297,89043,,3460640,3969807,509164,,27593997,29444926,1850956,5298050688,5653452864,678072,0,0,0,
3454778,3791944,337166,,3419866,3424704,4842,,3453565,3749151,295588,,3470621,3723567,252948,,3446695,3664749,218030,,3434383,3577093,142678,,3455665,3545692,90046,,3460515,3967173,506658,,27596088,29444073,1847956,5298449472,5653236864,682796,0,0,0,
3451879,3789051,337172,,3419445,3424350,4892,,3452482,3748421,295955,,3470289,3723413,253122,,3447992,3666593,218625,,3434477,3565993,131548,,3454722,3545062,90352,,3459765,3968031,508267,,27591051,29430914,1839933,5297477952,5650743936,692102,0,0,0,
3454661,3790840,336179,,3419681,3424211,4526,,3453968,3748971,295002,,3470145,3722717,252604,,3447309,3665777,218436,,3433921,3577960,144007,,3455019,3544338,89307,,3460218,3968045,507826,,27594922,29442859,1847887,5298226560,5653021440,683371,0,0,0,
3453369,3788017,334648,,3420148,3425104,4966,,3454665,3749246,294550,,3471132,3722982,251844,,3446918,3666076,219158,,3434369,3576174,141805,,3455410,3544530,89132,,3460137,3970824,510687,,27596148,29442953,1846790,5298454080,5653048128,680478,0,0,0,
3454207,3791179,336972,,3420046,3425006,4967,,3453334,3748637,295333,,3470287,3724091,253809,,3446465,3666056,219591,,3434315,3577937,143625,,3455674,3545103,89426,,3459328,3967110,507784,,27593656,29445119,1851507,5297981952,5653463808,681846,0,0,0,
3452998,3788265,335267,,3420583,3425376,4761,,3453306,3749736,296400,,3470826,3722630,251792,,3446925,3666676,219753,,3433235,3575909,142686,,3455246,3544132,88889,,3460058,3969473,509416,,27593177,29442197,1848964,5297904000,5652904320,680114,0,0,0,
3454949,3791091,336142,,3420600,3425956,5356,,3453874,3748704,294832,,3470768,3723020,252265,,3447250,3666730,219481,,3433183,3574613,141443,,3455680,3544512,88816,,3460120,3966735,506612,,27596424,29441361,1844947,5298513792,5652744000,686678,0,0,0,
3452490,3788014,335524,,3419847,3424683,4863,,3452962,3749575,296611,,3469418,3723177,253752,,3445885,3664705,218835,,3433574,3576262,142690,,3455333,3545001,89652,,3459598,3966955,507389,,27589107,29438372,1849316,5297101824,5652171456,684569,0,0,0,
3453433,3789303,335870,,3419567,3424340,4778,,3453046,3749772,296726,,3469663,3723701,254031,,3444573,3663941,219379,,3432937,3576074,143139,,3453918,3544432,90523,,3459667,3967368,507669,,27586804,29438931,1852115,5296660416,5652263616,684929,0,0,0,
3453999,3790838,336839,,3420068,3425247,5161,,3452841,3749539,296698,,3470137,3723995,253869,,3445801,3665796,219998,,3433682,3576623,142941,,3454555,3544482,89918,,3459025,3971390,512367,,27590108,29447910,1857791,5297299968,5653997568,678317,0,0,0,
3452889,3790136,337247,,3420988,3425863,4885,,3453250,3750653,297429,,3470810,3723914,253077,,3446981,3665817,218832,,3433187,3577109,143922,,3455173,3544363,89194,,3460255,3972213,511956,,27593533,29450068,1856542,5297956032,5654417856,673156,0,0,0,
3454129,3790191,336062,,3419768,3424890,5098,,3453651,3749506,295831,,3471309,3724000,252691,,3446614,3665808,219169,,3434053,3575212,141129,,3455946,3544961,89011,,3459475,3968520,509048,,27594945,29443088,1848039,5298238848,5653073088,682701,0,0,0,
3452815,3790009,337194,,3420696,3425050,4379,,3452800,3749958,297156,,3470402,3723279,252899,,3447104,3666101,218994,,3433911,3575006,141093,,3455797,3544934,89168,,3460658,3968172,507511,,27594183,29442509,1848394,5298079680,5652957312,680679,0,0,0,
1136541,1243947,107406,,1123813,1125589,1783,,1135162,1231761,96631,,1140542,1225858,85324,,1134016,1206257,72273,,1131045,1180040,49027,,1135720,1166676,30957,,1137816,1305493,167709,,9074655,9685621,611110,1742325312,1859635968,221203,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2016536,2028170,11634,,1793017,1793023,0,,1966933,1966949,0,,1984912,1985845,924,,1922308,1922308,0,,1911255,1911282,0,,1856944,1856952,0,,2231417,2258077,26660,,15683322,15722606,39218,3011212608,3018749952,51022,0,0,0,
3200049,3217061,17012,,2843812,2843806,0,,3118700,3118684,0,,3143610,3143700,67,,3048607,3048607,0,,3022877,3022850,0,,2940164,2940162,0,,3542430,3580034,37592,,24860249,24914904,54671,4773160512,4783660416,82376,0,0,0,
3197236,3213180,15944,,2841401,2841403,0,,3114130,3114151,0,,3147209,3147368,188,,3049171,3049188,0,,3030825,3030830,0,,2941867,2941870,0,,3542073,3577015,34922,,24863912,24915005,51054,4773870336,4783676928,81691,0,0,0,
3196229,3212769,16540,,2842865,2842884,0,,3119972,3119951,0,,3147724,3147768,47,,3046235,3046219,0,,3026263,3026258,0,,2941891,2941908,0,,3541393,3578779,37409,,24862572,24916536,53996,4773620352,4783979520,82264,0,0,0,
3202815,3219007,16192,,2840823,2840803,0,,3114885,3114909,0,,3141784,3141952,136,,3048541,3048540,0,,3029459,3029491,0,,2940339,2940319,0,,3543525,3579019,35497,,24862171,24914040,51825,4773544704,4783492224,82896,0,0,0,
3193404,3209638,16234,,2842010,2842009,0,,3117131,3117107,0,,3148231,3148365,141,,3048550,3048555,0,,3031040,3031040,0,,2942720,2942715,0,,3542756,3578442,35663,,24865842,24917871,52038,4774224576,4784229312,79799,0,0,0,
3201280,3217947,16667,,2842424,2842430,0,,3118149,3118164,0,,3142936,3143041,124,,3049297,3049296,0,,3024427,3024427,0,,2940234,2940234,0,,3541898,3578964,37063,,24860645,24914503,53854,4773246720,4783586496,82801,0,0,0,
3196341,3212304,15963,,2841965,2841972,0,,3115009,3114994,0,,3147617,3147697,66,,3050485,3050496,0,,3031235,3031203,0,,2941997,2941996,0,,3541021,3576716,35726,,24865670,24917378,51755,4774212480,4784134848,80462,0,0,0,
3197727,3214095,16368,,2843714,2843730,0,,3119241,3119241,0,,3146083,3146266,171,,3046969,3046958,0,,3023376,3023376,0,,2940924,2940924,0,,3542529,3578962,36434,,24860563,24913552,52973,4773225216,4783408128,83560,0,0,0,
3200423,3216367,15944,,2840094,2840077,0,,3114351,3114355,0,,3144482,3144585,135,,3047694,3047698,0,,3031029,3031029,0,,2941949,2941958,0,,3542733,3578927,36162,,24862755,24914996,52241,4773648192,4783678272,82494,0,0,0,
3194150,3209788,15638,,2842766,2842754,0,,3118110,3118108,0,,3147993,3148165,172,,3048136,3048135,0,,3028511,3028529,0,,2942603,2942598,0,,3541885,3578724,36839,,24864154,24916801,52649,4773918336,4784023296,80207,0,0,0,
3202629,3219265,16636,,2841832,2841863,0,,3116936,3116935,0,,3141961,3142207,246,,3048420,3048421,0,,3026130,3026117,0,,2939924,2939921,0,,3542492,3579187,36695,,24860324,24913916,53577,4773185664,4783475328,83615,0,0,0,
3193817,3209441,15624,,2841624,2841594,0,,3116111,3116110,0,,3148583,3148675,84,,3049733,3049725,0,,3031867,3031869,0,,2942742,2942764,0,,3541140,3577338,36207,,24865617,24917516,51915,4774197312,4784161728,80345,0,0,0,
3201201,3217430,16229,,2843922,2843921,0,,3118811,3118811,0,,3142938,3143029,99,,3048682,3048682,0,,3023732,3023729,0,,2939969,2939975,0,,3543253,3577491,34261,,24862508,24913068,50589,4773592128,4783313856,84696,0,0,0,
3197207,3212715,15508,,2841452,2841455,0,,3114096,3114119,0,,3147746,3147913,162,,3049469,3049469,0,,3031069,3031077,0,,2941981,2941959,0,,3541711,3577919,36176,,24864731,24916626,51846,4774039872,4783984704,79711,0,0,0,
3197239,3213267,16028,,2842752,2842749,0,,3119636,3119619,0,,3147226,3147357,106,,3046387,3046417,0,,3025953,3025941,0,,2941677,2941670,0,,3542344,3579583,37242,,24863214,24916603,53376,4773725952,4783984320,81655,0,0,0,
3203162,3218418,15256,,2840587,2840589,0,,3114553,3114579,0,,3142209,3142332,153,,3048144,3048114,0,,3029904,3029904,0,,2940889,2940890,0,,3543192,3578982,35787,,24862640,24913808,51196,4773628800,4783455744,83371,0,0,0,
3194008,3209405,15397,,2841796,2841795,0,,3117429,3117429,0,,3148690,3148838,148,,3048715,3048724,0,,3030612,3030612,0,,2942478,2942477,0,,3542842,3577543,34701,,24866570,24916823,50246,4774380288,4784031552,81284,0,0,0,
3201789,3217872,16083,,2842651,2842661,0,,3118363,3118341,0,,3142381,3142512,121,,3048945,3048939,0,,3024655,3024669,0,,2940535,2940542,0,,3542690,3578296,35630,,24862009,24913832,51834,4773519744,4783453248,83283,0,0,0,
3195717,3211766,16049,,2841690,2841681,0,,3114848,3114839,0,,3147648,3147869,231,,3050177,3050194,0,,3032371,3032373,0,,2941924,2941939,0,,3541622,3576943,35326,,24865997,24917604,51606,4774268352,4784174400,80293,0,0,0,
3197418,3214295,16877,,2844243,2844243,0,,3119190,3119189,0,,3145520,3145604,55,,3047606,3047593,0,,3023937,3023924,0,,2940525,2940525,0,,3541952,3578803,36845,,24860391,24914176,53777,4773188736,4783525632,82880,0,0,0,
3199387,3215175,15788,,2840212,2840223,0,,3114363,3114376,0,,3145233,3145504,300,,3048146,3048144,0,,3030890,3030915,0,,2942276,2942258,0,,3543253,3578298,35022,,24863760,24914893,51110,4773844608,4783665408,82441,0,0,0,
3194621,3209979,15358,,2842675,2842662,0,,3118618,3118609,0,,3148132,3148375,243,,3047329,3047356,0,,3027609,3027581,0,,2942370,2942366,0,,3541041,3578296,37255,,24862395,24915224,52856,4773577536,4783720704,81979,0,0,0,
3203067,3218851,15784,,2841777,2841789,0,,3116017,3116013,0,,3141518,3141709,186,,3048455,3048423,0,,3027736,3027746,0,,2939533,2939533,0,,3542652,3579813,37161,,24860755,24913877,53131,4773264000,4783468032,82526,0,0,0,
3193213,3209812,16599,,2841539,2841527,0,,3116964,3116965,0,,3148612,3148642,30,,3049859,3049891,0,,3032019,3032041,0,,2942715,2942730,0,,3542211,3576951,34761,,24867132,24918559,51390,4774493184,4784358336,80383,0,0,0,
3200515,3217152,16637,,2843258,2843290,0,,3118653,3118653,0,,3142751,3142914,168,,3048663,3048631,0,,3023920,3023889,0,,2940068,2940085,0,,3542619,3579252,36643,,24860447,24913866,53448,4773209472,4783464960,83198,0,0,0,
3197964,3213873,15909,,2842434,2842414,0,,3114200,3114199,0,,3147417,3147750,324,,3049841,3049847,0,,3030827,3030835,0,,2942279,2942255,0,,3541748,3577015,35252,,24866710,24918188,51485,4774403520,4784289024,79527,0,0,0,
3196055,3212895,16840,,2842659,2842647,0,,3119155,3119166,0,,3147024,3147054,7,,3045675,3045669,0,,3026089,3026111,0,,2941228,2941221,0,,3542600,3579346,36732,,24860485,24914109,53579,4773213888,4783508352,82695,0,0,0,
3202525,3218652,16127,,2840563,2840564,0,,3114358,3114354,0,,3143146,3143267,141,,3048961,3048961,0,,3029833,3029804,0,,2941036,2941039,0,,3542743,3578432,35719,,24863165,24915073,51987,4773725568,4783700160,83219,0,0,0,
3193105,3208666,15561,,2842052,2842051,0,,3117636,3117658,0,,3148659,3148779,123,,3048242,3048272,0,,3029832,3029860,0,,2942774,2942770,0,,3541865,3577804,35908,,24864165,24915860,51592,4773931200,4783843968,80896,0,0,0,
3202707,3219498,16791,,2842299,2842299,0,,3118032,3118035,0,,3141971,3142039,77,,3048655,3048625,0,,3024905,3024875,0,,2940418,2940418,0,,3542263,3578535,36290,,24861250,24914324,53158,4773350784,4783542528,83238,0,0,0,
3195314,3210585,15271,,2841640,2841640,0,,3115471,3115439,0,,3147933,3148056,91,,3050363,3050394,0,,3032580,3032581,0,,2942261,2942261,0,,3540831,3576039,35189,,24866393,24916995,50551,4774348608,4784061120,80841,0,0,0,
3200607,3216170,15563,,2844013,2844027,0,,3118985,3118994,0,,3144781,3144999,222,,3047699,3047689,0,,3023771,3023779,0,,2940070,2940070,0,,3542204,3579465,37283,,24862130,24915193,53068,4773530496,4783717632,82288,0,0,0,
3198612,3214354,15742,,2840788,2840775,0,,3114500,3114523,0,,3146246,3146343,125,,3048783,3048762,0,,3030479,3030470,0,,2942816,2942834,0,,3542815,3578468,35632,,24865039,24916529,51499,4774080384,4783977024,80476,0,0,0,
3197482,3212547,15065,,2842801,2842800,0,,3119065,3119033,0,,3148091,3148264,143,,3046447,3046447,0,,3027230,3027262,0,,2941606,2941589,0,,3541059,3578382,37354,,24863781,24916324,52562,4773841728,4783930176,81547,0,0,0,
3203948,3219666,15718,,2841874,2841882,0,,3114856,3114862,0,,3141934,3142051,134,,3049203,3049211,0,,3028663,3028639,0,,2939864,2939863,0,,3541880,3577094,35182,,24862222,24913268,51034,4773556032,4783354752,84266,0,0,0,
3194019,3209353,15334,,2841230,2841223,0,,3117393,3117392,0,,3148197,3148337,125,,3048895,3048889,0,,3031327,3031319,0,,2942904,2942904,0,,3542845,3578168,35324,,24866810,24917585,50783,4774424256,4784175744,79962,0,0,0,
3200494,3217594,17100,,2842630,2842629,0,,3118633,3118645,0,,3142971,3143005,62,,3048996,3049026,0,,3024554,3024554,0,,2940047,2940047,0,,3542408,3578930,36525,,24860733,24914430,53687,4773259008,4783563264,82838,0,0,0,
3197305,3212827,15522,,2842209,2842224,0,,3114007,3113998,0,,3147184,3147512,328,,3050277,3050245,0,,3031241,3031244,0,,2942189,2942191,0,,3540951,3576624,35669,,24865363,24916865,51519,4774158720,4784040384,80375,0,0,0,
3197358,3213358,16000,,2843360,2843376,0,,3119746,3119750,0,,3146346,3146506,156,,3045842,3045842,0,,3024660,3024662,0,,2941057,2941071,0,,3541801,3578573,36775,,24860170,24913138,52931,4773152832,4783329216,83582,0,0,0,
3201334,3217429,16095,,2839949,2839935,0,,3114544,3114549,0,,3143958,3144162,203,,3048425,3048425,0,,3030422,3030417,0,,2941472,2941456,0,,3542730,3578497,35764,,24862834,24914870,52062,4773657792,4783653504,83275,0,0,0,
3194345,3209584,15239,,2842862,2842853,0,,3117508,3117498,0,,3148362,3148606,220,,3047897,3047899,0,,3028989,3029021,0,,2942667,2942667,0,,3541345,3578788,37443,,24863975,24916916,52902,4773883776,4784043264,79997,0,0,0,
3203326,3219216,15890,,2842227,2842219,0,,3117200,3117193,0,,3141885,3141905,49,,3049083,3049098,0,,3026472,3026440,0,,2940047,2940078,0,,3542349,3578777,36428,,24862589,24914926,52367,4773619392,4783664832,82400,0,0,0,
3194666,3210083,15417,,2841218,2841218,0,,3115898,3115910,0,,3148197,3148346,142,,3049739,3049744,0,,3032310,3032310,0,,2942653,2942627,0,,3541812,3576812,35024,,24866493,24917050,50583,4774363584,4784079552,80571,0,0,0,
3200605,3216982,16377,,2843932,2843939,0,,3118703,3118693,0,,3143590,3143779,166,,3048487,3048485,0,,3023602,3023607,0,,2940234,2940238,0,,3542525,3578170,35639,,24861678,24913893,52182,4773453696,4783470912,83178,0,0,0,
3197636,3213143,15507,,2841327,2841320,0,,3114282,3114312,0,,3147164,3147340,206,,3049195,3049179,0,,3030922,3030918,0,,2941899,2941915,0,,3542796,3578014,35203,,24865221,24916141,50916,4774111680,4783891200,80767,0,0,0,
3196346,3212851,16505,,2842886,2842897,0,,3119712,3119685,0,,3147723,3147819,64,,3046199,3046199,0,,3026399,3026406,0,,2941971,2941970,0,,3542142,3578105,35987,,24863378,24915932,52556,4773766848,4783859136,82507,0,0,0,
3202785,3218815,16030,,2841051,2841072,0,,3115066,3115061,0,,3141722,3141812,122,,3048570,3048571,0,,3029253,3029262,0,,2940183,2940159,0,,3542850,3579435,36579,,24861480,24914187,52731,4773404736,4783525440,83096,0,0,0,
3193407,3209028,15621,,2841791,2841761,0,,3117044,3117053,0,,3148337,3148495,143,,3048693,3048695,0,,3031322,3031307,0,,2942688,2942691,0,,3542387,3577378,34970,,24865669,24916408,50734,4774214592,4783952832,81218,0,0,0,
3201928,3217996,16068,,2842430,2842432,0,,3118068,3118071,0,,3142935,3143024,86,,3049301,3049326,0,,3024400,3024398,0,,2940176,2940173,0,,3541814,3579100,37287,,24861052,24914520,53441,4773312768,4783583424,82759,0,0,0,
3195589,3211734,16145,,2842028,2842024,0,,3115006,3115015,0,,3147601,3147814,208,,3050285,3050254,0,,3031340,3031341,0,,2942186,2942186,0,,3540009,3576277,36267,,24864044,24916645,52620,4773897600,4783994688,80811,0,0,0,
3198957,3214113,15156,,2843781,2843781,0,,3119329,3119309,0,,3145975,3146086,130,,3046865,3046864,0,,3023954,3023953,0,,2940875,2940907,0,,3542606,3578868,36293,,24862342,24913881,51579,4773566016,4783469952,83510,0,0,0,
3200024,3215566,15542,,2839939,2839948,0,,3114363,3114394,0,,3144370,3144578,212,,3047849,3047849,0,,3030891,3030891,0,,2941840,2941820,0,,3543267,3578463,35165,,24862543,24913509,50919,4773619968,4783393152,83096,0,0,0,
3195150,3210381,15231,,2842895,2842894,0,,3118091,3118059,0,,3148014,3148120,106,,3048087,3048087,0,,3026842,3026847,0,,2942686,2942674,0,,3540675,3578367,37694,,24862440,24915429,53031,4773580800,4783756992,82999,0,0,0,
3202196,3218477,16281,,2841857,2841881,0,,3116911,3116927,0,,3141978,3142135,157,,3048422,3048422,0,,3026700,3026695,0,,2939922,2939922,0,,3543060,3579209,36147,,24861046,24913668,52585,4773325440,4783431936,83088,0,0,0,
3193898,3209637,15739,,2841638,2841638,0,,3116020,3116004,0,,3148622,3148795,173,,3049831,3049863,0,,3031502,3031507,0,,2942706,2942714,0,,3541837,3576285,34448,,24866054,24916443,50360,4774276224,4783952256,81940,0,0,0,
3199995,3216385,16390,,2843764,2843732,0,,3118805,3118805,0,,3142906,3143058,138,,3048706,3048676,0,,3023040,3023049,0,,2940087,2940111,0,,3541946,3577961,36019,,24859249,24911777,52547,4772976576,4783058688,85399,0,0,0,
3197163,3213639,16476,,2841493,2841497,0,,3114198,3114211,0,,3147561,3147885,330,,3049376,3049381,0,,3031079,3031070,0,,2941873,2941854,0,,3541372,3577194,35850,,24864115,24916731,52656,4773919296,4784022336,79922,0,0,0,
