Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Lcore 7,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2577320,2577320,0,,2282769,2282769,0,,2503982,2503979,0,,2530788,2530789,0,,2448992,2449006,0,,2434286,2434286,0,,2364391,2364391,0,,2926902,2926934,0,,20069430,20069474,0,3853339968,3853338240,11372,0,0,0,
2584821,2584821,0,,2283186,2283185,0,,2502426,2502425,0,,2525231,2525231,0,,2450326,2450311,0,,2432769,2432784,0,,2362352,2362383,0,,2928592,2928592,0,,20069703,20069732,0,3853376064,3853379520,10920,0,0,0,
2583729,2583729,0,,2284023,2284055,0,,2505942,2505945,0,,2525101,2525102,0,,2448200,2448206,0,,2430706,2430695,0,,2361607,2361596,0,,2929200,2929175,0,,20068508,20068503,0,3853154880,3853154496,11184,0,0,0,
2579738,2579738,0,,2281267,2281235,0,,2501966,2501963,0,,2530158,2530175,0,,2447533,2447530,0,,2436570,2436566,0,,2363994,2363990,0,,2929141,2929134,0,,20070367,20070331,0,3853512192,3853511424,9120,0,0,0,
2587924,2587924,0,,2283354,2283354,0,,2503704,2503704,0,,2524483,2524463,0,,2449037,2449034,0,,2430578,2430578,0,,2362346,2362333,0,,2930551,2930556,0,,20071977,20071946,0,3853814976,3853804224,11597,0,0,0,
2579738,2579738,0,,2285093,2285093,0,,2506707,2506707,0,,2529947,2529947,0,,2449741,2449741,0,,2430998,2430998,0,,2363234,2363231,0,,2926997,2927024,0,,20072455,20072479,0,3853910784,3853924608,11069,0,0,0,
2582550,2582550,0,,2281626,2281626,0,,2501611,2501614,0,,2526701,2526701,0,,2450933,2450933,0,,2437722,2437725,0,,2363861,2363860,0,,2928237,2928211,0,,20073241,20073220,0,3854065920,3854055168,10436,0,0,0,
2586534,2586534,0,,2284279,2284280,0,,2505286,2505285,0,,2525453,2525453,0,,2447160,2447160,0,,2429540,2429537,0,,2362255,2362285,0,,2931648,2931651,0,,20072155,20072185,0,3853851840,3853859136,11275,0,0,0,
2577187,2577187,0,,2282831,2282830,0,,2504091,2504089,0,,2530681,2530684,0,,2448215,2448226,0,,2433261,2433261,0,,2364329,2364305,0,,2927100,2927105,0,,20067695,20067687,0,3853002816,3853005696,10514,0,0,0,
2584227,2584227,0,,2283202,2283202,0,,2501481,2501497,0,,2525109,2525106,0,,2451213,2451202,0,,2433567,2433567,0,,2361756,2361750,0,,2927960,2927978,0,,20068515,20068529,0,3853149120,3853144512,11758,0,0,0,
2583547,2583547,0,,2283675,2283694,0,,2507439,2507437,0,,2525244,2525244,0,,2448373,2448373,0,,2430884,2430884,0,,2362411,2362443,0,,2930617,2930585,0,,20072190,20072207,0,3853867008,3853862016,11816,0,0,0,
2579445,2579445,0,,2282166,2282152,0,,2501889,2501875,0,,2529959,2529974,0,,2447664,2447666,0,,2436936,2436940,0,,2364251,2364230,0,,2928114,2928130,0,,20070424,20070412,0,3853524096,3853521600,10570,0,0,0,
2586595,2586595,0,,2282995,2282990,0,,2502634,2502634,0,,2524478,2524463,0,,2448748,2448747,0,,2429739,2429735,0,,2361415,2361406,0,,2930521,2930505,0,,20067125,20067075,0,3852878400,3852877248,11034,0,0,0,
2578924,2578924,0,,2284763,2284763,0,,2506133,2506133,0,,2528646,2528669,0,,2449497,2449496,0,,2430128,2430128,0,,2362688,2362718,0,,2926724,2926724,0,,20067503,20067555,0,3852962496,3852969216,10696,0,0,0,
2581294,2581294,0,,2280035,2280038,0,,2501247,2501247,0,,2526107,2526088,0,,2449136,2449144,0,,2437194,2437194,0,,2363246,2363227,0,,2927249,2927256,0,,20065508,20065488,0,3852579456,3852573888,10029,0,0,0,
2586591,2586591,0,,2283486,2283483,0,,2504547,2504549,0,,2524580,2524585,0,,2446441,2446433,0,,2428774,2428774,0,,2361716,2361709,0,,2930918,2930927,0,,20067053,20067051,0,3852874368,3852878592,11073,0,0,0,
2578122,2578122,0,,2283797,2283797,0,,2504877,2504875,0,,2531754,2531748,0,,2448891,2448898,0,,2433476,2433476,0,,2364635,2364629,0,,2926909,2926925,0,,20072461,20072470,0,3853913664,3853919424,11048,0,0,0,
2584180,2584180,0,,2283366,2283366,0,,2501790,2501796,0,,2525274,2525281,0,,2452151,2452176,0,,2434393,2434396,0,,2362293,2362293,0,,2929005,2929005,0,,20072452,20072493,0,3853914624,3853921920,10609,0,0,0,
