Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2909904,2909904,0,,2726349,2726359,0,,2802156,2802179,0,,3163885,3163898,0,,11602294,11602340,0,2227649280,2227649280,27125,0,0,0,
3773703,3773703,0,,3537595,3537596,0,,3650522,3650521,0,,4100508,4100508,0,,15062328,15062328,0,2891966976,2891970624,525,0,0,0,
3774240,3774240,0,,3537922,3537930,0,,3649990,3649996,0,,4100141,4100130,0,,15062293,15062296,0,2891955072,2891957184,578,0,0,0,
3773864,3773864,0,,3538303,3538306,0,,3649676,3649675,0,,4100873,4100871,0,,15062716,15062716,0,2892043008,2892041472,177,0,0,0,
3773952,3773952,0,,3537634,3537629,0,,3650627,3650600,0,,4100327,4100327,0,,15062540,15062508,0,2892005760,2892001536,355,0,0,0,
3773860,3773860,0,,3538203,3538186,0,,3650384,3650384,0,,4100042,4100042,0,,15062489,15062472,0,2891994624,2891994624,382,0,0,0,
3774530,3774530,0,,3537214,3537214,0,,3650818,3650818,0,,4099839,4099839,0,,15062401,15062401,0,2891980992,2891980992,453,0,0,0,
3774215,3774215,0,,3537121,3537121,0,,3650842,3650842,0,,4100080,4100080,0,,15062258,15062258,0,2891953536,2891953536,596,0,0,0,
3774568,3774568,0,,3537596,3537596,0,,3649972,3649972,0,,4100197,4100197,0,,15062333,15062333,0,2891967936,2891967936,521,0,0,0,
3774274,3774274,0,,3537519,3537519,0,,3650348,3650348,0,,4100194,4100194,0,,15062335,15062335,0,2891968320,2891973888,537,0,0,0,
3774771,3774771,0,,3537307,3537316,0,,3650053,3650053,0,,4100043,4100043,0,,15062174,15062183,0,2891939136,2891933568,771,0,0,0,
3774415,3774415,0,,3537030,3537021,0,,3650170,3650170,0,,4100826,4100826,0,,15062441,15062432,0,2891986944,2891986944,402,0,0,0,
