Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2761664,2761664,0,,2785518,2785547,0,,2775502,2775502,0,,8322684,8322713,0,1597955328,1597969344,2052433,0,0,0,
5428815,5428815,0,,5385807,5385810,0,,5357713,5357745,0,,16172335,16172370,0,3105088320,3105090240,3911305,0,0,0,
5436257,5436257,0,,5392195,5392195,0,,5360775,5360775,0,,16189227,16189227,0,3108331584,3108329856,3894539,0,0,0,
5434532,5434532,0,,5390488,5390488,0,,5360681,5360649,0,,16185701,16185669,0,3107654592,3107655936,3897765,0,0,0,
5439616,5439616,0,,5393142,5393140,0,,5363993,5364025,0,,16196751,16196781,0,3109776192,3109773312,3886843,0,0,0,
5438697,5438697,0,,5392258,5392260,0,,5363973,5363973,0,,16194928,16194930,0,3109432320,3109434624,3888697,0,0,0,
5434687,5434687,0,,5389527,5389527,0,,5364247,5364245,0,,16188461,16188459,0,3108178368,3108181440,3895151,0,0,0,
5438796,5438796,0,,5391769,5391769,0,,5367281,5367251,0,,16197846,16197816,0,3109986432,3109983552,3885677,0,0,0,
5439495,5439495,0,,5394991,5394991,0,,5367596,5367627,0,,16202082,16202113,0,3110805888,3110796672,3881480,0,0,0,
5438033,5438033,0,,5392653,5392653,0,,5367254,5367254,0,,16197940,16197940,0,3109998336,3110004480,3885734,0,0,0,
