Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
662951,662951,0,,655205,655204,0,,643674,643674,0,,588369,588370,0,,2550199,2550199,0,489638400,489644352,12386642,0,0,0,
662369,662369,0,,653454,653452,0,,642136,642136,0,,588080,588080,0,,2546039,2546037,0,488833344,488831040,12391640,0,0,0,
662384,662384,0,,654883,654886,0,,644302,644302,0,,588958,588958,0,,2550527,2550530,0,489701184,489703296,12386654,0,0,0,
663214,663214,0,,654716,654716,0,,644324,644324,0,,588712,588712,0,,2550966,2550966,0,489785472,489782784,12386280,0,0,0,
664258,664258,0,,654465,654465,0,,644188,644186,0,,588345,588345,0,,2551256,2551254,0,489841152,489844032,12385944,0,0,0,
663607,663607,0,,655141,655139,0,,644872,644874,0,,589089,589089,0,,2552709,2552709,0,490120128,490117632,12384579,0,0,0,
663972,663972,0,,654486,654488,0,,644096,644096,0,,588203,588202,0,,2550757,2550758,0,489745344,489747456,12386908,0,0,0,
663039,663039,0,,653221,653221,0,,643536,643533,0,,588069,588070,0,,2547865,2547863,0,489196224,489192576,12388969,0,0,0,
398370,398370,0,,392741,392709,0,,385994,385965,0,,353357,353325,0,,1530462,1530369,0,293842560,293824512,7273895,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
444749,444749,0,,438480,438510,0,,431910,431942,0,,394753,394785,0,,1709892,1709986,0,328299264,328318848,3274647,0,0,0,
662891,662891,0,,654227,654228,0,,644422,644422,0,,587990,587990,0,,2549530,2549531,0,489509760,489508416,4920498,0,0,0,
663832,663832,0,,655597,655595,0,,644210,644210,0,,589015,589015,0,,2552654,2552652,0,490109568,490111104,4917595,0,0,0,
664132,664132,0,,654624,654626,0,,644884,644884,0,,589141,589139,0,,2552781,2552781,0,490133952,490132032,4917350,0,0,0,
663104,663104,0,,653872,653873,0,,642658,642658,0,,588350,588352,0,,2547984,2547987,0,489212928,489217152,4921953,0,0,0,
665064,665064,0,,656279,656279,0,,645222,645222,0,,589026,589025,0,,2555591,2555590,0,490673472,490670784,4914738,0,0,0,
663512,663512,0,,654985,654985,0,,643950,643950,0,,589073,589074,0,,2551520,2551521,0,489891840,489891456,4918853,0,0,0,
662731,662731,0,,654024,654024,0,,642256,642256,0,,587847,587847,0,,2546858,2546858,0,489002880,489002304,4923317,0,0,0,
663349,663349,0,,654334,654334,0,,643393,643393,0,,588823,588823,0,,2549899,2549899,0,489574464,489575232,4920311,0,0,0,
662638,662638,0,,654510,654510,0,,643425,643425,0,,588227,588227,0,,2548800,2548800,0,489375744,489381120,4921314,0,0,0,
663441,663441,0,,655453,655453,0,,644518,644516,0,,588909,588909,0,,2552321,2552319,0,490039488,490034880,4917727,0,0,0,
663020,663020,0,,654745,654743,0,,644555,644556,0,,588523,588521,0,,2550843,2550840,0,489761856,489759552,4919416,0,0,0,
662398,662398,0,,653874,653875,0,,643083,643081,0,,588049,588051,0,,2547404,2547405,0,489101568,489102336,4922563,0,0,0,
664194,664194,0,,654995,654994,0,,644498,644498,0,,588492,588492,0,,2552179,2552178,0,490018368,490020288,4917817,0,0,0,
662085,662085,0,,652691,652693,0,,642702,642705,0,,588321,588321,0,,2545799,2545804,0,488793408,488793600,4924267,0,0,0,
661328,661328,0,,652406,652405,0,,641664,641664,0,,586999,586997,0,,2542397,2542394,0,488140224,488137536,4927845,0,0,0,
664095,664095,0,,654531,654529,0,,643614,643614,0,,588801,588803,0,,2551041,2551041,0,489799872,489800832,4919125,0,0,0,
662243,662243,0,,653873,653876,0,,643425,643422,0,,587708,587708,0,,2547249,2547249,0,489077376,489075072,4922977,0,0,0,
664646,664646,0,,656052,656052,0,,645033,645036,0,,589942,589940,0,,2555673,2555674,0,490683648,490685184,4914439,0,0,0,
662180,662180,0,,653427,653426,0,,642535,642534,0,,586807,586777,0,,2544949,2544917,0,488630208,488630016,4925062,0,0,0,
663039,663039,0,,654723,654724,0,,643037,643038,0,,588072,588102,0,,2548871,2548903,0,489383232,489384192,4921112,0,0,0,
661989,661989,0,,652594,652592,0,,642477,642475,0,,587017,587019,0,,2544077,2544075,0,488462784,488462016,4926059,0,0,0,
662154,662154,0,,653249,653251,0,,642209,642211,0,,587482,587482,0,,2545094,2545098,0,488658048,488660928,4924958,0,0,0,
661624,661624,0,,653339,653307,0,,643188,643156,0,,588104,588072,0,,2546255,2546159,0,488880960,488860032,4856012,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
179075,179075,0,,176587,176619,0,,173734,173766,0,,158763,158795,0,,688159,688255,0,132126528,132148032,288632,0,0,0,
662843,662843,0,,653954,653954,0,,642765,642765,0,,588719,588718,0,,2548281,2548280,0,489269952,489269760,1187100,0,0,0,
663688,663688,0,,655359,655359,0,,644720,644720,0,,588285,588286,0,,2552052,2552053,0,490000128,489994944,1183233,0,0,0,
662552,662552,0,,653302,653302,0,,643234,643234,0,,587931,587931,0,,2547019,2547019,0,489027648,489025728,1188238,0,0,0,
662332,662332,0,,653266,653266,0,,643133,643133,0,,587926,587926,0,,2546657,2546657,0,488952000,488961216,1188957,0,0,0,
660676,660676,0,,652594,652594,0,,640870,640870,0,,587056,587056,0,,2541196,2541196,0,487909632,487906176,1194247,0,0,0,
663516,663516,0,,654422,654421,0,,644409,644409,0,,587672,587672,0,,2550019,2550018,0,489609792,489609216,1185440,0,0,0,
661680,661680,0,,653355,653356,0,,642413,642413,0,,587140,587140,0,,2544588,2544589,0,488560896,488554752,1190844,0,0,0,
662312,662312,0,,653740,653737,0,,642774,642774,0,,587119,587119,0,,2545945,2545942,0,488815296,488823168,1189428,0,0,0,
662227,662227,0,,654454,654456,0,,644222,644222,0,,588465,588465,0,,2549368,2549370,0,489484800,489482112,1185975,0,0,0,
661649,661649,0,,652310,652311,0,,641749,641749,0,,586824,586824,0,,2542532,2542533,0,488160000,488164992,1192835,0,0,0,
662796,662796,0,,653500,653500,0,,641776,641775,0,,587239,587239,0,,2545311,2545310,0,488705856,488700480,1190057,0,0,0,
662655,662655,0,,653961,653961,0,,643306,643307,0,,588541,588541,0,,2548463,2548464,0,489298752,489299904,1187123,0,0,0,
662176,662176,0,,653768,653768,0,,643002,643002,0,,587686,587686,0,,2546632,2546632,0,488953344,488956800,1188778,0,0,0,
662149,662149,0,,654755,654755,0,,643814,643814,0,,587273,587273,0,,2547991,2547991,0,489214272,489210432,1187433,0,0,0,
661488,661488,0,,654700,654700,0,,642336,642336,0,,588113,588113,0,,2546637,2546637,0,488954304,488956992,1188802,0,0,0,
663988,663988,0,,656184,656184,0,,645583,645583,0,,589081,589081,0,,2554836,2554836,0,490534656,490532352,1180446,0,0,0,
661147,661147,0,,652415,652415,0,,641573,641573,0,,586794,586792,0,,2541929,2541927,0,488044224,488044032,1193547,0,0,0,
663384,663384,0,,655357,655356,0,,643940,643940,0,,588279,588278,0,,2550960,2550958,0,489784320,489783744,1184403,0,0,0,
664613,664613,0,,656141,656142,0,,646515,646483,0,,589260,589263,0,,2556529,2556501,0,490853568,490855104,1178996,0,0,0,
662720,662720,0,,653968,653968,0,,643430,643462,0,,587704,587704,0,,2547822,2547854,0,489181824,489183744,1187479,0,0,0,
663021,663021,0,,654821,654821,0,,644144,644141,0,,587834,587834,0,,2549820,2549817,0,489565440,489562752,1185561,0,0,0,
662739,662739,0,,653727,653727,0,,643363,643366,0,,587918,587918,0,,2547747,2547750,0,489167424,489169344,1187620,0,0,0,
661368,661368,0,,653644,653643,0,,642653,642653,0,,587330,587330,0,,2544995,2544994,0,488645184,488642304,1190536,0,0,0,
262167,262167,0,,258739,258708,0,,254115,254083,0,,233370,233338,0,,1008391,1008296,0,193604928,193586688,461547,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
411176,411176,0,,411146,411176,0,,411146,411176,0,,411176,411176,0,,1644644,1644704,0,315783168,315783168,0,0,0,0,
468408,468408,0,,468431,468408,0,,468410,468408,0,,468378,468408,0,,1873627,1873632,0,359724864,359737344,0,0,0,0,
468427,468427,0,,468435,468428,0,,468456,468428,0,,468458,468428,0,,1873776,1873711,0,359764992,359752512,0,0,0,0,
468397,468397,0,,468378,468408,0,,468378,468408,0,,468378,468408,0,,1873531,1873621,0,359717952,359735232,0,0,0,0,
468390,468390,0,,468408,468399,0,,468408,468408,0,,468408,468408,0,,1873614,1873605,0,359733888,359732160,0,0,0,0,
468426,468426,0,,468396,468405,0,,468418,468396,0,,468417,468396,0,,1873657,1873623,0,359747904,359735616,0,0,0,0,
468408,468408,0,,468433,468408,0,,468388,468408,0,,468412,468408,0,,1873641,1873632,0,359735232,359737344,0,0,0,0,
