Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5122280,5122280,0,,5175990,5176022,0,,10298270,10298302,0,1977267840,1977278016,8315770,0,0,0,
5527660,5527660,0,,5575121,5575121,0,,11102781,11102781,0,2131733952,2131733376,8980950,0,0,0,
5527666,5527666,0,,5574789,5574789,0,,11102455,11102455,0,2131671360,2131682112,8981153,0,0,0,
5528205,5528205,0,,5575438,5575438,0,,11103643,11103643,0,2131899456,2131895424,8979962,0,0,0,
5529529,5529529,0,,5574225,5574225,0,,11103754,11103754,0,2131926912,2131910592,8979810,0,0,0,
5532308,5532308,0,,5573710,5573710,0,,11106018,11106018,0,2132349312,2132364480,8977495,0,0,0,
5529681,5529681,0,,5575605,5575605,0,,11105286,11105286,0,2132214912,2132213760,8978316,0,0,0,
5528945,5528945,0,,5574062,5574061,0,,11103007,11103006,0,2131777344,2131769280,8980584,0,0,0,
5526618,5526618,0,,5573199,5573200,0,,11099817,11099818,0,2131164864,2131171008,8983892,0,0,0,
5528454,5528454,0,,5576947,5576945,0,,11105401,11105399,0,2132242752,2132230656,8978014,0,0,0,
5529570,5529570,0,,5574393,5574395,0,,11103963,11103965,0,2131955136,2131966272,8979646,0,0,0,
5526460,5526460,0,,5575128,5575128,0,,11101588,11101588,0,2131504896,2131501824,8982046,0,0,0,
5526870,5526870,0,,5572585,5572585,0,,11099455,11099455,0,2131101504,2131101120,8983938,0,0,0,
5524729,5524729,0,,5565982,5565982,0,,11090711,11090711,0,2129410368,2129415552,8993121,0,0,0,
5527180,5527180,0,,5565074,5565074,0,,11092254,11092254,0,2129712768,2129706816,8991255,0,0,0,
5527993,5527993,0,,5566578,5566578,0,,11094571,11094571,0,2130157632,2130161856,8988910,0,0,0,
5524741,5524741,0,,5560066,5560066,0,,11084807,11084807,0,2128282944,2128287744,8998911,0,0,0,
5528229,5528229,0,,5566680,5566680,0,,11094909,11094909,0,2130222528,2130220800,8988633,0,0,0,
5528532,5528532,0,,5563745,5563745,0,,11092277,11092277,0,2129717184,2129716608,8991294,0,0,0,
5529310,5529310,0,,5565390,5565390,0,,11094700,11094700,0,2130182400,2130182016,8988974,0,0,0,
5528208,5528208,0,,5565877,5565877,0,,11094085,11094085,0,2130064320,2130069696,8989548,0,0,0,
5529378,5529378,0,,5567284,5567284,0,,11096662,11096662,0,2130559104,2130556800,8986939,0,0,0,
5528402,5528402,0,,5566890,5566890,0,,11095292,11095292,0,2130296064,2130287808,8988352,0,0,0,
5527552,5527552,0,,5565482,5565482,0,,11093034,11093034,0,2129862528,2129867520,8990500,0,0,0,
5529304,5529304,0,,5565355,5565323,0,,11094659,11094627,0,2130174528,2130176832,8988972,0,0,0,
5527860,5527860,0,,5565781,5565813,0,,11093641,11093673,0,2129979072,2129980608,8989960,0,0,0,
5526323,5526323,0,,5563089,5563089,0,,11089412,11089412,0,2129167104,2129157696,8994066,0,0,0,
5531301,5531301,0,,5566185,5566185,0,,11097486,11097486,0,2130717312,2130726336,8986188,0,0,0,
5528306,5528306,0,,5566099,5566098,0,,11094405,11094404,0,2130125760,2130115200,8989229,0,0,0,
5527950,5527950,0,,5565351,5565352,0,,11093301,11093302,0,2129913792,2129914944,8990182,0,0,0,
5532071,5532071,0,,5565996,5565996,0,,11098067,11098067,0,2130828864,2130831744,8985527,0,0,0,
5530232,5530232,0,,5566788,5566788,0,,11097020,11097020,0,2130627840,2130633408,8986638,0,0,0,
5531297,5531297,0,,5566611,5566611,0,,11097908,11097908,0,2130798336,2130792384,8985664,0,0,0,
5532636,5532636,0,,5570129,5570129,0,,11102765,11102765,0,2131730880,2131740096,8980914,0,0,0,
5530374,5530374,0,,5566048,5566048,0,,11096422,11096422,0,2130513024,2130501888,8987110,0,0,0,
5525160,5525160,0,,5563069,5563066,0,,11088229,11088226,0,2128939968,2128938240,8995286,0,0,0,
5528712,5528712,0,,5565155,5565126,0,,11093867,11093838,0,2130022464,2130025152,8989717,0,0,0,
5533337,5533337,0,,5564892,5564924,0,,11098229,11098261,0,2130859968,2130857472,8985348,0,0,0,
5531705,5531705,0,,5568097,5568097,0,,11099802,11099802,0,2131161984,2131177152,8983768,0,0,0,
