Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
11271063,11271063,0,,11271058,11271056,0,,22542121,22542119,0,3832160570,4328086848,0,0,0,0,
11270960,11270960,0,,11270958,11270947,0,,22541918,22541907,0,3832129290,4328049984,0,0,0,0,
11270917,11270917,0,,11270928,11270909,0,,22541845,22541826,0,3832110420,4328032128,0,0,0,0,
11271056,11271056,0,,11271027,11271056,0,,22542083,22542112,0,3832159040,4328086464,0,0,0,0,
11271280,11271280,0,,11271271,11271272,0,,22542551,22542552,0,3832228740,4328163648,0,0,0,0,
11271026,11271026,0,,11270998,11270997,0,,22542024,22542023,0,3832149010,4328068416,0,0,0,0,
11270617,11270617,0,,11270660,11270663,0,,22541277,22541280,0,3832012160,4327925760,0,0,0,0,
11270946,11270946,0,,11270971,11270939,0,,22541917,22541885,0,3832125890,4328046912,0,0,0,0,
11270549,11270549,0,,11270538,11270563,0,,22541087,22541112,0,3831989040,4327888512,0,0,0,0,
11270505,11270505,0,,11270513,11270520,0,,22541018,22541025,0,3831968810,4327877376,0,0,0,0,
11270962,11270962,0,,11270974,11270952,0,,22541936,22541914,0,3832129120,4328054016,0,0,0,0,
11270903,11270903,0,,11270903,11270893,0,,22541806,22541796,0,3832107020,4328022528,0,0,0,0,
11270910,11270910,0,,11270894,11270924,0,,22541804,22541834,0,3832111780,4328029056,0,0,0,0,
11270928,11270928,0,,11270933,11270935,0,,22541861,22541863,0,3832111270,4328037312,0,0,0,0,
11271105,11271105,0,,11271097,11271095,0,,22542202,22542200,0,3832174340,4328101056,0,0,0,0,
11271039,11271039,0,,11271049,11271039,0,,22542088,22542078,0,3832154960,4328078976,0,0,0,0,
11270963,11270963,0,,11270963,11270974,0,,22541926,22541937,0,3832127420,4328051904,0,0,0,0,
11271039,11271039,0,,11271015,11271010,0,,22542054,22542049,0,3832153600,4328077824,0,0,0,0,
11270804,11270804,0,,11270826,11270821,0,,22541630,22541625,0,3832076250,4327987584,0,0,0,0,
11270928,11270928,0,,11270920,11270929,0,,22541848,22541857,0,3832110590,4328036544,0,0,0,0,
4904760,4904760,0,,4904768,4904738,0,,9809528,9809498,0,1667619760,1883423616,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
10444757,10444757,0,,10242793,10242825,0,,20687550,20687582,0,3516888940,3972026112,867444,0,0,0,
12705236,12705236,0,,12467725,12467725,0,,25172961,25172961,0,4279403370,4833200256,1082803,0,0,0,
12712407,12712407,0,,12473804,12473802,0,,25186211,25186209,0,4281655530,4835756544,1069622,0,0,0,
12712548,12712548,0,,12472016,12472018,0,,25184564,25184566,0,4281376220,4835433216,1070514,0,0,0,
