Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10726331,10726331,0,,10339650,10339644,0,,10510787,10510797,0,,31576768,31576772,0,8083645440,8083649280,0,0,0,0,
10726046,10726046,0,,10337340,10337346,0,,10512055,10512055,0,,31575441,31575447,0,8083306240,8083317248,0,0,0,0,
10726030,10726030,0,,10336079,10336079,0,,10512290,10512290,0,,31574399,31574399,0,8083062528,8083053824,0,0,0,0,
10729608,10729608,0,,10335989,10335989,0,,10510517,10510485,0,,31576114,31576082,0,8083468800,8083462400,0,0,0,0,
10727762,10727762,0,,10336318,10336318,0,,10510144,10510173,0,,31574224,31574253,0,8083008768,8083010816,0,0,0,0,
10725925,10725925,0,,10338148,10338135,0,,10510421,10510424,0,,31574494,31574484,0,8083067904,8083065600,0,0,0,0,
10726109,10726109,0,,10339777,10339787,0,,10509172,10509172,0,,31575058,31575068,0,8083217408,8083222528,0,0,0,0,
10726040,10726040,0,,10338468,10338460,0,,10510449,10510449,0,,31574957,31574949,0,8083195136,8083190784,0,0,0,0,
10726470,10726470,0,,10337626,10337606,0,,10511942,10511940,0,,31576038,31576016,0,8083452160,8083450112,0,0,0,0,
10726468,10726468,0,,10339648,10339668,0,,10510812,10510814,0,,31576928,31576950,0,8083698944,8083709952,0,0,0,0,
10725953,10725953,0,,10337841,10337852,0,,10512129,10512129,0,,31575923,31575934,0,8083430912,8083427840,0,0,0,0,
10725980,10725980,0,,10336295,10336263,0,,10512184,10512184,0,,31574459,31574427,0,8083069696,8083074304,0,0,0,0,
8150249,8150249,0,,7849618,7849618,0,,7978839,7978807,0,,23978706,23978674,0,6138540544,6138515200,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
10885890,10885890,0,,10967220,10967220,0,,11178635,11178667,0,,33031745,33031777,0,8456134912,8456155904,1238208,0,0,0,
11022998,11022998,0,,11112176,11112208,0,,11335284,11335252,0,,33470458,33470458,0,8568437248,8568444160,1308293,0,0,0,
11023858,11023858,0,,11113303,11113303,0,,11335033,11335033,0,,33472194,33472194,0,8568881664,8568875008,1307122,0,0,0,
11023089,11023089,0,,11114405,11114402,0,,11335671,11335671,0,,33473165,33473162,0,8569129472,8569131008,1304553,0,0,0,
11024841,11024841,0,,11113611,11113614,0,,11334324,11334356,0,,33472776,33472811,0,8569031424,8569026048,1306965,0,0,0,
11023073,11023073,0,,11112523,11112523,0,,11335496,11335496,0,,33471092,33471092,0,8568607744,8568611840,1309816,0,0,0,
11022359,11022359,0,,11112913,11112913,0,,11335699,11335699,0,,33470971,33470971,0,8568568576,8568566272,1308033,0,0,0,
11021922,11021922,0,,11113065,11113033,0,,11334241,11334241,0,,33469228,33469196,0,8568114176,8568117248,1308756,0,0,0,
11022947,11022947,0,,11112667,11112699,0,,11334472,11334472,0,,33470086,33470118,0,8568350208,8568356608,1307450,0,0,0,
11022368,11022368,0,,11111911,11111911,0,,11335587,11335587,0,,33469866,33469866,0,8568285696,8568267008,1308525,0,0,0,
11023001,11023001,0,,11112339,11112339,0,,11335514,11335514,0,,33470854,33470854,0,8568538624,8568533760,1308372,0,0,0,
11014922,11014922,0,,11109498,11109498,0,,11331614,11331614,0,,33456034,33456034,0,8564744704,8564757760,1323185,0,0,0,
11019849,11019849,0,,11110074,11110074,0,,11333901,11333901,0,,33463824,33463824,0,8566738944,8566740736,1314694,0,0,0,
11020286,11020286,0,,11111457,11111457,0,,11334404,11334404,0,,33466147,33466147,0,8567325440,8567315456,1312065,0,0,0,
11019415,11019415,0,,11113421,11113421,0,,11334878,11334878,0,,33467714,33467714,0,8567742976,8567745280,1311465,0,0,0,
11021137,11021137,0,,11113278,11113278,0,,11335970,11335970,0,,33470385,33470385,0,8568410368,8568420352,1308320,0,0,0,
11021712,11021712,0,,11113357,11113325,0,,11336501,11336469,0,,33471570,33471506,0,8568713728,8568714240,1307137,0,0,0,
305791,305791,0,,307753,307753,0,,314024,314024,0,,927568,927568,0,237457408,237434624,35178,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9680467,9680467,0,,9490592,9490624,0,,9645879,9645911,0,,28816938,28817002,0,7377136128,7377155584,154849,0,0,0,
10984202,10984202,0,,10760357,10760357,0,,10944152,10944152,0,,32688711,32688711,0,8368318208,8368322816,183832,0,0,0,
10982304,10982304,0,,10765495,10765495,0,,10940151,10940149,0,,32687950,32687948,0,8368114688,8368112640,185408,0,0,0,
10980950,10980950,0,,10760151,10760151,0,,10946290,10946292,0,,32687391,32687393,0,8367972608,8367968768,185818,0,0,0,
10983954,10983954,0,,10765582,10765582,0,,10939756,10939756,0,,32689292,32689292,0,8368458752,8368463872,184639,0,0,0,
10982734,10982734,0,,10760030,10760030,0,,10945971,10945971,0,,32688735,32688735,0,8368316160,8368322048,183388,0,0,0,
10984833,10984833,0,,10764823,10764823,0,,10940226,10940200,0,,32689882,32689856,0,8368613632,8368596480,184735,0,0,0,
10982544,10982544,0,,10760831,10760831,0,,10945180,10945206,0,,32688555,32688581,0,8368274432,8368282880,182744,0,0,0,
10984803,10984803,0,,10764391,10764371,0,,10940734,10940734,0,,32689928,32689908,0,8368616704,8368612096,184819,0,0,0,
10983931,10983931,0,,10761324,10761344,0,,10944681,10944681,0,,32689936,32689956,0,8368620288,8368624384,181580,0,0,0,
10982226,10982226,0,,10762152,10762120,0,,10941624,10941624,0,,32686002,32685970,0,8367619584,8367603712,187691,0,0,0,
10982702,10982702,0,,10763457,10763489,0,,10942556,10942555,0,,32688715,32688746,0,8368315904,8368324864,182412,0,0,0,
10983376,10983376,0,,10760545,10760545,0,,10943622,10943621,0,,32687543,32687542,0,8367994880,8368004352,187219,0,0,0,
10983167,10983167,0,,10764775,10764775,0,,10942315,10942317,0,,32690257,32690259,0,8368713984,8368716544,181083,0,0,0,
10981047,10981047,0,,10760342,10760342,0,,10943496,10943496,0,,32684885,32684885,0,8367330560,8367326208,189077,0,0,0,
10983894,10983894,0,,10765224,10765224,0,,10942240,10942240,0,,32691358,32691358,0,8368995840,8368992256,181977,0,0,0,
10984060,10984060,0,,10760438,10760438,0,,10944231,10944231,0,,32688729,32688729,0,8368306432,8368306688,184683,0,0,0,
3277105,3277105,0,,3210505,3210473,0,,3257583,3257551,0,,9745193,9745129,0,2494761216,2494743808,52848,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
6872611,6872611,0,,6891938,6891970,0,,7005022,7005053,0,,20769571,20769634,0,5317018112,5317043712,271278,0,0,0,
11013688,11013688,0,,11065794,11065794,0,,11251611,11251580,0,,33331093,33331062,0,8532760064,8532757248,466579,0,0,0,
11015466,11015466,0,,11065351,11065351,0,,11251427,11251459,0,,33332244,33332276,0,8533062656,8533052416,472689,0,0,0,
11014972,11014972,0,,11064149,11064146,0,,11250408,11250408,0,,33329529,33329526,0,8532351232,8532348672,466624,0,0,0,
11014810,11014810,0,,11065352,11065355,0,,11251244,11251244,0,,33331406,33331409,0,8532839936,8532850176,464953,0,0,0,
11014122,11014122,0,,11065322,11065320,0,,11251671,11251671,0,,33331115,33331113,0,8532773120,8532771072,471681,0,0,0,
11014798,11014798,0,,11065028,11065030,0,,11251121,11251120,0,,33330947,33330948,0,8532706560,8532716544,469828,0,0,0,
