Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,2764,2793,0,,1721,1721,0,,711,743,0,,123,123,0,,494,524,0,,1554,1586,0,,7367,7490,0,1426176,1461120,42538,0,0,0,
1615624,1615624,0,,1869115,1869086,0,,557756,557756,0,,2648062,2648030,0,,14503105,14503137,0,,799442,799412,0,,1606119,1606087,0,,23599223,23599132,0,4531053312,4531025280,6276004,0,0,0,
1607920,1607920,0,,1887474,1887476,0,,566401,566401,0,,2640861,2640861,0,,14600784,14600783,0,,791799,791799,0,,1599191,1599218,0,,23694430,23694458,0,4549333824,4549330368,6138662,0,0,0,
1609132,1609132,0,,1888664,1888674,0,,566818,566818,0,,2642702,2642712,0,,14668060,14668061,0,,792393,792397,0,,1600424,1600422,0,,23768193,23768216,0,4563493248,4563501504,6087799,0,0,0,
1609316,1609316,0,,1889210,1889198,0,,566905,566906,0,,2643169,2643169,0,,14685436,14685436,0,,792506,792502,0,,1600758,1600733,0,,23787300,23787260,0,4567160640,4567156032,6073852,0,0,0,
1609356,1609356,0,,1889244,1889245,0,,566916,566915,0,,2643224,2643214,0,,14690931,14690931,0,,792540,792540,0,,1600783,1600788,0,,23792994,23792989,0,4568247552,4568246400,6069218,0,0,0,
1609389,1609389,0,,1889267,1889267,0,,566925,566925,0,,2643284,2643284,0,,14665624,14665624,0,,792555,792555,0,,1600803,1600798,0,,23767847,23767842,0,4563425280,4563420288,6095466,0,0,0,
1609383,1609383,0,,1889274,1889273,0,,566918,566918,0,,2643254,2643254,0,,14637530,14637498,0,,792568,792568,0,,1600834,1600834,0,,23739761,23739728,0,4558034880,4558035264,6123067,0,0,0,
1609371,1609371,0,,1889258,1889260,0,,566918,566918,0,,2643239,2643248,0,,14686647,14686679,0,,792547,792547,0,,1600792,1600792,0,,23788772,23788815,0,4567444608,4567460544,6073823,0,0,0,
1609282,1609282,0,,1889177,1889180,0,,566903,566903,0,,2643136,2643127,0,,14688230,14688227,0,,792490,792490,0,,1600728,1600728,0,,23789946,23789937,0,4567670976,4567661376,6070760,0,0,0,
1609355,1609355,0,,1889244,1889239,0,,566916,566917,0,,2643231,2643232,0,,14688978,14688981,0,,792540,792540,0,,1600788,1600788,0,,23791052,23791052,0,4567880832,4567879680,6071193,0,0,0,
1609364,1609364,0,,1889252,1889252,0,,566917,566916,0,,2643245,2643244,0,,14687599,14687598,0,,792541,792541,0,,1600789,1600789,0,,23789707,23789704,0,4567624320,4567630464,6072877,0,0,0,
1609371,1609371,0,,1889257,1889257,0,,566924,566924,0,,2643261,2643261,0,,14673273,14673274,0,,792553,792553,0,,1600797,1600797,0,,23775436,23775437,0,4564886976,4564875264,6087425,0,0,0,
1609336,1609336,0,,1889223,1889223,0,,566907,566908,0,,2643175,2643191,0,,14689423,14689423,0,,792526,792526,0,,1600778,1600778,0,,23791368,23791385,0,4567940160,4567944768,6070256,0,0,0,
1609203,1609203,0,,1889153,1889154,0,,566861,566860,0,,2643024,2643010,0,,14694537,14694536,0,,792476,792476,0,,1600700,1600700,0,,23795954,23795939,0,4568823936,4568831424,6064292,0,0,0,
1609374,1609374,0,,1889261,1889261,0,,566924,566924,0,,2643290,2643309,0,,14688072,14688073,0,,792550,792550,0,,1600801,1600801,0,,23790272,23790292,0,4567732224,4567726272,6072348,0,0,0,
1609356,1609356,0,,1889245,1889244,0,,566916,566916,0,,2643228,2643228,0,,14694535,14694535,0,,792540,792540,0,,1600788,1600788,0,,23796608,23796607,0,4568949888,4568952384,6065738,0,0,0,
1609332,1609332,0,,1889226,1889227,0,,566908,566908,0,,2643166,2643155,0,,14640293,14640293,0,,792531,792531,0,,1600775,1600775,0,,23742231,23742221,0,4558507392,4558512000,6119790,0,0,0,
1609377,1609377,0,,1889255,1889254,0,,566924,566924,0,,2643275,2643265,0,,14693680,14693680,0,,792548,792548,0,,1600798,1600798,0,,23795857,23795846,0,4568803776,4568800896,6066689,0,0,0,
1609332,1609332,0,,1889225,1889225,0,,566903,566903,0,,2643170,2643170,0,,14691264,14691264,0,,792500,792503,0,,1600759,1600763,0,,23793153,23793160,0,4568284992,4568286144,6068766,0,0,0,
1609295,1609295,0,,1889193,1889201,0,,566903,566903,0,,2643157,2643187,0,,14689884,14689884,0,,792531,792528,0,,1600756,1600755,0,,23791719,23791753,0,4568014272,4568010240,6070154,0,0,0,
1609296,1609296,0,,1889238,1889230,0,,566907,566907,0,,2643192,2643186,0,,14688009,14688008,0,,792535,792535,0,,1600784,1600781,0,,23789961,23789943,0,4567670784,4567670784,6072185,0,0,0,
1609076,1609076,0,,1889138,1889138,0,,566819,566819,0,,2642803,2642779,0,,14679217,14679216,0,,792458,792458,0,,1600632,1600632,0,,23780143,23780118,0,4565786496,4565784192,6080008,0,0,0,
1609362,1609362,0,,1889247,1889249,0,,566925,566925,0,,2643229,2643229,0,,14689736,14689738,0,,792544,792544,0,,1600836,1600836,0,,23791879,23791883,0,4568036544,4568041920,6070691,0,0,0,
