core 0,core 0,core 0,core 0,core0,core 1,core 1,core 1,core 1,core1,core 2,core 2,core 2,core 2,core2,core 3,core 3,core 3,core 3,core3,core 4,core 4,core 4,core 4,core4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,
156,74653,32,0,6866,255,72300,29,29,2052,86,63145,30,0,11388,82,92365,31,0,3068,88,95834,32,0,4676,
90,91599,30,0,3832,296,87831,31,29,16902,246,87073,32,30,2044,283,84048,32,31,2808,84,79847,29,0,5696,
309,96258,32,30,3390,277,94238,32,31,2526,77,82780,29,0,1926,78,83479,32,0,6672,283,91877,32,29,3960,
49,81136,32,0,2316,89,71183,29,0,3488,296,79000,32,29,2488,37,114045,32,0,6264,90,83497,31,0,5280,
49,86667,32,0,3368,326,95643,32,29,4742,37,79033,32,0,1376,82,77518,29,0,7526,317,85498,32,31,8664,
167,85396,30,0,6620,100,80449,30,0,39460,78,85268,32,0,1646,302,75992,32,29,13584,90,82269,31,0,4292,
266,81804,32,30,3090,286,69648,32,30,4402,83,93165,32,0,1666,83,81884,29,0,2682,259,76856,30,31,3316,
86,78491,32,0,4232,35,84786,32,0,2786,76,94217,32,0,2118,317,102620,32,29,2632,326,90439,32,30,3050,
226,91482,32,0,3130,95,76033,30,0,5836,77,85670,29,0,1376,77,80314,29,0,9106,92,73519,29,0,2158,
88,80127,31,0,6872,321,86539,32,30,4300,356,97136,30,29,1502,295,108205,32,29,2622,351,87277,32,29,6040,
298,83918,29,31,2278,99,82058,31,0,7984,305,72243,29,30,1318,36,109402,31,0,3012,201,98146,31,0,2560,
224,84765,32,29,2962,320,91118,32,31,6946,351,77168,32,29,612,314,92702,32,31,5926,271,84002,32,31,9774,
147,76563,30,0,11442,37,64998,29,0,8872,37,82488,32,0,294,78,101870,32,0,7842,89,78710,32,0,6114,
292,72681,32,30,7560,309,102818,32,29,5272,77,85777,29,0,4702,81,82810,30,0,6030,92,82878,32,0,4930,
117,71891,31,0,4600,93,90396,30,0,2954,268,78509,32,29,9676,316,97918,32,30,3378,79,99834,32,0,2622,
287,91654,32,31,5900,267,103258,32,30,6130,78,87932,32,0,2950,81,89124,29,0,8820,97,88445,31,0,2886,
128,64739,29,0,3716,95,101938,31,0,2682,83,83601,31,0,6158,310,79562,32,29,6836,342,89391,31,31,9606,
283,91796,32,29,1506,319,89781,32,31,3648,319,80042,32,31,3472,111,91829,30,0,3672,491,89239,32,31,6724,
