Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2142360,2142360,0,,2015722,2015722,0,,2081277,2081301,0,,2277581,2277613,0,,8516940,8516996,0,2180342784,2180373248,55500,0,0,0,
10669553,10669553,0,,10039733,10039747,0,,10360857,10360865,0,,11148268,11148268,0,,42218411,42218433,0,10807927040,10807918080,532346,0,0,0,
10669302,10669302,0,,10039110,10039127,0,,10360529,10360529,0,,11149071,11149039,0,,42218012,42217997,0,10807799296,10807806720,530903,0,0,0,
10667056,10667056,0,,10028697,10028698,0,,10350047,10350046,0,,11150913,11150913,0,,42196713,42196713,0,10802358528,10802357760,508050,0,0,0,
10672351,10672351,0,,10037792,10037778,0,,10358921,10358922,0,,11152846,11152878,0,,42221910,42221929,0,10808813568,10808812544,520496,0,0,0,
10674548,10674548,0,,10039272,10039286,0,,10360686,10360654,0,,11152723,11152723,0,,42227229,42227211,0,10810157824,10810164736,521862,0,0,0,
10675521,10675521,0,,10042692,10042692,0,,10362882,10362902,0,,11156425,11156425,0,,42237520,42237540,0,10812818432,10812807424,523227,0,0,0,
10673976,10673976,0,,10040788,10040773,0,,10362491,10362503,0,,11155432,11155432,0,,42232687,42232684,0,10811567104,10811567104,523723,0,0,0,
10639056,10639056,0,,9992759,9992774,0,,10315581,10315581,0,,11157551,11157551,0,,42104947,42104962,0,10778870272,10778880256,454278,0,0,0,
10660023,10660023,0,,10019233,10019233,0,,10339719,10339719,0,,11159180,11159180,0,,42178155,42178155,0,10797599488,10797593344,484479,0,0,0,
10655105,10655105,0,,10014693,10014661,0,,10335459,10335459,0,,11157085,11157085,0,,42162342,42162310,0,10793559552,10793558016,483503,0,0,0,
10656344,10656344,0,,10017842,10017861,0,,10336538,10336538,0,,11157637,11157637,0,,42168361,42168380,0,10795105280,10795105792,487082,0,0,0,
10657029,10657029,0,,10015795,10015776,0,,10336168,10336152,0,,11157457,11157454,0,,42166449,42166411,0,10794601984,10794598400,482112,0,0,0,
10644765,10644765,0,,9998670,9998690,0,,10316346,10316330,0,,11160796,11160767,0,,42120577,42120552,0,10782868736,10782871296,446709,0,0,0,
10660009,10660009,0,,10013746,10013758,0,,10334937,10334937,0,,11156782,11156814,0,,42165474,42165518,0,10794364416,10794368000,476194,0,0,0,
10654988,10654988,0,,10010878,10010846,0,,10334790,10334790,0,,11155739,11155739,0,,42156395,42156363,0,10792037120,10792035328,479401,0,0,0,
10651629,10651629,0,,10008790,10008822,0,,10327880,10327912,0,,11157704,11157704,0,,42146003,42146067,0,10789384960,10789394432,471631,0,0,0,
8569941,8569941,0,,8056605,8056573,0,,8311587,8311555,0,,8970077,8970045,0,,33908210,33908114,0,8680485376,8680449280,400209,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
