Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10670362,10670362,0,,10023651,10023633,0,,10342903,10342903,0,,11157453,11157453,0,,42194369,42194351,0,10801737472,10801757696,480876,0,0,0,
10672845,10672845,0,,10026100,10026118,0,,10346842,10346839,0,,11156507,11156506,0,,42202294,42202308,0,10803783680,10803771136,489706,0,0,0,
10641259,10641259,0,,9989663,9989663,0,,10313185,10313176,0,,11156259,11156260,0,,42100366,42100358,0,10777707008,10777700352,445124,0,0,0,
10625513,10625513,0,,9977358,9977348,0,,10296975,10296955,0,,11152929,11152929,0,,42052775,42052745,0,10765510912,10765513984,435091,0,0,0,
10662007,10662007,0,,10015551,10015529,0,,10333779,10333811,0,,11156623,11156591,0,,42167960,42167938,0,10794993408,10794989056,478136,0,0,0,
10651903,10651903,0,,10001566,10001578,0,,10319614,10319582,0,,11157811,11157843,0,,42130894,42130906,0,10785502464,10785505792,450497,0,0,0,
10642402,10642402,0,,9999063,9999083,0,,10319718,10319750,0,,11156017,11156017,0,,42117200,42117252,0,10782008320,10782007040,459023,0,0,0,
10635390,10635390,0,,9986705,9986705,0,,10309779,10309758,0,,11155966,11155964,0,,42087840,42087817,0,10774489856,10774488064,446577,0,0,0,
10662481,10662481,0,,10011026,10011026,0,,10331151,10331154,0,,11161491,11161461,0,,42166149,42166122,0,10794526720,10794531072,460819,0,0,0,
10652644,10652644,0,,10004577,10004561,0,,10322331,10322349,0,,11156955,11156987,0,,42136507,42136541,0,10786962688,10786958592,462814,0,0,0,
10656229,10656229,0,,10011852,10011836,0,,10331916,10331884,0,,11157768,11157768,0,,42157765,42157717,0,10792367360,10792364544,473463,0,0,0,
3706386,3706386,0,,3485709,3485709,0,,3596715,3596715,0,,3887462,3887430,0,,14676272,14676240,0,3757125632,3757105664,171483,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5656545,5656545,0,,5313248,5313248,0,,5488441,5488472,0,,5948828,5948860,0,,22407062,22407125,0,5736216064,5736234240,217694,0,0,0,
10674540,10674540,0,,10041921,10041953,0,,10363027,10362996,0,,11155266,11155266,0,,42234754,42234755,0,10812097024,10812110080,524449,0,0,0,
10675144,10675144,0,,10041360,10041360,0,,10362028,10362028,0,,11156435,11156435,0,,42234967,42234967,0,10812159744,10812166912,521856,0,0,0,
10673464,10673464,0,,10030381,10030349,0,,10352037,10352037,0,,11156380,11156348,0,,42212262,42212198,0,10806322688,10806308608,500515,0,0,0,
10669684,10669684,0,,10024377,10024377,0,,10344471,10344471,0,,11154604,11154636,0,,42193136,42193168,0,10801451008,10801447168,490238,0,0,0,
10674760,10674760,0,,10032784,10032807,0,,10353931,10353949,0,,11154410,11154409,0,,42215885,42215925,0,10807268864,10807263232,504799,0,0,0,
10675762,10675762,0,,10036655,10036664,0,,10357599,10357594,0,,11154591,11154592,0,,42224607,42224612,0,10809492224,10809499392,512324,0,0,0,
10673122,10673122,0,,10029618,10029586,0,,10351042,10351061,0,,11157242,11157242,0,,42211024,42211011,0,10806035200,10806039808,499222,0,0,0,
10635476,10635476,0,,9990307,9990339,0,,10307278,10307246,0,,11153350,11153350,0,,42086411,42086411,0,10774104832,10774103808,450829,0,0,0,
10539876,10539876,0,,9893825,9893825,0,,10212625,10212657,0,,11104951,11104951,0,,41751277,41751309,0,10688351488,10688338944,382013,0,0,0,
10662286,10662286,0,,10015372,10015359,0,,10333569,10333569,0,,11155088,11155056,0,,42166315,42166270,0,10794556928,10794578176,477448,0,0,0,
10648726,10648726,0,,9996184,9996197,0,,10313769,10313767,0,,11152875,11152907,0,,42111554,42111597,0,10780568832,10780573696,448364,0,0,0,
10658236,10658236,0,,10013721,10013702,0,,10334899,10334869,0,,11154789,11154789,0,,42161645,42161596,0,10793376768,10793354752,478587,0,0,0,
10652938,10652938,0,,10000334,10000353,0,,10323266,10323282,0,,11155578,11155546,0,,42132116,42132119,0,10785814272,10785820160,454842,0,0,0,
10657508,10657508,0,,10005579,10005547,0,,10326390,10326401,0,,11155638,11155670,0,,42145115,42145126,0,10789154048,10789150720,462805,0,0,0,
10666024,10666024,0,,10016253,10016271,0,,10336956,10336961,0,,11156527,11156527,0,,42175760,42175783,0,10796998656,10797003776,474890,0,0,0,
10663626,10663626,0,,10016011,10016025,0,,10334639,10334639,0,,11154898,11154898,0,,42169174,42169188,0,10795312128,10795305472,478182,0,0,0,
6595231,6595231,0,,6194481,6194449,0,,6394732,6394700,0,,6915834,6915802,0,,26100278,26100182,0,6681654784,6681636608,290151,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2894815,2894815,0,,2716525,2716525,0,,2808053,2808085,0,,3075325,3075357,0,,11494718,11494782,0,2942656000,2942690560,72169,0,0,0,
10623058,10623058,0,,9977049,9977049,0,,10294125,10294093,0,,11136659,11136659,0,,42030891,42030859,0,10759902464,10759896320,452609,0,0,0,
10670065,10670065,0,,10020590,10020622,0,,10340500,10340526,0,,11155888,11155888,0,,42187043,42187101,0,10799887104,10799886080,479196,0,0,0,
10553699,10553699,0,,9912296,9912296,0,,10232114,10232088,0,,11124425,11124425,0,,41822534,41822508,0,10706578432,10706572800,387308,0,0,0,
10673644,10673644,0,,10032410,10032410,0,,10353517,10353536,0,,11157209,11157209,0,,42216780,42216799,0,10807500544,10807487744,502661,0,0,0,
10637473,10637473,0,,9997296,9997283,0,,10314099,10314112,0,,11132549,11132549,0,,42081417,42081417,0,10772842752,10772865280,488049,0,0,0,
10660519,10660519,0,,10013036,10013049,0,,10333720,10333720,0,,11147755,11147755,0,,42155030,42155043,0,10791691008,10791675136,478483,0,0,0,
10608456,10608456,0,,9963036,9963036,0,,10283790,10283758,0,,11138135,11138135,0,,41993417,41993385,0,10750306560,10750331136,432679,0,0,0,
10533064,10533064,0,,9888125,9888093,0,,10201515,10201547,0,,11118648,11118616,0,,41741352,41741320,0,10685783552,10685757184,356926,0,0,0,
10526615,10526615,0,,9872272,9872295,0,,10187368,10187336,0,,11109001,11109033,0,,41695256,41695279,0,10673977600,10673991936,345410,0,0,0,
10573669,10573669,0,,9918872,9918879,0,,10240720,10240720,0,,11130660,11130660,0,,41863921,41863928,0,10717165568,10717179392,380195,0,0,0,
10661293,10661293,0,,10012133,10012135,0,,10329476,10329476,0,,11157502,11157502,0,,42160404,42160406,0,10793063936,10793067264,468086,0,0,0,
10660628,10660628,0,,10014168,10014151,0,,10334643,10334675,0,,11156864,11156864,0,,42166303,42166318,0,10794569216,10794547200,473698,0,0,0,
10655348,10655348,0,,10009247,10009264,0,,10328041,10328041,0,,11158068,11158068,0,,42150704,42150721,0,10790592768,10790600704,465691,0,0,0,
10650547,10650547,0,,10003682,10003682,0,,10325112,10325088,0,,11157378,11157378,0,,42136719,42136695,0,10786993920,10786982144,462743,0,0,0,
10654508,10654508,0,,10006620,10006617,0,,10329754,10329775,0,,11156663,11156661,0,,42147545,42147561,0,10789776128,10789769472,469871,0,0,0,
10661040,10661040,0,,10014787,10014790,0,,10334961,10334964,0,,11159361,11159363,0,,42170149,42170157,0,10795551488,10795564288,473028,0,0,0,
9511332,9511332,0,,8932751,8932719,0,,9218841,9218809,0,,9954684,9954652,0,,37617608,37617512,0,9630099456,9630073856,433761,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
80232,80232,0,,70918,70918,0,,78622,78622,0,,87652,87652,0,,317424,317424,0,81260544,81269760,0,0,0,0,
10431535,10431535,0,,9804756,9804788,0,,10114883,10114914,0,,10932491,10932523,0,,41283665,41283760,0,10568626176,10568645632,445077,0,0,0,
10675652,10675652,0,,10034704,10034704,0,,10355427,10355396,0,,11158834,11158834,0,,42224617,42224586,0,10809510400,10809508608,504079,0,0,0,
10671193,10671193,0,,10030637,10030626,0,,10350370,10350370,0,,11157406,11157403,0,,42209606,42209592,0,10805648128,10805647616,500222,0,0,0,
10674653,10674653,0,,10029236,10029247,0,,10349796,10349828,0,,11159049,11159051,0,,42212734,42212779,0,10806462720,10806455552,492908,0,0,0,
10677761,10677761,0,,10037576,10037576,0,,10358783,10358768,0,,11158139,11158140,0,,42232259,42232245,0,10811470848,10811465984,508086,0,0,0,
10677986,10677986,0,,10035574,10035574,0,,10357047,10357030,0,,11157313,11157313,0,,42227920,42227903,0,10810343168,10810360576,505509,0,0,0,
10678417,10678417,0,,10038783,10038783,0,,10359761,10359775,0,,11160483,11160483,0,,42237444,42237458,0,10812789248,10812772352,509069,0,0,0,
10643005,10643005,0,,9994350,9994349,0,,10315477,10315475,0,,11154172,11154170,0,,42107004,42106999,0,10779391744,10779389952,454946,0,0,0,
10659686,10659686,0,,10010731,10010721,0,,10334444,10334463,0,,11159089,11159091,0,,42163950,42163961,0,10793974016,10793999872,471596,0,0,0,
10665025,10665025,0,,10007404,10007383,0,,10327144,10327127,0,,11156385,11156385,0,,42155958,42155920,0,10791915520,10791889152,460933,0,0,0,
10653518,10653518,0,,10004355,10004384,0,,10323170,10323188,0,,11158497,11158465,0,,42139540,42139555,0,10787726080,10787734272,456202,0,0,0,
10659857,10659857,0,,10010765,10010738,0,,10330024,10330024,0,,11158639,11158668,0,,42159285,42159287,0,10792776960,10792774400,462178,0,0,0,
