Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5705712,5705712,0,,5701476,5701508,0,,5676835,5676866,0,,17084023,17084086,0,2665107588,3280144512,2037006,0,0,0,
5973615,5973615,0,,5984518,5984518,0,,5951527,5951527,0,,17909660,17909660,0,2793906960,3438654720,2173951,0,0,0,
5975640,5975640,0,,5980506,5980506,0,,5957318,5957318,0,,17913464,17913464,0,2794500384,3439385088,2170052,0,0,0,
5970442,5970442,0,,5983470,5983470,0,,5943596,5943597,0,,17897508,17897509,0,2792016240,3436327296,2186082,0,0,0,
5973969,5973969,0,,5982656,5982656,0,,5946189,5946157,0,,17902814,17902782,0,2792833992,3437334720,2180803,0,0,0,
5975339,5975339,0,,5982114,5982112,0,,5951609,5951609,0,,17909062,17909060,0,2793813672,3438538944,2174563,0,0,0,
5972443,5972443,0,,5989517,5989519,0,,5949368,5949398,0,,17911328,17911360,0,2794171848,3438975552,2172114,0,0,0,
5976634,5976634,0,,5984898,5984898,0,,5946534,5946536,0,,17908066,17908068,0,2793658608,3438351744,2175452,0,0,0,
5980153,5980153,0,,5980993,5980992,0,,5959668,5959668,0,,17920814,17920813,0,2795641992,3440793408,2162621,0,0,0,
5966165,5966165,0,,5983500,5983498,0,,5949374,5949371,0,,17899039,17899034,0,2792250084,3436614528,2184728,0,0,0,
