Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
446334,446334,0,,385817,385815,0,,448204,448203,0,,425600,425600,0,,439288,439286,0,,2145243,2145238,0,411886656,411885696,12792116,0,0,0,
445576,445576,0,,385419,385421,0,,448186,448186,0,,425464,425464,0,,438231,438233,0,,2142876,2142880,0,411432192,411434496,12794534,0,0,0,
446430,446430,0,,385201,385198,0,,447799,447801,0,,425749,425747,0,,439198,439198,0,,2144377,2144374,0,411725952,411718272,12793075,0,0,0,
445943,445943,0,,385332,385335,0,,447868,447866,0,,425661,425663,0,,439019,439019,0,,2143823,2143826,0,411608448,411614976,12794350,0,0,0,
446379,446379,0,,384876,384876,0,,448039,448042,0,,425932,425932,0,,438413,438413,0,,2143639,2143642,0,411578688,411578880,12794289,0,0,0,
446115,446115,0,,386139,386139,0,,448412,448412,0,,425575,425575,0,,439501,439498,0,,2145742,2145739,0,411982358,411981974,12791687,0,0,0,
446240,446240,0,,385154,385151,0,,447785,447782,0,,425998,425995,0,,438884,438887,0,,2144061,2144055,0,411659712,411658368,12793138,0,0,0,
445760,445760,0,,385002,385002,0,,448149,448149,0,,426286,426289,0,,438885,438885,0,,2144082,2144085,0,411669206,411672662,12793634,0,0,0,
445862,445862,0,,385920,385922,0,,448172,448174,0,,425852,425852,0,,438822,438822,0,,2144628,2144632,0,411763008,411760896,12793037,0,0,0,
445700,445700,0,,385589,385590,0,,447875,447873,0,,425837,425837,0,,438134,438134,0,,2143135,2143134,0,411488064,411488064,12793792,0,0,0,
445579,445579,0,,385625,385625,0,,447904,447907,0,,426704,426704,0,,438953,438953,0,,2144765,2144768,0,411788736,411789312,12792212,0,0,0,
445874,445874,0,,385483,385483,0,,448387,448387,0,,425609,425608,0,,438945,438945,0,,2144298,2144297,0,411705216,411706752,12793419,0,0,0,
445846,445846,0,,385909,385907,0,,448544,448544,0,,425751,425752,0,,438402,438402,0,,2144452,2144451,0,411734784,411732672,12793142,0,0,0,
445499,445499,0,,386241,386243,0,,448486,448483,0,,425991,425991,0,,438924,438921,0,,2145141,2145137,0,411867072,411867456,12792900,0,0,0,
88658,88658,0,,78360,78328,0,,89182,89153,0,,85104,85072,0,,87580,87551,0,,428884,428762,0,82345728,82321152,2313793,0,0,0,
33620,33620,0,,28857,28889,0,,33540,33571,0,,31780,31812,0,,33041,33041,0,,160838,160933,0,30880790,30905942,361234,0,0,0,
445991,445991,0,,385546,385545,0,,447827,447828,0,,426067,426067,0,,437884,437914,0,,2143315,2143345,0,411516480,411517824,5326680,0,0,0,
445850,445850,0,,384850,384848,0,,447581,447581,0,,426329,426327,0,,438737,438739,0,,2143347,2143345,0,411522624,411520704,5326777,0,0,0,
445889,445889,0,,385432,385435,0,,447312,447312,0,,425917,425919,0,,437777,437777,0,,2142327,2142332,0,411326784,411330432,5328203,0,0,0,
446058,446058,0,,384879,384879,0,,447806,447806,0,,425655,425653,0,,438398,438396,0,,2142796,2142792,0,411416832,411415104,5327391,0,0,0,
445509,445509,0,,385515,385513,0,,447268,447266,0,,425279,425279,0,,437438,437439,0,,2141009,2141006,0,411073728,411070464,5329219,0,0,0,
445982,445982,0,,385410,385412,0,,446905,446907,0,,425830,425830,0,,438634,438635,0,,2142761,2142766,0,411410112,411411072,5327565,0,0,0,
445576,445576,0,,385487,385487,0,,447115,447115,0,,425797,425797,0,,438471,438470,0,,2142446,2142445,0,411349632,411350400,5327978,0,0,0,
445732,445732,0,,385527,385527,0,,448144,448142,0,,426074,426076,0,,438977,438977,0,,2144454,2144454,0,411735168,411734400,5325916,0,0,0,
446241,446241,0,,385369,385369,0,,447320,447320,0,,425492,425491,0,,438745,438744,0,,2143167,2143165,0,411488064,411487488,5327149,0,0,0,
445222,445222,0,,385961,385961,0,,448633,448635,0,,425806,425807,0,,438730,438732,0,,2144352,2144357,0,411715584,411720000,5325710,0,0,0,
446415,446415,0,,385657,385657,0,,447893,447893,0,,426664,426664,0,,437864,437864,0,,2144493,2144493,0,411742656,411740544,5325381,0,0,0,
445332,445332,0,,385391,385391,0,,447743,447742,0,,426514,426511,0,,438598,438596,0,,2143578,2143572,0,411566976,411565440,5326583,0,0,0,
