Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1035776,1035776,0,,1066061,1066061,0,,1083794,1083794,0,,3185631,3185631,0,815521536,815522304,3064263,0,0,0,
1034752,1034752,0,,1064336,1064334,0,,1084676,1084676,0,,3183764,3183762,0,815051264,815048448,3066039,0,0,0,
1035952,1035952,0,,1064275,1064277,0,,1084687,1084687,0,,3184914,3184916,0,815330304,815333632,3064553,0,0,0,
1034079,1034079,0,,1065568,1065565,0,,1084570,1084570,0,,3184217,3184214,0,815159552,815153664,3065443,0,0,0,
1035082,1035082,0,,1064321,1064324,0,,1084773,1084773,0,,3184176,3184179,0,815149056,815152640,3065794,0,0,0,
1034915,1034915,0,,1064900,1064900,0,,1083057,1083056,0,,3182872,3182871,0,814815232,814813952,3066979,0,0,0,
1034491,1034491,0,,1065764,1065764,0,,1084994,1084992,0,,3185249,3185247,0,815423744,815426048,3064390,0,0,0,
1035217,1035217,0,,1066119,1066116,0,,1084184,1084187,0,,3185520,3185520,0,815493120,815489024,3064444,0,0,0,
1034255,1034255,0,,1065799,1065802,0,,1084037,1084037,0,,3184091,3184094,0,815127296,815131648,3065623,0,0,0,
1035088,1035088,0,,1065954,1065953,0,,1083687,1083684,0,,3184729,3184725,0,815290624,815287040,3065051,0,0,0,
1034701,1034701,0,,1064803,1064804,0,,1083717,1083720,0,,3183221,3183225,0,814904576,814914048,3066483,0,0,0,
1035689,1035689,0,,1065373,1065373,0,,1084563,1084563,0,,3185625,3185625,0,815520000,815521024,3064267,0,0,0,
957666,957666,0,,986021,985989,0,,1003787,1003755,0,,2947474,2947410,0,754553344,754524672,2814665,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
986599,986599,0,,956627,956659,0,,965810,965816,0,,2909036,2909074,0,744713216,744725248,0,0,0,0,
1059499,1059499,0,,1021134,1021134,0,,1040134,1040157,0,,3120767,3120790,0,798924544,798921472,0,0,0,0,
1058374,1058374,0,,1023111,1023079,0,,1039358,1039329,0,,3120843,3120782,0,798927616,798918656,0,0,0,0,
1060194,1060194,0,,1022332,1022332,0,,1038250,1038250,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
