Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1552652,1552652,0,,1783296,1783296,0,,541278,541278,0,,2504802,2504802,0,,9272756,9272788,0,,758816,758816,0,,1530465,1530466,0,,17944065,17944098,0,3445272960,3445277952,10848239,0,0,0,
2526190,2526190,0,,2877669,2877669,0,,881413,881414,0,,4086976,4086978,0,,14728100,14728100,0,,1233580,1233580,0,,2483950,2483949,0,,28817878,28817880,0,5533030656,5533032576,18129954,0,0,0,
2521120,2521120,0,,2869357,2869358,0,,879675,879674,0,,4081897,4081897,0,,14716036,14716004,0,,1231719,1231719,0,,2476499,2476499,0,,28776303,28776271,0,5525049216,5525042304,18081240,0,0,0,
2517804,2517804,0,,2868613,2868612,0,,879093,879093,0,,4084712,4084710,0,,14711088,14711120,0,,1232188,1232188,0,,2485648,2485648,0,,28779146,28779175,0,5525599872,5525608704,18039440,0,0,0,
2516260,2516260,0,,2867339,2867349,0,,878594,878594,0,,4083082,4083114,0,,14719339,14719339,0,,1229243,1229243,0,,2486159,2486169,0,,28780016,28780068,0,5525770752,5525776896,18049547,0,0,0,
2515313,2515313,0,,2868578,2868569,0,,877355,877355,0,,4078876,4078845,0,,14688701,14688669,0,,1230202,1230202,0,,2484385,2484376,0,,28743410,28743329,0,5518721664,5518713984,18060049,0,0,0,
2515030,2515030,0,,2866069,2866068,0,,877711,877711,0,,4083392,4083414,0,,14724993,14725025,0,,1230713,1230713,0,,2484480,2484479,0,,28782388,28782440,0,5526228096,5526227712,18032163,0,0,0,
2515472,2515472,0,,2866943,2866975,0,,878538,878538,0,,4083111,4083116,0,,14693711,14693711,0,,1231155,1231155,0,,2486341,2486341,0,,28755271,28755308,0,5521021824,5521027584,18074535,0,0,0,
2515938,2515938,0,,2868292,2868290,0,,876827,876827,0,,4079551,4079532,0,,14712584,14712583,0,,1229485,1229485,0,,2483055,2483055,0,,28765732,28765710,0,5523012096,5523005952,18023336,0,0,0,
2518822,2518822,0,,2867340,2867312,0,,878314,878314,0,,4085813,4085804,0,,14728484,14728453,0,,1231895,1231895,0,,2487757,2487757,0,,28798425,28798357,0,5529285120,5529284736,18034300,0,0,0,
2517276,2517276,0,,2867501,2867499,0,,879098,879098,0,,4083651,4083655,0,,14709648,14709648,0,,1230911,1230911,0,,2484545,2484545,0,,28772630,28772632,0,5524352640,5524350528,18033948,0,0,0,
2515511,2515511,0,,2868008,2868008,0,,878590,878592,0,,4083872,4083900,0,,14691488,14691520,0,,1231058,1231058,0,,2485900,2485911,0,,28754427,28754500,0,5520852480,5520871680,18078185,0,0,0,
2512428,2512428,0,,2864007,2864021,0,,877078,877076,0,,4076237,4076237,0,,14499492,14499460,0,,1228831,1228838,0,,2484261,2484250,0,,28542334,28542310,0,5480133312,5480123904,18173341,0,0,0,
2514903,2514903,0,,2866215,2866203,0,,877494,877494,0,,4082286,4082260,0,,14716689,14716721,0,,1230058,1230051,0,,2483749,2483749,0,,28771394,28771381,0,5524093632,5524091520,18027728,0,0,0,
2515048,2515048,0,,2865966,2865964,0,,878506,878506,0,,4079825,4079819,0,,14708379,14708379,0,,1230196,1230201,0,,2484293,2484293,0,,28762213,28762210,0,5522347584,5522342784,18040365,0,0,0,
