core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,core 5,core 5,core 5,core 5,core 6,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
226,2511,20,20,231,1656,14,16,260,3484,25,30,210,3354,24,22,216,3714,23,22,245,4662,32,29,225,3581,26,17,
193,2634,20,20,196,1502,8,14,192,3581,29,25,285,2054,15,24,287,3238,25,23,38,3579,28,0,302,1057,7,26,
260,2927,20,20,110,1742,10,8,317,2235,17,29,158,3885,28,15,235,4172,29,25,268,4508,32,28,145,2490,17,7,
177,2421,17,20,176,2881,18,10,170,4065,28,17,277,1707,13,19,276,2626,18,15,36,3950,29,0,182,4339,29,17,
288,1372,9,17,182,3364,25,18,344,2698,18,28,618,1667,14,13,149,1941,16,18,200,4026,31,29,351,1166,10,29,
134,2259,20,9,284,3029,22,25,212,2866,26,18,147,2623,18,14,247,2873,19,16,163,2356,20,20,158,2171,18,10,
202,2062,12,20,201,4051,25,22,250,1824,13,15,289,2578,20,18,223,1676,12,19,283,624,1,20,184,2395,18,18,
240,1527,14,12,323,1332,11,25,166,1534,13,13,182,2886,21,20,227,2418,18,12,43,2287,17,14,286,2908,21,18,
389,1911,16,14,168,2547,21,11,235,1511,13,13,210,994,6,21,205,1153,12,18,168,1822,15,18,206,3182,22,21,
271,1216,7,16,226,3678,24,21,148,1138,6,13,144,2532,17,6,161,2863,16,12,227,1850,13,15,285,2603,17,22,
431,1682,15,7,293,2262,19,24,569,2337,18,6,262,2609,21,17,274,3028,23,16,190,1551,9,13,186,3233,23,17,
189,1983,13,15,263,1833,12,19,262,762,6,18,195,910,4,21,226,3454,25,23,228,1678,14,9,408,4638,28,23,
161,2658,17,13,285,4805,31,12,44,2164,18,9,44,1449,14,14,340,1643,12,25,161,3360,24,14,285,4026,29,28,
218,3095,19,17,271,3817,29,31,241,2154,15,24,332,1829,13,18,161,2665,19,12,239,2486,19,24,247,4565,29,29,
219,4407,31,19,261,2304,16,29,212,1803,14,15,150,2361,17,13,217,1579,11,19,245,1150,9,19,290,4368,31,29,
370,4224,29,31,299,3162,23,16,274,2561,19,14,180,1887,12,17,236,2324,17,11,136,3047,20,9,267,4951,31,31,
291,4917,29,29,216,2377,19,23,215,2183,16,19,151,1808,14,12,173,1203,11,17,260,1516,12,20,327,3572,29,31,
222,4532,28,29,264,1858,13,19,156,1570,10,16,227,1407,11,14,948,1870,15,11,199,2101,15,12,220,3653,32,29,
378,4536,32,28,190,2060,17,13,246,2264,19,10,161,1693,15,11,505,2036,16,15,166,2353,18,15,34,4496,29,0,
31,4536,29,0,199,1822,13,17,214,820,4,19,135,2307,14,15,180,1813,16,16,243,2451,18,18,326,4550,29,29,
346,3717,29,29,277,2611,19,13,44,1338,11,16,483,1374,13,14,162,361,1,16,186,2552,20,18,274,4876,32,29,
