Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5096,5096,0,,4812,4844,0,,5013,5045,0,,5060,5090,0,,5122,5154,0,,5012,5044,0,,5030,5062,0,,35145,35335,0,6747840,6790656,658599,0,0,0,
239376,239376,0,,226882,226882,0,,238351,238350,0,,239250,239251,0,,242698,242698,0,,237104,237104,0,,240135,240135,0,,1663796,1663796,0,319448832,319442496,53698619,0,0,0,
238981,238981,0,,226460,226460,0,,238275,238276,0,,237979,237980,0,,241600,241600,0,,237150,237150,0,,239800,239800,0,,1660245,1660247,0,318773184,318767808,54859137,0,0,0,
239531,239531,0,,226706,226706,0,,238746,238746,0,,238570,238567,0,,242015,242014,0,,237110,237110,0,,239636,239636,0,,1662314,1662310,0,319163712,319169280,54401003,0,0,0,
239253,239253,0,,227340,227340,0,,237814,237814,0,,239328,239331,0,,242213,242214,0,,237809,237809,0,,240122,240122,0,,1663879,1663883,0,319459200,319459392,53888490,0,0,0,
239338,239338,0,,226550,226550,0,,238433,238433,0,,239341,239341,0,,242142,242139,0,,237182,237182,0,,239706,239706,0,,1662692,1662689,0,319236864,319236288,53821341,0,0,0,
238724,238724,0,,226196,226196,0,,238453,238453,0,,238741,238741,0,,241687,241687,0,,237045,237045,0,,239512,239511,0,,1660358,1660357,0,318794880,318788544,53803286,0,0,0,
239513,239513,0,,226866,226866,0,,238367,238367,0,,238964,238964,0,,242117,242120,0,,237048,237047,0,,239898,239899,0,,1662773,1662776,0,319252416,319259136,53868612,0,0,0,
239864,239864,0,,227346,227344,0,,238541,238541,0,,239047,239047,0,,242342,242342,0,,237422,237423,0,,240416,240416,0,,1664978,1664977,0,319687680,319681728,53804826,0,0,0,
238477,238477,0,,226657,226659,0,,238444,238444,0,,238216,238216,0,,241957,241957,0,,237053,237053,0,,239373,239373,0,,1660177,1660179,0,318735936,318742080,53826904,0,0,0,
239227,239227,0,,225947,225946,0,,238570,238570,0,,238507,238506,0,,241939,241939,0,,237309,237309,0,,239673,239673,0,,1661172,1661170,0,318945024,318944640,53850734,0,0,0,
238938,238938,0,,226570,226570,0,,237848,237848,0,,238848,238849,0,,242230,242230,0,,236604,236604,0,,240121,240121,0,,1661159,1661160,0,318948672,318944640,53877606,0,0,0,
