Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
3503154,3503154,0,,3299846,3299843,0,,3404859,3404861,0,,3385809,3385807,0,,13593668,13593665,0,1971090705,2609984256,6489824,0,0,0,
3500690,3500690,0,,3296044,3296046,0,,3402441,3402441,0,,3382444,3382446,0,,13581619,13581623,0,1969325910,2607671040,6502071,0,0,0,
3520488,3520488,0,,3293388,3293389,0,,3402539,3402539,0,,3383595,3383595,0,,13600010,13600011,0,1972001450,2611202496,6483488,0,0,0,
3519869,3519869,0,,3296310,3296310,0,,3407278,3407278,0,,3386283,3386280,0,,13609740,13609737,0,1973416505,2613069120,6473975,0,0,0,
3524506,3524506,0,,3294625,3294623,0,,3405442,3405442,0,,3386154,3386157,0,,13610727,13610728,0,1973551210,2613259776,6472780,0,0,0,
3510384,3510384,0,,3295385,3295384,0,,3404667,3404667,0,,3385320,3385317,0,,13595756,13595752,0,1971388825,2610390528,6487938,0,0,0,
3514873,3514873,0,,3295995,3295998,0,,3405257,3405225,0,,3385475,3385478,0,,13601600,13601574,0,1972237075,2611514112,6481977,0,0,0,
3521510,3521510,0,,3292819,3292817,0,,3401204,3401236,0,,3383876,3383876,0,,13599409,13599439,0,1971905025,2611074816,6484234,0,0,0,
3500005,3500005,0,,3293433,3293403,0,,3405471,3405468,0,,3384776,3384744,0,,13583685,13583620,0,1969634325,2608064832,6499976,0,0,0,
3509263,3509263,0,,3292591,3292623,0,,3403409,3403411,0,,3383452,3383484,0,,13588715,13588781,0,1970368315,2609035584,6494830,0,0,0,
3524903,3524903,0,,3295452,3295420,0,,3404582,3404583,0,,3385966,3385966,0,,13610903,13610872,0,1973580935,2613293952,6472756,0,0,0,
3520804,3520804,0,,3295860,3295892,0,,3405756,3405756,0,,3386160,3386160,0,,13608580,13608612,0,1973244100,2612853120,6475261,0,0,0,
3523322,3523322,0,,3291886,3291886,0,,3403402,3403399,0,,3383733,3383733,0,,13602343,13602340,0,1972335095,2611643136,6481288,0,0,0,
3524786,3524786,0,,3297353,3297353,0,,3405862,3405865,0,,3386340,3386338,0,,13614341,13614342,0,1974084085,2613954048,6469221,0,0,0,
3519772,3519772,0,,3293744,3293744,0,,3406177,3406177,0,,3385319,3385321,0,,13605012,13605014,0,1972722100,2612162304,6478788,0,0,0,
3519400,3519400,0,,3280261,3280261,0,,3405419,3405419,0,,3386023,3386021,0,,13591103,13591101,0,1970709935,2609491392,6492344,0,0,0,
3522628,3522628,0,,3283100,3283100,0,,3403902,3403902,0,,3387027,3387027,0,,13596657,13596657,0,1971519905,2610558144,6486965,0,0,0,
3524127,3524127,0,,3278855,3278853,0,,3402515,3402513,0,,3382604,3382605,0,,13588101,13588098,0,1970274355,2608916736,6495492,0,0,0,
3524349,3524349,0,,3287963,3287963,0,,3409629,3409630,0,,3387211,3387212,0,,13609152,13609154,0,1973322690,2612955648,6474424,0,0,0,
3530228,3530228,0,,3299195,3299197,0,,3407419,3407420,0,,3383793,3383791,0,,13620635,13620636,0,1974992075,2615162112,6463007,0,0,0,
3527594,3527594,0,,3295893,3295890,0,,3405481,3405481,0,,3383446,3383416,0,,13612414,13612381,0,1973800030,2613583104,6471103,0,0,0,
3529551,3529551,0,,3297725,3297728,0,,3408148,3408148,0,,3387015,3387047,0,,13622439,13622474,0,1975253655,2615509056,6461034,0,0,0,
3518329,3518329,0,,3294699,3294697,0,,3404869,3404869,0,,3382888,3382888,0,,13600785,13600783,0,1972113825,2611350336,6482756,0,0,0,
3524085,3524085,0,,3292776,3292775,0,,3407225,3407225,0,,3387283,3387280,0,,13611369,13611365,0,1973648505,2613382080,6472298,0,0,0,
3522639,3522639,0,,3284001,3284004,0,,3405929,3405929,0,,3385765,3385768,0,,13598334,13598340,0,1971758430,2610881280,6485502,0,0,0,
3524296,3524296,0,,3296652,3296652,0,,3406924,3406921,0,,3387805,3387803,0,,13615677,13615672,0,1974273165,2614209024,6467821,0,0,0,
3516445,3516445,0,,3280888,3280886,0,,3403057,3403060,0,,3383811,3383813,0,,13584201,13584204,0,1969709145,2608167168,6499480,0,0,0,
3517366,3517366,0,,3291701,3291700,0,,3402513,3402513,0,,3383536,3383536,0,,13595116,13595115,0,1971291820,2610262080,6488385,0,0,0,
769254,769254,0,,722487,722458,0,,746573,746541,0,,742100,742068,0,,2980414,2980321,0,432160030,572221632,1418416,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1224982,1224982,0,,1224982,1224982,0,,1224976,1224976,0,,1224976,1224976,0,,4899916,4899916,0,710487820,940783872,0,0,0,0,
2499844,2499844,0,,2499834,2499852,0,,2499808,2499834,0,,2499816,2499840,0,,9999302,9999370,0,1449898790,1919879040,0,0,0,0,
2499821,2499821,0,,2499831,2499813,0,,2499807,2499806,0,,2499824,2499800,0,,9999283,9999240,0,1449899660,1919854080,0,0,0,0,
2499813,2499813,0,,2499813,2499813,0,,2499825,2499800,0,,2499800,2499800,0,,9999251,9999226,0,1449887770,1919851392,0,0,0,0,
2499845,2499845,0,,2499834,2499852,0,,2499824,2499840,0,,2499815,2499840,0,,9999318,9999377,0,1449904735,1919880384,0,0,0,0,
2499820,2499820,0,,2499831,2499813,0,,2499816,2499800,0,,2499825,2499800,0,,9999292,9999233,0,1449893715,1919852736,0,0,0,0,
2499842,2499842,0,,2499827,2499852,0,,2499824,2499840,0,,2499824,2499840,0,,9999317,9999374,0,1449903285,1919879808,0,0,0,0,
2499823,2499823,0,,2499838,2499813,0,,2499816,2499800,0,,2499816,2499800,0,,9999293,9999236,0,1449895165,1919853312,0,0,0,0,
2499845,2499845,0,,2499817,2499845,0,,2499832,2499832,0,,2499815,2499832,0,,9999309,9999354,0,1449902270,1919875968,0,0,0,0,
2499820,2499820,0,,2499848,2499820,0,,2499808,2499808,0,,2499825,2499808,0,,9999301,9999256,0,1449896180,1919857152,0,0,0,0,
