Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10525076,10525076,0,,10525102,10525097,0,,10525066,10525056,0,,31575244,31575229,0,6946561600,8083259648,0,0,0,0,
10525145,10525145,0,,10525122,10525134,0,,10525090,10525106,0,,31575357,31575385,0,6946570620,8083303168,0,0,0,0,
10524938,10524938,0,,10525106,10525106,0,,10525082,10525071,0,,31575126,31575115,0,6946539380,8083232768,0,0,0,0,
10524874,10524874,0,,10525107,10525107,0,,10525057,10525068,0,,31575038,31575049,0,6946503740,8083206656,0,0,0,0,
10525118,10525118,0,,10525135,10525135,0,,10525087,10525086,0,,31575340,31575339,0,6946581620,8083303168,0,0,0,0,
10525249,10525249,0,,10525078,10525046,0,,10525108,10525077,0,,31575435,31575372,0,6946581840,8083296256,0,0,0,0,
10525451,10525451,0,,10525200,10525227,0,,10525082,10525110,0,,31575733,31575788,0,6946661260,8083380224,0,0,0,0,
10525103,10525103,0,,10525102,10525107,0,,10525063,10525067,0,,31575268,31575277,0,6946558960,8083274496,0,0,0,0,
10525148,10525148,0,,10525149,10525149,0,,10525119,10525112,0,,31575416,31575409,0,6946591520,8083303168,0,0,0,0,
10525133,10525133,0,,10525133,10525133,0,,10525082,10525074,0,,31575348,31575340,0,6946580300,8083292672,0,0,0,0,
10525076,10525076,0,,10525098,10525098,0,,10525059,10525074,0,,31575233,31575248,0,6946547520,8083261440,0,0,0,0,
10525162,10525162,0,,10525138,10525135,0,,10525099,10525098,0,,31575399,31575395,0,6946594600,8083294464,0,0,0,0,
10524854,10524854,0,,10525164,10525164,0,,10525123,10525121,0,,31575141,31575139,0,6946536960,8083251456,0,0,0,0,
6173256,6173256,0,,6172948,6172919,0,,6172925,6172896,0,,18519129,18519071,0,4074195620,4740866304,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1880157,1880157,0,,1895990,1896022,0,,1913235,1913267,0,,5689382,5689446,0,1251664040,1456502528,309899,0,0,0,
10715882,10715882,0,,10823679,10823676,0,,10943042,10943042,0,,32482603,32482600,0,7146172660,8315543552,2296332,0,0,0,
10714697,10714697,0,,10823025,10823026,0,,10944015,10944012,0,,32481737,32481735,0,7145988740,8315332352,2297046,0,0,0,
10713774,10713774,0,,10822951,10822953,0,,10944036,10944039,0,,32480761,32480766,0,7145760820,8315072512,2297291,0,0,0,
10715522,10715522,0,,10825427,10825427,0,,10943094,10943091,0,,32484043,32484040,0,7146502880,8315922944,2294813,0,0,0,
10715700,10715700,0,,10825214,10825214,0,,10947293,10947296,0,,32488207,32488210,0,7147399160,8316980480,2290706,0,0,0,
10714575,10714575,0,,10823979,10823979,0,,10947573,10947541,0,,32486127,32486095,0,7146947940,8316442880,2292745,0,0,0,
10715725,10715725,0,,10825184,10825183,0,,10944402,10944434,0,,32485311,32485342,0,7146775240,8316246272,2293539,0,0,0,
