Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
10449896,10449896,0,,10857922,10857924,0,,11027882,11027883,0,,10397288,10397289,0,,42732988,42732992,0,6580885388,8204736000,2321499,0,0,0,
10452144,10452144,0,,10858254,10858254,0,,11028303,11028271,0,,10396856,10396856,0,,42735557,42735525,0,6581270850,8205219456,2317519,0,0,0,
10454787,10454787,0,,10856419,10856419,0,,11027769,11027800,0,,10390897,10390897,0,,42729872,42729903,0,6580405216,8204142912,2323104,0,0,0,
10453887,10453887,0,,10854375,10854375,0,,11025635,11025635,0,,10392346,10392346,0,,42726243,42726243,0,6579831566,8203426560,2329882,0,0,0,
10451298,10451298,0,,10858221,10858219,0,,11023383,11023381,0,,10390668,10390666,0,,42723570,42723564,0,6579443486,8202939456,2327647,0,0,0,
10451425,10451425,0,,10857663,10857664,0,,11024782,11024784,0,,10397679,10397681,0,,42731549,42731554,0,6580654388,8204448384,2323624,0,0,0,
10447823,10447823,0,,10858108,10858109,0,,11020706,11020675,0,,10389617,10389617,0,,42716254,42716224,0,6578303424,8201528256,2336270,0,0,0,
10453062,10453062,0,,10856018,10856017,0,,11020642,11020674,0,,10384219,10384219,0,,42713941,42713972,0,6577941832,8201063424,2340721,0,0,0,
8339686,8339686,0,,8666219,8666188,0,,8796428,8796396,0,,8288365,8288333,0,,34090698,34090603,0,5249962718,6545395776,1858403,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
