Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
9372814,9372814,0,,9372811,9372814,0,,9372765,9372768,0,,9372765,9372767,0,,37491155,37491163,0,7835657665,9597729536,0,0,0,0,
4546913,4546913,0,,4546914,4546889,0,,4546891,4546866,0,,4546891,4546867,0,,18187609,18187535,0,3801194815,4656005888,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4607388,4607388,0,,4607401,4607433,0,,4607354,4607386,0,,4606430,4606462,0,,18428573,18428669,0,3851578445,4717757696,0,0,0,0,
10708976,10708976,0,,10708961,10708961,0,,10708934,10708934,0,,10708780,10708778,0,,42835651,42835649,0,8952644371,10965916416,0,0,0,0,
10705163,10705163,0,,10705183,10705183,0,,10705124,10705124,0,,10705145,10705115,0,,42820615,42820585,0,8949508535,10962080512,0,0,0,0,
10699361,10699361,0,,10699356,10699324,0,,10699291,10699283,0,,10699008,10699008,0,,42797016,42796976,0,8944581360,10956035328,0,0,0,0,
10696613,10696613,0,,10696594,10696626,0,,10696547,10696555,0,,10696912,10696944,0,,42786666,42786738,0,8942428242,10953406208,0,0,0,0,
10705893,10705893,0,,10705911,10705896,0,,10705863,10705848,0,,10705647,10705615,0,,42823314,42823252,0,8950059668,10962741760,0,0,0,0,
10706437,10706437,0,,10706426,10706441,0,,10706361,10706375,0,,10706423,10706455,0,,42825647,42825708,0,8950566284,10963375616,0,0,0,0,
10702114,10702114,0,,10702108,10702104,0,,10702047,10702048,0,,10702158,10702158,0,,42808427,42808424,0,8946967304,10958966784,0,0,0,0,
10638707,10638707,0,,10638726,10638720,0,,10638690,10638680,0,,10638895,10638895,0,,42555018,42555002,0,8893995418,10894080768,0,0,0,0,
10645459,10645459,0,,10645452,10645462,0,,10645398,10645408,0,,10644868,10644868,0,,42581177,42581197,0,8899450109,10900772608,0,0,0,0,
10680007,10680007,0,,10680007,10679994,0,,10679955,10679940,0,,10680688,10680688,0,,42720657,42720629,0,8928624837,10936487680,0,0,0,0,
10678784,10678784,0,,10678777,10678780,0,,10678721,10678725,0,,10678792,10678792,0,,42715074,42715081,0,8927451929,10935058432,0,0,0,0,
10682935,10682935,0,,10682941,10682919,0,,10682893,10682872,0,,10682791,10682791,0,,42731560,42731517,0,8930900429,10939285504,0,0,0,0,
10676020,10676020,0,,10676015,10676047,0,,10675955,10675987,0,,10675106,10675106,0,,42703096,42703160,0,8924953752,10932007424,0,0,0,0,
10675520,10675520,0,,10675560,10675560,0,,10675526,10675526,0,,10676330,10676330,0,,42702936,42702936,0,8924913624,10931932160,0,0,0,0,
10673565,10673565,0,,10673530,10673527,0,,10673450,10673450,0,,10673410,10673409,0,,42693955,42693951,0,8923029698,10929655808,0,0,0,0,
10688488,10688488,0,,10688503,10688474,0,,10688452,10688443,0,,10688285,10688286,0,,42753728,42753691,0,8935524763,10944935424,0,0,0,0,
8012417,8012417,0,,8012396,8012396,0,,8012359,8012336,0,,8013252,8013220,0,,32050424,32050369,0,6698529838,8204888576,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
89442,89442,0,,89442,89457,0,,89442,89456,0,,89442,89456,0,,357768,357811,0,74782499,91613184,0,0,0,0,
10058328,10058328,0,,10058328,10058335,0,,10058276,10058285,0,,10058286,10058296,0,,40233218,40233244,0,8408742980,10299707392,0,0,0,0,
10168047,10168047,0,,10168045,10168040,0,,10167997,10167989,0,,10167986,10167978,0,,40672075,40672054,0,8500464302,10412051968,0,0,0,0,
10168054,10168054,0,,10168056,10168052,0,,10168015,10168010,0,,10168016,10168000,0,,40672141,40672116,0,8500474543,10412058880,0,0,0,0,
10168026,10168026,0,,10168026,10168043,0,,10167963,10167982,0,,10167970,10168002,0,,40671985,40672053,0,8500450090,10412035840,0,0,0,0,
10167494,10167494,0,,10167494,10167484,0,,10167441,10167434,0,,10167433,10167424,0,,40669862,40669836,0,8500002412,10411491584,0,0,0,0,
10167989,10167989,0,,10167999,10168001,0,,10167948,10167948,0,,10167940,10167947,0,,40671876,40671885,0,8500413097,10411984896,0,0,0,0,
10168062,10168062,0,,10168064,10168042,0,,10168013,10167991,0,,10168009,10167992,0,,40672148,40672087,0,8500477051,10412069632,0,0,0,0,
10167970,10167970,0,,10167958,10167978,0,,10167907,10167926,0,,10167920,10167928,0,,40671755,40671802,0,8500406618,10411984384,0,0,0,0,
10167981,10167981,0,,10167999,10167979,0,,10167948,10167948,0,,10167930,10167928,0,,40671858,40671836,0,8500418113,10411981824,0,0,0,0,
10168041,10168041,0,,10168022,10168045,0,,10167981,10167985,0,,10167999,10168002,0,,40672043,40672073,0,8500458868,10412051712,0,0,0,0,
10168048,10168048,0,,10168049,10168047,0,,10168007,10168006,0,,10167970,10167980,0,,40672074,40672081,0,8500464929,10412058880,0,0,0,0,
10167910,10167910,0,,10167909,10167909,0,,10167858,10167836,0,,10167863,10167863,0,,40671540,40671518,0,8500347262,10411908608,0,0,0,0,
10167012,10167012,0,,10167013,10167014,0,,10166941,10166963,0,,10166972,10166963,0,,40667938,40667952,0,8499597161,10410989056,0,0,0,0,
10167822,10167822,0,,10167823,10167822,0,,10167771,10167770,0,,10167772,10167749,0,,40671188,40671163,0,8500269096,10411817728,0,0,0,0,
10168000,10168000,0,,10167999,10168000,0,,10167947,10167948,0,,10167946,10167969,0,,40671892,40671917,0,8500434624,10412011520,0,0,0,0,
10167927,10167927,0,,10167925,10167927,0,,10167875,10167876,0,,10167876,10167875,0,,40671603,40671605,0,8500365654,10411930112,0,0,0,0,
10167922,10167922,0,,10167923,10167909,0,,10167871,10167866,0,,10167860,10167857,0,,40671576,40671554,0,8500359384,10411923200,0,0,0,0,
265343,265343,0,,265344,265334,0,,265343,265325,0,,265354,265335,0,,1061384,1061337,0,221819433,271686144,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9487731,9487731,0,,9487740,9487761,0,,9487692,9487713,0,,9487687,9487719,0,,37950850,37950924,0,7931736428,9715445504,0,0,0,0,
10697388,10697388,0,,10697375,10697354,0,,10697321,10697332,0,,10697262,10697230,0,,42789346,42789304,0,8942971224,10954088448,0,0,0,0,
10696629,10696629,0,,10696735,10696765,0,,10696683,10696683,0,,10696442,10696474,0,,42786489,42786551,0,8942389159,10953351168,0,0,0,0,
10683325,10683325,0,,10683269,10683271,0,,10683309,10683277,0,,10683239,10683239,0,,42733142,42733112,0,8931225006,10939680256,0,0,0,0,
10693826,10693826,0,,10693766,10693766,0,,10693640,10693640,0,,10693653,10693653,0,,42774885,42774885,0,8939946367,10950365184,0,0,0,0,
10701157,10701157,0,,10701215,10701215,0,,10701136,10701168,0,,10700934,10700934,0,,42804442,42804474,0,8946121690,10957937152,0,0,0,0,
10695746,10695746,0,,10695701,10695689,0,,10695648,10695639,0,,10695420,10695420,0,,42782515,42782494,0,8941554622,10952320768,0,0,0,0,
10695713,10695713,0,,10695724,10695704,0,,10695678,10695655,0,,10695514,10695514,0,,42782629,42782586,0,8941560474,10952347392,0,0,0,0,
10634334,10634334,0,,10634357,10634388,0,,10634334,10634366,0,,10635082,10635082,0,,42538107,42538170,0,8890464363,10889757184,0,0,0,0,
10660231,10660231,0,,10660197,10660182,0,,10660105,10660089,0,,10660132,10660132,0,,42640665,42640634,0,8911898985,10916002560,0,0,0,0,
10675587,10675587,0,,10675581,10675597,0,,10675525,10675541,0,,10675282,10675282,0,,42701975,42702007,0,8924726151,10931730944,0,0,0,0,
10674508,10674508,0,,10674515,10674504,0,,10674483,10674473,0,,10674133,10674101,0,,42697639,42697586,0,8923790876,10930571008,0,0,0,0,
10683125,10683125,0,,10683125,10683136,0,,10683059,10683061,0,,10683137,10683169,0,,42732446,42732491,0,8931088529,10939512832,0,0,0,0,
10664899,10664899,0,,10664911,10664904,0,,10664849,10664857,0,,10664654,10664654,0,,42659313,42659314,0,8915789938,10920781312,0,0,0,0,
10677385,10677385,0,,10677402,10677377,0,,10677342,10677328,0,,10677440,10677440,0,,42709569,42709530,0,8926307654,10933655808,0,0,0,0,
10680296,10680296,0,,10680266,10680288,0,,10680240,10680222,0,,10680301,10680301,0,,42721103,42721107,0,8928702167,10936587776,0,0,0,0,
10675756,10675756,0,,10675773,10675772,0,,10675696,10675719,0,,10675656,10675656,0,,42702881,42702903,0,8924913415,10931948544,0,0,0,0,
3170851,3170851,0,,3170835,3170814,0,,3170820,3170797,0,,3171592,3171560,0,,12684098,12684022,0,2650960598,3247092224,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4805353,4805353,0,,4805362,4805394,0,,4805329,4805361,0,,4804424,4804456,0,,19220468,19220564,0,4017084500,4920475904,0,0,0,0,
10707034,10707034,0,,10707024,10707024,0,,10707000,10707000,0,,10705807,10705807,0,,42826865,42826865,0,8950821473,10963693824,0,0,0,0,
10704434,10704434,0,,10704435,10704426,0,,10704383,10704351,0,,10705730,10705730,0,,42818982,42818941,0,8949158669,10961641472,0,0,0,0,
10684708,10684708,0,,10684696,10684705,0,,10684653,10684653,0,,10684386,10684386,0,,42738443,42738452,0,8932343156,10941043968,0,0,0,0,
10692299,10692299,0,,10692310,10692301,0,,10692244,10692267,0,,10692622,10692619,0,,42769475,42769486,0,8938811706,10948972800,0,0,0,0,
10703669,10703669,0,,10703659,10703668,0,,10703580,10703589,0,,10702762,10702765,0,,42813670,42813691,0,8948072287,10960317184,0,0,0,0,
10703292,10703292,0,,10703291,10703291,0,,10703262,10703252,0,,10703104,10703104,0,,42812949,42812939,0,8947897563,10960106496,0,0,0,0,
10698362,10698362,0,,10698372,10698372,0,,10698295,10698305,0,,10699274,10699274,0,,42794303,42794313,0,8944011417,10955348736,0,0,0,0,
10663788,10663788,0,,10663806,10663797,0,,10663752,10663743,0,,10663402,10663402,0,,42654748,42654730,0,8914838570,10919598080,0,0,0,0,
10673748,10673748,0,,10673731,10673731,0,,10673700,10673677,0,,10673592,10673592,0,,42694771,42694748,0,8923209020,10929864192,0,0,0,0,
10689250,10689250,0,,10689260,10689269,0,,10689175,10689207,0,,10689515,10689515,0,,42757200,42757241,0,8936256681,10945858304,0,0,0,0,
10681664,10681664,0,,10681656,10681656,0,,10681621,10681621,0,,10681860,10681828,0,,42726801,42726769,0,8929894721,10938052608,0,0,0,0,
10683860,10683860,0,,10683873,10683864,0,,10683809,10683801,0,,10683898,10683898,0,,42735440,42735423,0,8931710095,10940286720,0,0,0,0,
10674784,10674784,0,,10674779,10674788,0,,10674725,10674724,0,,10674780,10674812,0,,42699068,42699108,0,8924106884,10930952704,0,0,0,0,
10671780,10671780,0,,10671758,10671758,0,,10671739,10671716,0,,10672066,10672066,0,,42687343,42687320,0,8921656568,10927958272,0,0,0,0,
10689664,10689664,0,,10689675,10689675,0,,10689596,10689628,0,,10688295,10688295,0,,42757230,42757262,0,8936254382,10945848064,0,0,0,0,
10692462,10692462,0,,10692451,10692451,0,,10692402,10692402,0,,10692220,10692220,0,,42769535,42769535,0,8938839503,10949017088,0,0,0,0,
6140712,6140712,0,,6140725,6140693,0,,6140679,6140647,0,,6142207,6142175,0,,24564323,24564227,0,5133930131,6288416768,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1581220,1581220,0,,1581231,1581231,0,,1581224,1581256,0,,1581208,1581240,0,,6324883,6324947,0,1321900547,1619202304,0,0,0,0,
10695397,10695397,0,,10695431,10695460,0,,10695425,10695414,0,,10695155,10695155,0,,42781408,42781426,0,8941324722,10952045824,0,0,0,0,
10698233,10698233,0,,10698189,10698177,0,,10698085,10698082,0,,10697953,10697953,0,,42792460,42792445,0,8943621005,10954858240,0,0,0,0,
10688275,10688275,0,,10688297,10688280,0,,10688231,10688236,0,,10688035,10688035,0,,42752838,42752826,0,8935351920,10944732928,0,0,0,0,
10693294,10693294,0,,10693271,10693300,0,,10693239,10693238,0,,10693301,10693301,0,,42773105,42773133,0,8939583125,10949911552,0,0,0,0,
10699598,10699598,0,,10699891,10699894,0,,10699838,10699848,0,,10699660,10699660,0,,42798987,42799000,0,8944988074,10956553728,0,0,0,0,
10699095,10699095,0,,10698790,10698790,0,,10698742,10698742,0,,10698883,10698883,0,,42795510,42795510,0,8944254902,10955651072,0,0,0,0,
10702003,10702003,0,,10702046,10702039,0,,10701965,10701965,0,,10701946,10701914,0,,42807960,42807921,0,8946862177,10958831616,0,0,0,0,
10672894,10672894,0,,10672863,10672860,0,,10672819,10672808,0,,10673023,10673055,0,,42691599,42691617,0,8922547953,10929045248,0,0,0,0,
10655378,10655378,0,,10655391,10655390,0,,10655337,10655338,0,,10655391,10655391,0,,42621497,42621497,0,8907886185,10911101696,0,0,0,0,
