Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
8974863,8974863,0,,8761078,8761078,0,,17735941,17735941,0,2961907491,3405306816,2347374,0,0,0,
8956525,8956525,0,,8770969,8770969,0,,17727494,17727494,0,2960486154,3403672704,2356306,0,0,0,
8946349,8946349,0,,8725797,8725797,0,,17672146,17672146,0,2951248382,3393052032,2411285,0,0,0,
8970026,8970026,0,,8708382,8708379,0,,17678408,17678405,0,2952294136,3394253760,2405240,0,0,0,
8959942,8959942,0,,8711911,8711882,0,,17671853,17671824,0,2951199451,3392995776,2411659,0,0,0,
8938926,8938926,0,,8689065,8689065,0,,17627991,17627991,0,2943874497,3384575040,2455596,0,0,0,
8948656,8948656,0,,8698597,8698627,0,,17647253,17647283,0,2947091251,3388272000,2436271,0,0,0,
8980152,8980152,0,,8659891,8659891,0,,17640043,17640043,0,2945892191,3386888256,2443381,0,0,0,
8978159,8978159,0,,8724671,8724670,0,,17702830,17702829,0,2956367600,3398943552,2381090,0,0,0,
6974645,6974645,0,,6810394,6810365,0,,13785039,13785010,0,2302101513,2646721536,1885845,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
839356,839356,0,,839337,839368,0,,1678693,1678724,0,280346908,322315008,0,0,0,0,
4998826,4998826,0,,4999685,4999654,0,,9998511,9998480,0,1669746160,1919708160,840,0,0,0,
4998839,4998839,0,,4999613,4999613,0,,9998452,9998452,0,1669741484,1919702784,774,0,0,0,
4998787,4998787,0,,4999626,4999657,0,,9998413,9998444,0,1669734971,1919701248,839,0,0,0,
4998794,4998794,0,,4999679,4999648,0,,9998473,9998442,0,1669744991,1919700864,885,0,0,0,
4998773,4998773,0,,4999613,4999613,0,,9998386,9998386,0,1669730462,1919690112,840,0,0,0,
4998829,4998829,0,,4999692,4999692,0,,9998521,9998521,0,1669753007,1919716032,863,0,0,0,
4998833,4998833,0,,4999613,4999613,0,,9998446,9998446,0,1669740482,1919701632,780,0,0,0,
4998802,4998802,0,,4999613,4999613,0,,9998415,9998415,0,1669735305,1919699904,811,0,0,0,
4998849,4998849,0,,4999675,4999692,0,,9998524,9998541,0,1669756347,1919715648,835,0,0,0,
4998816,4998816,0,,4999651,4999665,0,,9998467,9998481,0,1669741150,1919708352,836,0,0,0,
4998776,4998776,0,,4999592,4999591,0,,9998368,9998367,0,1669732466,1919686464,836,0,0,0,
4998820,4998820,0,,4999692,4999662,0,,9998512,9998482,0,1669746494,1919708544,842,0,0,0,
4998920,4998920,0,,4999613,4999640,0,,9998533,9998560,0,1669755011,1919723520,712,0,0,0,
4998836,4998836,0,,4999692,4999665,0,,9998528,9998501,0,1669754176,1919712192,837,0,0,0,
4998799,4998799,0,,4999613,4999613,0,,9998412,9998412,0,1669734804,1919696064,814,0,0,0,
4998783,4998783,0,,4999622,4999654,0,,9998405,9998437,0,1669738979,1919698944,855,0,0,0,
4999078,4999078,0,,4999683,4999651,0,,9998761,9998729,0,1669787743,1919755968,589,0,0,0,
4998720,4998720,0,,4999613,4999617,0,,9998333,9998337,0,1669722279,1919680704,893,0,0,0,
4999006,4999006,0,,4999657,4999673,0,,9998663,9998679,0,1669776053,1919746368,644,0,0,0,
