Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4491374,4491374,0,,4491366,4491397,0,,4491363,4491393,0,,4489893,4489893,0,,4488389,4488389,0,,4489880,4489912,0,,4489865,4489897,0,,31432130,31432255,0,4086188990,6035024256,0,0,0,0,
8064052,8064052,0,,8064074,8064043,0,,8064071,8064060,0,,8061341,8061360,0,,8058649,8058649,0,,8061352,8061341,0,,8061366,8061356,0,,56434905,56434861,0,7336541030,10835484672,0,0,0,0,
8064008,8064008,0,,8064005,8064018,0,,8064009,8064006,0,,8061321,8061302,0,,8058613,8058628,0,,8061311,8061308,0,,8061312,8061308,0,,56434579,56434578,0,7336501900,10835444544,0,0,0,0,
8039634,8039634,0,,8039630,8039634,0,,8039648,8039632,0,,8036945,8036945,0,,8034256,8034250,0,,8036958,8036940,0,,8036956,8036954,0,,56264027,56263989,0,7314314540,10802689536,0,0,0,0,
7856979,7856979,0,,7856969,7856976,0,,7856967,7856985,0,,7854349,7854349,0,,7851710,7851716,0,,7854349,7854349,0,,7854347,7854350,0,,54985670,54985704,0,7148141130,10557243648,0,0,0,0,
7885985,7885985,0,,7885999,7885975,0,,7885983,7885965,0,,7883336,7883365,0,,7880695,7880712,0,,7883293,7883325,0,,7883334,7883346,0,,55188625,55188673,0,7174512410,10596224832,0,0,0,0,
7889560,7889560,0,,7889534,7889563,0,,7889534,7889563,0,,7886905,7886905,0,,7884279,7884273,0,,7886950,7886947,0,,7886908,7886906,0,,55213670,55213717,0,7177791010,10601033280,0,0,0,0,
