Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
195056,195056,0,,201248,201248,0,,191476,191476,0,,183558,183559,0,,178121,178128,0,,187791,187795,0,,1137250,1137262,0,218354304,218357568,19329,0,0,0,
3478351,3478351,0,,3506307,3506311,0,,3350437,3350437,0,,3347698,3347697,0,,3065995,3065988,0,,3334854,3334853,0,,20083642,20083637,0,3856059456,3856062336,0,0,0,0,
3477320,3477320,0,,3507587,3507583,0,,3355264,3355264,0,,3339703,3339703,0,,3069509,3069509,0,,3333811,3333808,0,,20083194,20083187,0,3855970752,3855966528,337,0,0,0,
3478308,3478308,0,,3506061,3506061,0,,3352855,3352855,0,,3347743,3347743,0,,3068687,3068688,0,,3329581,3329581,0,,20083235,20083236,0,3855984000,3855982080,367,0,0,0,
3481094,3481094,0,,3505016,3505016,0,,3350400,3350400,0,,3343478,3343478,0,,3066622,3066621,0,,3336515,3336515,0,,20083125,20083124,0,3855957120,3855957120,477,0,0,0,
3475473,3475473,0,,3509571,3509571,0,,3354865,3354865,0,,3341298,3341298,0,,3070765,3070765,0,,3330903,3330903,0,,20082875,20082875,0,3855912576,3855914496,569,0,0,0,
3477562,3477562,0,,3506443,3506443,0,,3351468,3351468,0,,3348689,3348690,0,,3067718,3067718,0,,3331330,3331330,0,,20083210,20083211,0,3855977472,3855976128,392,0,0,0,
3480331,3480331,0,,3504581,3504581,0,,3351475,3351475,0,,3342049,3342050,0,,3067932,3067940,0,,3336468,3336468,0,,20082836,20082845,0,3855908928,3855917376,527,0,0,0,
3476843,3476843,0,,3509341,3509341,0,,3354878,3354908,0,,3343222,3343237,0,,3070555,3070552,0,,3328693,3328698,0,,20083532,20083579,0,3856038144,3856035648,165,0,0,0,
3478112,3478112,0,,3505998,3505998,0,,3350701,3350671,0,,3348113,3348096,0,,3065799,3065796,0,,3334551,3334548,0,,20083274,20083221,0,3855984768,3855978240,314,0,0,0,
3477260,3477260,0,,3507490,3507490,0,,3355027,3355027,0,,3339743,3339743,0,,3069676,3069674,0,,3334123,3334121,0,,20083319,20083315,0,3855994944,3855994944,253,0,0,0,
3478138,3478138,0,,3506671,3506676,0,,3352775,3352785,0,,3346892,3346892,0,,3069072,3069072,0,,3329637,3329637,0,,20083185,20083200,0,3855974400,3855974400,381,0,0,0,
3480973,3480973,0,,3504886,3504889,0,,3350071,3350083,0,,3344069,3344073,0,,3066574,3066582,0,,3336414,3336414,0,,20082987,20083014,0,3855938688,3855938688,598,0,0,0,
3475677,3475677,0,,3509208,3509211,0,,3355686,3355664,0,,3341060,3341056,0,,3070269,3070269,0,,3331236,3331236,0,,20083136,20083113,0,3855957696,3855958272,342,0,0,0,
3477477,3477477,0,,3506717,3506716,0,,3350730,3350732,0,,3348759,3348759,0,,3067958,3067950,0,,3331158,3331158,0,,20082799,20082792,0,3855896064,3855904704,762,0,0,0,
3481112,3481112,0,,3504653,3504655,0,,3352197,3352199,0,,3342242,3342242,0,,3067811,3067824,0,,3335394,3335394,0,,20083409,20083426,0,3856017792,3856018560,116,0,0,0,
3476207,3476207,0,,3509300,3509289,0,,3354712,3354711,0,,3343051,3343053,0,,3070310,3070297,0,,3329935,3329942,0,,20083515,20083499,0,3856031808,3856021824,66,0,0,0,
3477503,3477503,0,,3506165,3506176,0,,3350451,3350448,0,,3348487,3348485,0,,3066392,3066392,0,,3333920,3333913,0,,20082918,20082917,0,3855920064,3855920064,672,0,0,0,
3477579,3477579,0,,3507231,3507219,0,,3354794,3354795,0,,3339780,3339785,0,,3069192,3069192,0,,3334143,3334143,0,,20082719,20082713,0,3855880896,3855891648,745,0,0,0,
3477766,3477766,0,,3506923,3506923,0,,3353260,3353259,0,,3346163,3346158,0,,3069312,3069312,0,,3330048,3330048,0,,20083472,20083466,0,3856025664,3856015488,122,0,0,0,
3480839,3480839,0,,3504738,3504738,0,,3349831,3349831,0,,3344617,3344617,0,,3066792,3066792,0,,3336162,3336162,0,,20082979,20082979,0,3855931776,3855931200,623,0,0,0,
3475246,3475246,0,,3509599,3509599,0,,3355638,3355645,0,,3340805,3340815,0,,3070258,3070269,0,,3331250,3331250,0,,20082796,20082824,0,3855903168,3855909120,669,0,0,0,
3477961,3477961,0,,3505979,3505989,0,,3350684,3350685,0,,3349148,3349138,0,,3067898,3067899,0,,3331008,3331008,0,,20082678,20082680,0,3855875328,3855871488,912,0,0,0,
3481039,3481039,0,,3504670,3504660,0,,3352345,3352355,0,,3341515,3341515,0,,3067600,3067588,0,,3335945,3335945,0,,20083114,20083102,0,3855953856,3855952512,431,0,0,0,
3476016,3476016,0,,3509797,3509797,0,,3354782,3354764,0,,3343236,3343236,0,,3069933,3069933,0,,3329670,3329670,0,,20083434,20083416,0,3856015872,3856015104,186,0,0,0,
3477253,3477253,0,,3506206,3506209,0,,3350690,3350717,0,,3348527,3348527,0,,3066926,3066933,0,,3333761,3333761,0,,20083363,20083400,0,3856014912,3856016064,165,0,0,0,
3478193,3478193,0,,3506978,3507004,0,,3353388,3353361,0,,3339906,3339907,0,,3069346,3069339,0,,3334574,3334576,0,,20082385,20082380,0,3855816576,3855823488,769,0,0,0,
3477649,3477649,0,,3507093,3507096,0,,3354538,3354538,0,,3346015,3346014,0,,3068994,3068994,0,,3329460,3329473,0,,20083749,20083764,0,3856080960,3856073088,169,0,0,0,
3480702,3480702,0,,3505073,3505056,0,,3349770,3349780,0,,3344861,3344861,0,,3066629,3066644,0,,3336152,3336169,0,,20083187,20083212,0,3855970560,3855976704,209,0,0,0,
3475375,3475375,0,,3509466,3509451,0,,3355354,3355344,0,,3340314,3340315,0,,3070826,3070843,0,,3331722,3331692,0,,20083057,20083020,0,3855947136,3855940992,606,0,0,0,
3478525,3478525,0,,3505671,3505671,0,,3350964,3350964,0,,3349444,3349443,0,,3067424,3067392,0,,3330791,3330789,0,,20082819,20082784,0,3855893568,3855896064,818,0,0,0,
3481389,3481389,0,,3504251,3504272,0,,3351810,3351810,0,,3341883,3341886,0,,3067467,3067467,0,,3336564,3336564,0,,20083364,20083388,0,3856010880,3856016448,130,0,0,0,
3475927,3475927,0,,3510195,3510174,0,,3355421,3355424,0,,3342566,3342568,0,,3070193,3070195,0,,3329151,3329151,0,,20083453,20083439,0,3856021824,3856019328,102,0,0,0,
3477104,3477104,0,,3506555,3506561,0,,3350408,3350405,0,,3348784,3348781,0,,3067036,3067034,0,,3333271,3333275,0,,20083158,20083160,0,3855964608,3855961152,444,0,0,0,
3479100,3479100,0,,3505418,3505412,0,,3353427,3353433,0,,3340447,3340451,0,,3069377,3069396,0,,3335451,3335447,0,,20083220,20083239,0,3855982848,3855980544,304,0,0,0,
