Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
9750193,9750193,0,,9759004,9759028,0,,19509197,19509221,0,4506630051,4994371584,2400,0,0,0,
12496963,12496963,0,,12497944,12497952,0,,24994907,24994915,0,5773825365,6398699520,1943,0,0,0,
12497560,12497560,0,,12499443,12499448,0,,24997003,24997008,0,5774300301,6399224064,1759,0,0,0,
12496162,12496162,0,,12498105,12498068,0,,24994267,24994230,0,5773675677,6398531328,2105,0,0,0,
12497431,12497431,0,,12498982,12499014,0,,24996413,24996445,0,5774171403,6399086080,2295,0,0,0,
12495615,12495615,0,,12499178,12499178,0,,24994793,24994793,0,5773797183,6398665216,1890,0,0,0,
12497208,12497208,0,,12499124,12499124,0,,24996332,24996332,0,5774152692,6399063296,3148,0,0,0,
12496568,12496568,0,,12495986,12495954,0,,24992554,24992522,0,5773279974,6398089472,1641,0,0,0,
12490060,12490060,0,,12501534,12501566,0,,24991594,24991626,0,5773058214,6397854208,8480,0,0,0,
12496350,12496350,0,,12500030,12500030,0,,24996380,24996380,0,5774163780,6399072512,3443,0,0,0,
12495766,12495766,0,,12499454,12499454,0,,24995220,24995220,0,5773895820,6398769920,2636,0,0,0,
12496292,12496292,0,,12498558,12498558,0,,24994850,24994850,0,5773817742,6398692864,3410,0,0,0,
12495914,12495914,0,,12499278,12499246,0,,24995192,24995160,0,5773881960,6398761216,3269,0,0,0,
12491294,12491294,0,,12498587,12498619,0,,24989881,24989913,0,5772662511,6397410560,7664,0,0,0,
12496683,12496683,0,,12499067,12499067,0,,24995750,24995750,0,5774025642,6398912256,2596,0,0,0,
12495697,12495697,0,,12499132,12499132,0,,24994829,24994829,0,5773798107,6398673152,3050,0,0,0,
12498244,12498244,0,,12499662,12499630,0,,24997906,24997874,0,5774516286,6399470592,2092,0,0,0,
3372957,3372957,0,,3367710,3367710,0,,6740667,6740667,0,1557094077,1725592320,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
6431714,6431714,0,,6570131,6570163,0,,13001845,13001877,0,3003426195,3328483584,5802819,0,0,0,
12477161,12477161,0,,12757127,12757095,0,,25234288,25234256,0,5829120528,6459974656,12261029,0,0,0,
12474072,12474072,0,,12750606,12750636,0,,25224678,25224708,0,5826900618,6457517056,12270950,0,0,0,
12472126,12472126,0,,12750069,12750039,0,,25222195,25222165,0,5826327045,6456900096,12273319,0,0,0,
12470873,12470873,0,,12750462,12750494,0,,25221335,25221367,0,5826135777,6456656384,12274032,0,0,0,
12472537,12472537,0,,12748343,12748343,0,,25220880,25220880,0,5826023280,6456542720,12274807,0,0,0,
12469632,12469632,0,,12748158,12748158,0,,25217790,25217790,0,5825302098,6455753216,12277561,0,0,0,
12470444,12470444,0,,12740414,12740414,0,,25210858,25210858,0,5823715590,6453990400,12284564,0,0,0,
12469035,12469035,0,,12744875,12744875,0,,25213910,25213910,0,5824405818,6454753280,12281614,0,0,0,
12468549,12468549,0,,12740321,12740321,0,,25208870,25208870,0,5823256362,6453475328,12286733,0,0,0,
12465877,12465877,0,,12740244,12740244,0,,25206121,25206121,0,5822606559,6452751616,12289479,0,0,0,
12470195,12470195,0,,12742160,12742160,0,,25212355,25212355,0,5824061397,6454364928,12283135,0,0,0,
12466905,12466905,0,,12736267,12736267,0,,25203172,25203172,0,5821925340,6452019200,12292195,0,0,0,
12469771,12469771,0,,12736869,12736869,0,,25206640,25206640,0,5822733840,6452891648,12287131,0,0,0,
12467220,12467220,0,,12737108,12737108,0,,25204328,25204328,0,5822207160,6452309760,12291088,0,0,0,
12466496,12466496,0,,12733816,12733816,0,,25200312,25200312,0,5821264680,6451284224,12294904,0,0,0,
12468252,12468252,0,,12733208,12733208,0,,25201460,25201460,0,5821544652,6451578880,12293975,0,0,0,
6768482,6768482,0,,6913047,6913015,0,,13681529,13681497,0,3160425807,3502449920,6664049,0,0,0,
