Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
13766834,13766834,0,,5842524,5842521,0,,19609358,19609355,0,3764996160,3764993088,2932806,0,0,0,
13768089,13768089,0,,5842355,5842363,0,,19610444,19610452,0,3765206678,3765212822,2930368,0,0,0,
13771801,13771801,0,,5842175,5842190,0,,19613976,19613991,0,3765881856,3765881856,2926797,0,0,0,
13761291,13761291,0,,5842609,5842586,0,,19603900,19603877,0,3763948694,3763942934,2938638,0,0,0,
13768998,13768998,0,,5842621,5842621,0,,19611619,19611619,0,3765430848,3765431808,2930767,0,0,0,
13767819,13767819,0,,5842666,5842666,0,,19610485,19610485,0,3765214166,3765213398,2931756,0,0,0,
13768867,13768867,0,,5842361,5842392,0,,19611228,19611259,0,3765360576,3765368832,2930775,0,0,0,
13768368,13768368,0,,5842212,5842181,0,,19610580,19610549,0,3765225302,3765220310,2931023,0,0,0,
13765120,13765120,0,,5842651,5842651,0,,19607771,19607771,0,3764692032,3764688960,2934968,0,0,0,
13764688,13764688,0,,5842471,5842471,0,,19607159,19607159,0,3764574528,3764573760,2934450,0,0,0,
13769004,13769004,0,,5842665,5842666,0,,19611669,19611670,0,3765440640,3765441024,2930562,0,0,0,
13768744,13768744,0,,5842442,5842441,0,,19611186,19611185,0,3765347414,3765347030,2929977,0,0,0,
13769899,13769899,0,,5842463,5842466,0,,19612362,19612365,0,3765574080,3765582144,2929588,0,0,0,
13771193,13771193,0,,5841660,5841689,0,,19612853,19612882,0,3765673238,3765671126,2927593,0,0,0,
13765736,13765736,0,,5842246,5842214,0,,19607982,19607950,0,3764726400,3764720640,2934166,0,0,0,
13768292,13768292,0,,5842388,5842388,0,,19610680,19610680,0,3765250454,3765250646,2930813,0,0,0,
13768156,13768156,0,,5842593,5842593,0,,19610749,19610749,0,3765263808,3765268608,2931380,0,0,0,
13767122,13767122,0,,5842594,5842594,0,,19609716,19609716,0,3765066902,3765067286,2932377,0,0,0,
13765148,13765148,0,,5842351,5842351,0,,19607499,19607499,0,3764638272,3764640960,2934086,0,0,0,
13772753,13772753,0,,5842601,5842601,0,,19615354,19615354,0,3766147862,3766144022,2927052,0,0,0,
12216664,12216664,0,,5181915,5181915,0,,17398579,17398579,0,3340527168,3340522752,2601730,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5074873,5074873,0,,1780387,1780387,0,,6855260,6855260,0,1316209920,1316211072,5703,0,0,0,
13826805,13826805,0,,4839336,4839336,0,,18666141,18666141,0,3583898966,3583902230,4048,0,0,0,
13827199,13827199,0,,4838100,4838127,0,,18665299,18665326,0,3583737408,3583738944,3894,0,0,0,
13826996,13826996,0,,4839096,4839101,0,,18666092,18666097,0,3583889558,3583892822,3345,0,0,0,
13827034,13827034,0,,4838920,4838920,0,,18665954,18665954,0,3583863168,3583869120,4138,0,0,0,
13805203,13805203,0,,4838709,4838694,0,,18643912,18643897,0,3579634262,3579619862,24571,0,0,0,
13826414,13826414,0,,4838073,4838056,0,,18664487,18664470,0,3583578240,3583588992,4262,0,0,0,
13827312,13827312,0,,4839204,4839236,0,,18666516,18666548,0,3583977110,3583968662,3499,0,0,0,
13827355,13827355,0,,4839078,4839046,0,,18666433,18666401,0,3583948992,3583958208,3645,0,0,0,
13827210,13827210,0,,4838773,4838773,0,,18665983,18665983,0,3583868630,3583856726,3431,0,0,0,
13827455,13827455,0,,4838385,4838417,0,,18665840,18665872,0,3583841280,3583852800,3119,0,0,0,
13826817,13826817,0,,4838852,4838820,0,,18665669,18665637,0,3583808448,3583800192,3758,0,0,0,
13827180,13827180,0,,4838914,4838914,0,,18666094,18666094,0,3583890048,3583887936,3227,0,0,0,
13826584,13826584,0,,4838684,4838684,0,,18665268,18665268,0,3583731350,3583729814,3905,0,0,0,
13808464,13808464,0,,4838304,4838336,0,,18646768,18646800,0,3580179456,3580193088,21625,0,0,0,
13826127,13826127,0,,4838933,4838907,0,,18665060,18665034,0,3583692566,3583679126,4558,0,0,0,
13825682,13825682,0,,4838931,4838925,0,,18664613,18664607,0,3583604544,3583610496,4521,0,0,0,
13826802,13826802,0,,4838678,4838678,0,,18665480,18665480,0,3583772246,3583768598,4231,0,0,0,
13826729,13826729,0,,4838749,4838780,0,,18665478,18665509,0,3583777536,3583780992,4165,0,0,0,
13827461,13827461,0,,4838545,4838518,0,,18666006,18665979,0,3583867862,3583869974,3276,0,0,0,
13826415,13826415,0,,4838927,4838928,0,,18665342,18665343,0,3583745856,3583737792,3693,0,0,0,
13826917,13826917,0,,4838659,4838654,0,,18665576,18665571,0,3583789526,3583799318,3750,0,0,0,
13822229,13822229,0,,4838862,4838894,0,,18661091,18661123,0,3582929472,3582930048,8373,0,0,0,
13826309,13826309,0,,4838354,4838325,0,,18664663,18664634,0,3583615872,3583605504,3940,0,0,0,
3829948,3829948,0,,1337799,1337796,0,,5167747,5167744,0,992206848,992206848,497,0,0,0,
0,0,0,,1,1,0,,1,1,0,86,86,0,0,0,0,
13532926,13532926,0,,5235041,5235041,0,,18767967,18767967,0,3603449856,3603450432,1421709,0,0,0,
13813927,13813927,0,,5338967,5338967,0,,19152894,19152894,0,3677355350,3677354774,1447246,0,0,0,
13814732,13814732,0,,5339014,5339014,0,,19153746,19153746,0,3677519232,3677519232,1446004,0,0,0,
13810600,13810600,0,,5339172,5339204,0,,19149772,19149804,0,3676756118,3676769174,1449577,0,0,0,
13813518,13813518,0,,5339648,5339628,0,,19153166,19153146,0,3677410176,3677402688,1447296,0,0,0,
13812507,13812507,0,,5339206,5339213,0,,19151713,19151720,0,3677130134,3677128982,1448200,0,0,0,
13811608,13811608,0,,5339015,5338998,0,,19150623,19150606,0,3676916352,3676913280,1449480,0,0,0,
13814761,13814761,0,,5338726,5338724,0,,19153487,19153485,0,3677469120,3677471808,1444997,0,0,0,
13812227,13812227,0,,5338892,5338895,0,,19151119,19151122,0,3677015318,3677013398,1448901,0,0,0,
13812201,13812201,0,,5338970,5338969,0,,19151171,19151170,0,3677024256,3677025216,1448496,0,0,0,
13811985,13811985,0,,5339208,5339238,0,,19151193,19151223,0,3677029056,3677033280,1448536,0,0,0,
13810633,13810633,0,,5339260,5339228,0,,19149893,19149861,0,3676779456,3676774464,1450320,0,0,0,
13809008,13809008,0,,5338888,5338895,0,,19147896,19147903,0,3676397270,3676402454,1451704,0,0,0,
13811596,13811596,0,,5339014,5339039,0,,19150610,19150635,0,3676915776,3676915584,1449263,0,0,0,
13813612,13813612,0,,5339082,5339055,0,,19152694,19152667,0,3677318102,3677313878,1446685,0,0,0,
13811084,13811084,0,,5338890,5338894,0,,19149974,19149978,0,3676795776,3676797504,1449406,0,0,0,
13812445,13812445,0,,5338889,5338882,0,,19151334,19151327,0,3677054294,3677050454,1448055,0,0,0,
13814649,13814649,0,,5339023,5339031,0,,19153672,19153680,0,3677506944,3677507904,1446288,0,0,0,
13815689,13815689,0,,5338761,5338751,0,,19154450,19154440,0,3677652374,3677650646,1444202,0,0,0,
13816617,13816617,0,,5339267,5339296,0,,19155884,19155913,0,3677929728,3677935104,1443565,0,0,0,
13806601,13806601,0,,5339561,5339564,0,,19146162,19146165,0,3676069142,3676072598,1454134,0,0,0,
13809303,13809303,0,,5339244,5339223,0,,19148547,19148526,0,3676514880,3676511040,1451655,0,0,0,
13812397,13812397,0,,5338937,5338934,0,,19151334,19151331,0,3677057664,3677054016,1448368,0,0,0,
9270291,9270291,0,,3578788,3578780,0,,12849079,12849071,0,2467021632,2467020096,966822,0,0,0,
0,0,0,,1,1,0,,1,1,0,86,86,0,0,0,0,
8182248,8182248,0,,3033859,3033865,0,,11216107,11216113,0,2153493696,2153499840,480705,0,0,0,
13825120,13825120,0,,5118422,5118448,0,,18943542,18943568,0,3637158806,3637161686,804673,0,0,0,
13822331,13822331,0,,5118543,5118511,0,,18940874,18940842,0,3636647808,3636645120,808432,0,0,0,
13821273,13821273,0,,5118688,5118688,0,,18939961,18939961,0,3636472406,3636468566,809768,0,0,0,
13829929,13829929,0,,5118987,5118987,0,,18948916,18948916,0,3638191872,3638189952,799902,0,0,0,
13822031,13822031,0,,5118300,5118300,0,,18940331,18940331,0,3636543446,3636544598,808696,0,0,0,
13824440,13824440,0,,5118025,5118025,0,,18942465,18942465,0,3636953280,3636954048,805619,0,0,0,
13828216,13828216,0,,5118887,5118888,0,,18947103,18947104,0,3637844054,3637841558,801944,0,0,0,
13827946,13827946,0,,5118417,5118446,0,,18946363,18946392,0,3637707072,3637723776,802442,0,0,0,
13825520,13825520,0,,5118940,5118918,0,,18944460,18944438,0,3637332096,3637324032,804368,0,0,0,
13824566,13824566,0,,5117808,5117800,0,,18942374,18942366,0,3636934272,3636925824,805343,0,0,0,
13827466,13827466,0,,5118617,5118617,0,,18946083,18946083,0,3637647830,3637649750,802864,0,0,0,
13831926,13831926,0,,5118816,5118816,0,,18950742,18950742,0,3638542464,3638546304,797646,0,0,0,
13828936,13828936,0,,5118428,5118446,0,,18947364,18947382,0,3637893782,3637893590,801729,0,0,0,
13826312,13826312,0,,5118075,5118058,0,,18944387,18944370,0,3637322496,3637320576,804360,0,0,0,
13823382,13823382,0,,5118920,5118919,0,,18942302,18942301,0,3636921686,3636927062,806524,0,0,0,
13825117,13825117,0,,5118355,5118362,0,,18943472,18943479,0,3637148160,3637146432,805297,0,0,0,
13823229,13823229,0,,5118146,5118168,0,,18941375,18941397,0,3636742358,3636744278,806336,0,0,0,
13821744,13821744,0,,5118740,5118711,0,,18940484,18940455,0,3636572928,3636564672,809071,0,0,0,
13825924,13825924,0,,5118594,5118594,0,,18944518,18944518,0,3637347350,3637353878,804375,0,0,0,
13822632,13822632,0,,5118979,5119002,0,,18941611,18941634,0,3636793728,3636793728,807392,0,0,0,
13824764,13824764,0,,5118351,5118328,0,,18943115,18943092,0,3637073664,3637065984,805830,0,0,0,
13827020,13827020,0,,5118038,5118057,0,,18945058,18945077,0,3637454784,3637454784,803493,0,0,0,
13821968,13821968,0,,5118912,5118895,0,,18940880,18940863,0,3636645590,3636647126,807957,0,0,0,
806385,806385,0,,295545,295543,0,,1101930,1101928,0,211570176,211568640,46979,0,0,0,
2707471,2707471,0,,1022521,1022542,0,,3729992,3730013,0,716162390,716166422,205683,0,0,0,
13822344,13822344,0,,5204344,5204330,0,,19026688,19026674,0,3653121408,3653118336,1054146,0,0,0,
13825449,13825449,0,,5203835,5203828,0,,19029284,19029277,0,3653621078,3653620118,1049620,0,0,0,
13824979,13824979,0,,5205257,5205264,0,,19030236,19030243,0,3653806656,3653808192,1050945,0,0,0,
13821805,13821805,0,,5204229,5204254,0,,19026034,19026059,0,3652997078,3653006294,1054556,0,0,0,
13822134,13822134,0,,5204371,5204339,0,,19026505,19026473,0,3653088960,3653080896,1053845,0,0,0,
13818391,13818391,0,,5204353,5204353,0,,19022744,19022744,0,3652366742,3652366550,1058086,0,0,0,
13821517,13821517,0,,5205232,5205240,0,,19026749,19026757,0,3653137344,3653136192,1054164,0,0,0,
13823507,13823507,0,,5204234,5204258,0,,19027741,19027765,0,3653324736,3653333184,1053049,0,0,0,
13821902,13821902,0,,5204557,5204552,0,,19026459,19026454,0,3653085312,3653082432,1054521,0,0,0,
13822229,13822229,0,,5204261,5204238,0,,19026490,19026467,0,3653081558,3653077910,1053941,0,0,0,
13820107,13820107,0,,5205199,5205195,0,,19025306,19025302,0,3652857984,3652855680,1055685,0,0,0,
13824192,13824192,0,,5203948,5203971,0,,19028140,19028163,0,3653402774,3653415062,1051826,0,0,0,
13823516,13823516,0,,5204659,5204636,0,,19028175,19028152,0,3653409600,3653396352,1052940,0,0,0,
13822673,13822673,0,,5204334,5204334,0,,19027007,19027007,0,3653185238,3653185238,1053578,0,0,0,
13818937,13818937,0,,5205181,5205191,0,,19024118,19024128,0,3652632576,3652632960,1056606,0,0,0,
13824558,13824558,0,,5203996,5203986,0,,19028554,19028544,0,3653480342,3653481686,1051803,0,0,0,
13822014,13822014,0,,5204427,5204427,0,,19026441,19026441,0,3653076672,3653080320,1053457,0,0,0,
13825790,13825790,0,,5204285,5204285,0,,19030075,19030075,0,3653774294,3653772758,1050370,0,0,0,
13824900,13824900,0,,5204985,5205010,0,,19029885,19029910,0,3653742720,3653739648,1050547,0,0,0,
13819447,13819447,0,,5204211,5204193,0,,19023658,19023640,0,3652538880,3652544448,1057069,0,0,0,
13823371,13823371,0,,5204689,5204682,0,,19028060,19028053,0,3653386176,3653380416,1053021,0,0,0,
13824011,13824011,0,,5204240,5204241,0,,19028251,19028252,0,3653424278,3653432918,1052060,0,0,0,
13825815,13825815,0,,5205002,5205024,0,,19030817,19030839,0,3653921088,3653921856,1049908,0,0,0,
6211008,6211008,0,,2334348,2334325,0,,8545356,8545333,0,1640703830,1640693846,470556,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
11324041,11324041,0,,4230250,4230250,0,,15554291,15554291,0,2986423766,2986425110,758763,0,0,0,
13825223,13825223,0,,5161347,5161347,0,,18986570,18986570,0,3645421440,3645423936,927259,0,0,0,
13825138,13825138,0,,5160973,5160973,0,,18986111,18986111,0,3645333206,3645338966,927470,0,0,0,
13827857,13827857,0,,5161860,5161874,0,,18989717,18989731,0,3646028352,3646018752,923830,0,0,0,
13824292,13824292,0,,5160646,5160641,0,,18984938,18984933,0,3645107030,3645108182,928160,0,0,0,
13822678,13822678,0,,5161233,5161227,0,,18983911,18983905,0,3644909760,3644909376,929333,0,0,0,
13826563,13826563,0,,5161037,5161034,0,,18987600,18987597,0,3645619584,3645618816,926234,0,0,0,
13827080,13827080,0,,5161886,5161886,0,,18988966,18988966,0,3645880512,3645883776,924845,0,0,0,
13829994,13829994,0,,5160412,5160441,0,,18990406,18990435,0,3646163414,3646166102,921681,0,0,0,
