Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
11253132,11253132,0,,11485107,11485109,0,,11409119,11409122,0,,34147358,34147363,0,5531877504,6556297152,10907958,0,0,0,
11261102,11261102,0,,11489656,11489656,0,,11417838,11417838,0,,34168596,34168596,0,5535312552,6560363520,10883843,0,0,0,
11264274,11264274,0,,11490255,11490255,0,,11417296,11417296,0,,34171825,34171825,0,5535835650,6561000576,10883286,0,0,0,
11260289,11260289,0,,11489936,11489936,0,,11413541,11413541,0,,34163766,34163766,0,5534530092,6559443456,10892086,0,0,0,
11264291,11264291,0,,11486726,11486694,0,,11426757,11426757,0,,34177774,34177742,0,5536794204,6562123968,10874502,0,0,0,
11258000,11258000,0,,11482069,11482099,0,,11407017,11406985,0,,34147086,34147084,0,5531827608,6556235712,10907864,0,0,0,
11261409,11261409,0,,11487568,11487568,0,,11420063,11420095,0,,34169040,34169072,0,5535389664,6560455872,10887195,0,0,0,
1776930,1776930,0,,1811507,1811477,0,,1799996,1799964,0,,5388433,5388371,0,872916102,1034567232,1707415,0,0,0,
1044527,1044527,0,,1054437,1054467,0,,1049842,1049874,0,,3148806,3148868,0,510106572,604586496,135585,0,0,0,
11238813,11238813,0,,11433213,11433183,0,,11339709,11339708,0,,34011735,34011704,0,5509901070,6530248896,3305252,0,0,0,
11236082,11236082,0,,11432050,11432082,0,,11344466,11344435,0,,34012598,34012599,0,5510040876,6530419008,3304315,0,0,0,
11241563,11241563,0,,11432229,11432226,0,,11342010,11342039,0,,34015802,34015828,0,5510564622,6531035904,3304068,0,0,0,
11241614,11241614,0,,11432587,11432558,0,,11348325,11348328,0,,34022526,34022500,0,5511644514,6532328448,3294379,0,0,0,
11237215,11237215,0,,11432284,11432313,0,,11346486,11346486,0,,34015985,34016014,0,5510594268,6531072960,3303694,0,0,0,
11232119,11232119,0,,11431154,11431157,0,,11346593,11346593,0,,34009866,34009869,0,5509598778,6529891392,3307613,0,0,0,
11234861,11234861,0,,11431194,11431194,0,,11351504,11351502,0,,34017559,34017557,0,5510849418,6531370944,3301354,0,0,0,
11241957,11241957,0,,11429869,11429869,0,,11349314,11349316,0,,34021140,34021142,0,5511425004,6532061760,3298097,0,0,0,
11238128,11238128,0,,11429598,11429598,0,,11344847,11344847,0,,34012573,34012573,0,5510036826,6530414016,3306985,0,0,0,
11235351,11235351,0,,11431730,11431728,0,,11348057,11348055,0,,34015138,34015134,0,5510451708,6530910144,3304450,0,0,0,
11240217,11240217,0,,11430559,11430561,0,,11350546,11350545,0,,34021322,34021323,0,5511449628,6532083456,3297449,0,0,0,
11238568,11238568,0,,11430471,11430470,0,,11343441,11343412,0,,34012480,34012450,0,5510021598,6530399424,3306636,0,0,0,
11240155,11240155,0,,11430046,11430044,0,,11347980,11348012,0,,34018181,34018211,0,5510940300,6531486720,3300317,0,0,0,
11240914,11240914,0,,11430434,11430437,0,,11339134,11339134,0,,34010482,34010485,0,5509703268,6530020032,3308603,0,0,0,
11236408,11236408,0,,11428815,11428783,0,,11343820,11343820,0,,34009043,34009011,0,5509464966,6529733184,3308750,0,0,0,
