Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
7522635,7522635,0,,7701849,7701828,0,,7947742,7947770,0,,6746733,6746741,0,,7576765,7576733,0,,37495724,37495707,0,9598910720,9598898688,0,0,0,0,
7519236,7519236,0,,7701371,7701371,0,,7949778,7949755,0,,6748001,6748018,0,,7577089,7577100,0,,37495475,37495480,0,9598830848,9598840576,0,0,0,0,
7520532,7520532,0,,7704015,7704020,0,,7951412,7951435,0,,6746472,6746454,0,,7573047,7573036,0,,37495478,37495477,0,9598849792,9598857728,0,0,0,0,
7522233,7522233,0,,7701129,7701156,0,,7947308,7947279,0,,6747835,6747823,0,,7576807,7576835,0,,37495312,37495326,0,9598803456,9598798080,0,0,0,0,
7518281,7518281,0,,7703949,7703917,0,,7950561,7950558,0,,6747746,6747746,0,,7575126,7575098,0,,37495663,37495600,0,9598873600,9598882816,0,0,0,0,
7522403,7522403,0,,7701867,7701887,0,,7949691,7949691,0,,6745395,6745402,0,,7574786,7574786,0,,37494142,37494169,0,9598507264,9598496000,0,0,0,0,
7520466,7520466,0,,7701888,7701884,0,,7948366,7948392,0,,6748443,6748452,0,,7576482,7576513,0,,37495645,37495707,0,9598887424,9598890240,0,0,0,0,
3506192,3506192,0,,3591403,3591387,0,,3706604,3706578,0,,3146526,3146510,0,,3533709,3533678,0,,17484434,17484345,0,4476005888,4475988992,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2598689,2598689,0,,2659106,2659138,0,,2743001,2743001,0,,2330990,2330990,0,,2617146,2617159,0,,12948932,12948977,0,3314947328,3314955008,0,0,0,0,
8546502,8546502,0,,8754219,8754203,0,,9033497,9033511,0,,7666518,7666522,0,,8607039,8607026,0,,42607775,42607764,0,10907578368,10907578368,0,0,0,0,
8573048,8573048,0,,8780387,8780390,0,,9061905,9061918,0,,7691477,7691484,0,,8635645,8635676,0,,42742462,42742516,0,10942076160,10942086144,0,0,0,0,
8567806,8567806,0,,8775842,8775829,0,,9057966,9057939,0,,7687225,7687214,0,,8631151,8631120,0,,42719990,42719908,0,10936313600,10936305408,0,0,0,0,
8567440,8567440,0,,8774615,8774628,0,,9055963,9055988,0,,7686561,7686584,0,,8630059,8630073,0,,42714638,42714713,0,10934951238,10934958662,0,0,0,0,
8575621,8575621,0,,8783122,8783123,0,,9065062,9065037,0,,7693809,7693818,0,,8638025,8638043,0,,42755639,42755642,0,10945442048,10945454080,0,0,0,0,
8574337,8574337,0,,8782051,8782043,0,,9063514,9063546,0,,7692910,7692890,0,,8637343,8637335,0,,42750155,42750151,0,10944040448,10944023808,0,0,0,0,
