Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,25444,0,0,0,
11212440,11212440,0,,11212440,11212440,0,2870384640,2870385664,13786777,0,0,0,
11293684,11293684,0,,11293684,11293684,0,2891183104,2891182080,13703641,0,0,0,
11301663,11301663,0,,11301663,11301663,0,2893225728,2893234176,13696307,0,0,0,
11305868,11305868,0,,11305868,11305868,0,2894302208,2894293760,13692159,0,0,0,
11301653,11301653,0,,11301653,11301653,0,2893223168,2893230336,13696556,0,0,0,
11307420,11307420,0,,11307420,11307420,0,2894699520,2894697472,13690660,0,0,0,
11296684,11296684,0,,11296684,11296684,0,2891951104,2891945984,13701493,0,0,0,
11306912,11306912,0,,11306912,11306912,0,2894569472,2894571520,13690957,0,0,0,
11304550,11304550,0,,11304550,11304550,0,2893964800,2893973504,13693674,0,0,0,
11266654,11266654,0,,11266654,11266654,0,2884263424,2884252672,13731584,0,0,0,
2661640,2661640,0,,2661640,2661640,0,681379840,681379840,3224162,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
5992320,5992320,0,,5992320,5992320,0,1534033920,1534034944,602923,0,0,0,
11363164,11363164,0,,11363164,11363164,0,2908969984,2908968960,1135904,0,0,0,
11345451,11345451,0,,11345451,11345451,0,2904435456,2904435456,1153760,0,0,0,
11354316,11354316,0,,11354316,11354316,0,2906704896,2906709504,1144631,0,0,0,
11359944,11359944,0,,11359944,11359944,0,2908145664,2908150528,1139037,0,0,0,
11362117,11362117,0,,11362117,11362117,0,2908701952,2908692480,1136979,0,0,0,
11366656,11366656,0,,11366656,11366656,0,2909863936,2909872128,1132364,0,0,0,
11363523,11363523,0,,11363523,11363523,0,2909061888,2909061120,1135567,0,0,0,
11358801,11358801,0,,11358801,11358801,0,2907853056,2907846656,1140335,0,0,0,
11362620,11362620,0,,11362620,11362620,0,2908830720,2908831744,1136356,0,0,0,
11365116,11365116,0,,11365116,11365116,0,2909469696,2909469696,1133956,0,0,0,
11366340,11366340,0,,11366340,11366340,0,2909783040,2909780992,1132695,0,0,0,
11366804,11366804,0,,11366804,11366804,0,2909901824,2909901824,1132239,0,0,0,
11362889,11362889,0,,11362889,11362889,0,2908899584,2908899584,1136244,0,0,0,
11367619,11367619,0,,11367619,11367619,0,2910110464,2910110464,1131492,0,0,0,
11364848,11364848,0,,11364848,11364848,0,2909401088,2909401344,1134284,0,0,0,
11367524,11367524,0,,11367524,11367524,0,2910086144,2910085888,1131495,0,0,0,
5734160,5734160,0,,5734160,5734160,0,1467944960,1467944960,568239,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
1732420,1732420,0,,1732420,1732420,0,443499520,443499520,0,0,0,0,
6249648,6249648,0,,6249648,6249648,0,1599909888,1599909888,0,0,0,0,
6249742,6249742,0,,6249742,6249742,0,1599933952,1599933952,0,0,0,0,
6249662,6249662,0,,6249662,6249662,0,1599913472,1599917568,0,0,0,0,
6249698,6249698,0,,6249698,6249698,0,1599922688,1599918592,0,0,0,0,
6249642,6249642,0,,6249642,6249642,0,1599908352,1599908352,0,0,0,0,
6249704,6249704,0,,6249704,6249704,0,1599924224,1599927808,0,0,0,0,
6249641,6249641,0,,6249641,6249641,0,1599908096,1599904512,0,0,0,0,
6249733,6249733,0,,6249733,6249733,0,1599931648,1599931648,0,0,0,0,
6249658,6249658,0,,6249658,6249658,0,1599912448,1599912448,0,0,0,0,
6249702,6249702,0,,6249702,6249702,0,1599923712,1599923712,0,0,0,0,
6249624,6249624,0,,6249624,6249624,0,1599903744,1599903744,0,0,0,0,
6249766,6249766,0,,6249766,6249766,0,1599940096,1599940096,0,0,0,0,
6249652,6249652,0,,6249652,6249652,0,1599910912,1599910912,0,0,0,0,
6249708,6249708,0,,6249708,6249708,0,1599925248,1599925248,0,0,0,0,
6249616,6249616,0,,6249616,6249616,0,1599901696,1599901696,0,0,0,0,
6249705,6249705,0,,6249705,6249705,0,1599924480,1599934464,0,0,0,0,
4838643,4838643,0,,4838643,4838643,0,1238692608,1238682624,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
1295118,1295118,0,,1295118,1295118,0,331550208,331558400,0,0,0,0,
9411222,9411222,0,,9411222,9411222,0,2409272832,2409264640,0,0,0,0,
9411226,9411226,0,,9411226,9411226,0,2409273856,2409282048,0,0,0,0,
9411247,9411247,0,,9411247,9411247,0,2409279232,2409279232,0,0,0,0,
9411211,9411211,0,,9411211,9411211,0,2409270016,2409270016,0,0,0,0,
9411240,9411240,0,,9411240,9411240,0,2409277440,2409274624,0,0,0,0,
9411300,9411300,0,,9411300,9411300,0,2409292800,2409290496,0,0,0,0,
9411215,9411215,0,,9411215,9411215,0,2409271040,2409273344,0,0,0,0,
9411211,9411211,0,,9411211,9411211,0,2409270016,2409273344,0,0,0,0,
9411217,9411217,0,,9411217,9411217,0,2409271552,2409262848,0,0,0,0,
9411190,9411190,0,,9411190,9411190,0,2409264640,2409267456,0,0,0,0,
9411204,9411204,0,,9411204,9411204,0,2409268224,2409265408,0,0,0,0,
9411252,9411252,0,,9411252,9411252,0,2409280512,2409288704,0,0,0,0,
9411244,9411244,0,,9411244,9411244,0,2409278464,2409270272,0,0,0,0,
9411242,9411242,0,,9411242,9411242,0,2409277952,2409277952,0,0,0,0,
9411245,9411245,0,,9411245,9411245,0,2409278720,2409288448,0,0,0,0,
9411231,9411231,0,,9411231,9411231,0,2409275136,2409268992,0,0,0,0,
9411189,9411189,0,,9411189,9411189,0,2409264384,2409260800,0,0,0,0,
392868,392868,0,,392868,392868,0,100574208,100574208,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7880553,7880553,0,,7880553,7880553,0,2017421568,2017423872,0,0,0,0,
10958167,10958167,0,,10958167,10958167,0,2805290752,2805292032,0,0,0,0,
10958180,10958180,0,,10958180,10958180,0,2805294080,2805292032,0,0,0,0,
10958172,10958172,0,,10958172,10958172,0,2805292032,2805292032,0,0,0,0,
10958136,10958136,0,,10958136,10958136,0,2805282816,2805291520,0,0,0,0,
10957604,10957604,0,,10957604,10957604,0,2805146624,2805137408,0,0,0,0,
10958736,10958736,0,,10958736,10958736,0,2805436416,2805435392,0,0,0,0,
10958259,10958259,0,,10958259,10958259,0,2805314304,2805314304,0,0,0,0,
10958172,10958172,0,,10958172,10958172,0,2805292032,2805292032,0,0,0,0,
10958152,10958152,0,,10958152,10958152,0,2805286912,2805289216,0,0,0,0,
10958125,10958125,0,,10958125,10958125,0,2805280000,2805278976,0,0,0,0,
10958117,10958117,0,,10958117,10958117,0,2805277952,2805291264,0,0,0,0,
10957735,10957735,0,,10957735,10957735,0,2805180160,2805174784,0,0,0,0,
