Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4101605,4101605,0,,4101615,4101618,0,,4101621,4101621,0,,4100248,4100248,0,,4098869,4098875,0,,4100242,4100248,0,,4100242,4100248,0,,28704442,28704463,0,3731587730,5511269184,0,0,0,0,
4262686,4262686,0,,4262683,4262690,0,,4262679,4262688,0,,4261261,4261262,0,,4259835,4259835,0,,4261268,4261262,0,,4261268,4261262,0,,29831680,29831685,0,3878117880,5727680640,0,0,0,0,
4264551,4264551,0,,4264546,4264536,0,,4264544,4264535,0,,4263109,4263116,0,,4261685,4261689,0,,4263108,4263116,0,,4263115,4263115,0,,29844658,29844658,0,3879807750,5730178560,0,0,0,0,
4266970,4266970,0,,4266972,4266974,0,,4266973,4266974,0,,4265545,4265538,0,,4264118,4264115,0,,4265544,4265537,0,,4265538,4265539,0,,29861660,29861647,0,3882014240,5733439488,0,0,0,0,
4266963,4266963,0,,4266964,4266966,0,,4266958,4266966,0,,4265536,4265535,0,,4264109,4264110,0,,4265537,4265544,0,,4265535,4265543,0,,29861602,29861627,0,3882006570,5733423360,0,0,0,0,
4266951,4266951,0,,4266948,4266944,0,,4266949,4266944,0,,4265519,4265519,0,,4264091,4264083,0,,4265519,4265511,0,,4265520,4265511,0,,29861497,29861463,0,3881992010,5733407808,0,0,0,0,
