core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,core 5,core 5,core 5,core 5,core 6,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
5462,382,1,0,127,670,3,6,10274,378,1,0,40,270,1,0,36,2057,32,0,2150,371,1,0,864,377,1,3,
8831,336,1,0,13462,800,3,0,1530,373,1,0,2445,637,4,0,33,2810,32,0,677,367,1,1,1661,502,2,0,
5090,494,2,0,660,361,1,3,2491,439,1,0,4980,924,5,0,32,2010,31,0,2963,338,1,0,1847,662,4,0,
6957,311,1,0,27,266,1,3,6820,362,1,0,3859,1615,17,0,33,2758,32,0,1275,381,1,1,1754,699,2,0,
3146,407,1,0,4280,361,1,0,3727,327,1,0,204,1189,8,17,35,1889,30,0,2447,286,1,0,45,418,1,6,
1927,609,2,0,2068,890,6,0,9998,479,1,0,111,327,1,8,221,2288,31,30,529,322,1,1,3722,682,5,0,
1679,361,1,0,6484,344,1,0,3381,404,1,0,27,598,2,0,248,2761,32,31,5007,280,1,0,1421,355,1,0,
208,451,2,0,27,605,2,1,503,357,1,0,2434,301,1,0,35,2688,32,0,2353,719,2,0,1786,258,1,1,
27,282,1,5,27,440,2,2,903,336,1,2,3307,437,2,0,35,2335,32,0,669,542,2,2,3830,347,1,0,
6929,855,4,0,1967,400,1,0,5255,605,2,0,779,611,2,2,35,2930,32,0,2881,857,7,0,2974,285,1,0,
138,381,1,4,1718,367,1,0,8227,360,1,0,2648,362,1,0,35,2091,32,0,190,672,2,7,9610,820,4,0,
2472,1096,8,0,28,272,1,4,3933,286,1,0,1030,1365,12,1,181,2555,32,0,44,650,5,1,121,1392,11,4,
1430,379,1,0,4122,677,3,0,2807,603,4,0,2397,520,4,0,37,2148,32,0,153,1289,9,7,2549,650,5,0,
1840,748,3,1,2040,384,1,0,4247,653,6,0,682,380,2,4,43,2572,32,0,877,533,2,9,40,291,1,0,
88,406,1,3,1288,268,1,1,3947,671,3,0,1359,207,1,2,35,2254,32,0,1818,820,5,0,27,1123,11,0,
1059,429,2,1,56,314,1,0,116,702,4,3,502,341,1,1,46,2882,32,0,141,738,5,5,1448,3486,32,0,
2318,577,4,0,5918,464,2,0,833,332,1,4,1968,1049,8,0,35,2844,32,0,8014,355,1,0,62,1572,13,0,
127,1239,8,4,80,542,2,2,2145,564,2,0,2094,824,4,0,37,2918,32,0,314,450,2,0,887,402,1,13,
512,331,1,8,956,307,1,2,3042,383,1,0,847,1663,19,4,130,2167,32,0,10590,494,2,0,2020,1377,10,0,
1092,330,1,1,740,335,1,1,3307,507,2,0,765,699,6,19,36,3169,32,0,2695,274,1,0,993,557,2,10,
