core 0,core 0,core 0,core 0,core0,core 1,core 1,core 1,core 1,core1,core 2,core 2,core 2,core 2,core2,core 3,core 3,core 3,core 3,core3,core 4,core 4,core 4,core 4,core4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,
236,4423,31,30,238,38,4280,30,0,534,38,4655,32,0,98,258,4691,32,30,232,36,4032,32,0,100,
312,4607,32,31,98,241,4818,32,30,100,38,3925,30,0,100,38,4669,32,0,218,35,3952,30,0,194,
33,4108,31,0,248,38,4488,32,0,404,245,4293,32,30,100,38,3877,29,0,98,227,4329,32,30,100,
261,4886,32,31,104,37,4737,32,0,244,38,4638,32,0,100,239,4289,31,29,96,37,4648,32,0,104,
33,4689,32,0,204,37,4557,31,0,210,38,4823,32,0,98,243,4396,32,31,220,35,3902,31,0,244,
59,4552,32,0,426,245,4740,31,31,230,38,4073,30,0,100,38,4455,32,0,120,250,4036,30,31,112,
31,4434,31,0,98,266,4397,30,31,260,254,5204,32,30,100,36,4263,29,0,222,257,4875,32,30,102,
323,4385,32,31,98,282,5111,32,30,244,38,5162,30,0,100,275,4259,32,29,96,38,4500,31,0,108,
165,4328,32,0,224,63,4756,32,0,98,246,4797,32,30,254,37,3869,30,0,96,240,5285,32,31,206,
33,4691,32,0,104,38,4593,31,0,98,38,5439,32,0,110,316,4242,32,30,96,39,4540,32,0,98,
31,4516,32,0,98,284,4482,32,31,100,38,4802,32,0,200,38,4284,31,0,96,38,4436,32,0,250,
32,4440,32,0,408,65,3981,29,0,404,37,4822,30,0,116,275,4714,32,31,96,36,4406,32,0,98,
32,4563,32,0,106,270,4544,32,29,228,269,4911,32,30,102,38,4460,32,0,96,63,4030,31,0,100,
32,4325,30,0,96,37,4733,32,0,108,38,4531,29,0,100,63,5074,32,0,250,226,4555,32,31,104,
