Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2786256,2786256,0,,2894399,2894399,0,,3018606,3018605,0,,2842917,2842917,0,,2988275,2988275,0,,14530453,14530452,0,1947080702,2789846784,5553030,0,0,0,
2777167,2777167,0,,2886560,2886563,0,,3010783,3010784,0,,2834989,2834989,0,,2977606,2977606,0,,14487105,14487109,0,1941272070,2781524928,5596610,0,0,0,
2775667,2775667,0,,2882097,2882097,0,,3008998,3008998,0,,2831461,2831458,0,,2978350,2978350,0,,14476573,14476570,0,1939860782,2779501440,5607236,0,0,0,
2783920,2783920,0,,2889715,2889713,0,,3018146,3018146,0,,2834457,2834459,0,,2987580,2987579,0,,14513818,14513817,0,1944855766,2786652864,5569334,0,0,0,
2786008,2786008,0,,2886248,2886247,0,,3018046,3018046,0,,2833812,2833811,0,,2987147,2987148,0,,14511261,14511260,0,1944513128,2786161920,5572403,0,0,0,
2793061,2793061,0,,2888613,2888616,0,,3016146,3016145,0,,2832497,2832497,0,,2984289,2984289,0,,14514606,14514608,0,1944957204,2786810880,5568983,0,0,0,
2790158,2790158,0,,2890666,2890663,0,,3018807,3018807,0,,2835011,2835013,0,,2988176,2988174,0,,14522818,14522815,0,1946053190,2788380096,5560735,0,0,0,
2801109,2801109,0,,2895794,2895797,0,,3023298,3023299,0,,2840154,2840154,0,,2995468,2995470,0,,14555823,14555829,0,1950476396,2794713408,5527829,0,0,0,
2800149,2800149,0,,2896309,2896309,0,,3025575,3025574,0,,2841761,2841761,0,,2998165,2998164,0,,14561959,14561957,0,1951306660,2795895744,5521633,0,0,0,
2802175,2802175,0,,2898450,2898447,0,,3025284,3025285,0,,2841863,2841863,0,,2994833,2994834,0,,14562605,14562604,0,1951384916,2796019968,5521024,0,0,0,
2800117,2800117,0,,2907372,2907375,0,,3024919,3024917,0,,2841389,2841389,0,,2995260,2995259,0,,14569057,14569057,0,1952253638,2797259328,5514540,0,0,0,
2801416,2801416,0,,2911461,2911460,0,,3024852,3024854,0,,2841030,2841028,0,,2994348,2994349,0,,14573107,14573107,0,1952800492,2798042304,5510644,0,0,0,
2795187,2795187,0,,2900243,2900244,0,,3018778,3018778,0,,2835665,2835667,0,,2986753,2986753,0,,14536626,14536629,0,1947908018,2791026624,5547015,0,0,0,
2798976,2798976,0,,2906596,2906596,0,,3025769,3025768,0,,2841847,2841845,0,,2993698,2993698,0,,14566886,14566883,0,1951958436,2796841536,5516649,0,0,0,
2799357,2799357,0,,2904377,2904377,0,,3023161,3023159,0,,2840716,2840717,0,,2993211,2993211,0,,14560822,14560821,0,1951150148,2795677632,5522762,0,0,0,
2797539,2797539,0,,2904815,2904815,0,,3023962,3023964,0,,2840764,2840765,0,,2992374,2992371,0,,14559454,14559454,0,1950966836,2795415168,5524270,0,0,0,
2789553,2789553,0,,2901637,2901637,0,,3015586,3015587,0,,2832529,2832529,0,,2981613,2981615,0,,14520918,14520921,0,1945807300,2788016832,5562644,0,0,0,
2796340,2796340,0,,2905118,2905117,0,,3021873,3021872,0,,2838290,2838290,0,,2988630,2988629,0,,14550251,14550248,0,1949733634,2793647616,5533386,0,0,0,
2803309,2803309,0,,2914087,2914087,0,,3026078,3026079,0,,2843263,2843263,0,,2994017,2994019,0,,14580754,14580757,0,1953816748,2799505920,5502915,0,0,0,
2802104,2802104,0,,2908406,2908404,0,,3026249,3026247,0,,2842509,2842508,0,,2997992,2997989,0,,14577260,14577252,0,1953352840,2798831808,5506249,0,0,0,
2798813,2798813,0,,2907170,2907173,0,,3025950,3025952,0,,2842946,2842947,0,,2997843,2997846,0,,14572722,14572731,0,1952749036,2797964352,5510841,0,0,0,
2796123,2796123,0,,2906649,2906648,0,,3026076,3026076,0,,2843253,2843251,0,,2997034,2997032,0,,14569135,14569130,0,1952263822,2797272960,5514632,0,0,0,
2791533,2791533,0,,2896632,2896632,0,,3023201,3023201,0,,2840003,2840002,0,,2990774,2990776,0,,14542143,14542144,0,1948643142,2792091648,5541440,0,0,0,
2793454,2793454,0,,2897990,2897991,0,,3026906,3026906,0,,2842599,2842600,0,,2996244,2996244,0,,14557193,14557195,0,1950663862,2794981440,5526459,0,0,0,
2794054,2794054,0,,2899061,2899058,0,,3025850,3025850,0,,2842631,2842633,0,,2994701,2994701,0,,14556297,14556296,0,1950548086,2794808832,5527162,0,0,0,
2790930,2790930,0,,2904464,2904467,0,,3026280,3026280,0,,2843575,2843543,0,,2994507,2994507,0,,14559756,14559727,0,1951007304,2795480064,5523972,0,0,0,
