Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1013512,1013512,0,,1006893,1006895,0,,989560,989557,0,,3009965,3009964,0,577913280,577913088,11927139,0,0,0,
1015580,1015580,0,,1010361,1010360,0,,992788,992791,0,,3018729,3018731,0,579595968,579597888,11918675,0,0,0,
1011952,1011952,0,,1005107,1005105,0,,988852,988852,0,,3005911,3005909,0,577134912,577129152,11931419,0,0,0,
1013440,1013440,0,,1007721,1007724,0,,989075,989074,0,,3010236,3010238,0,577965312,577965696,11926814,0,0,0,
1012909,1012909,0,,1006519,1006519,0,,988145,988146,0,,3007573,3007574,0,577454016,577455744,11929800,0,0,0,
867475,867475,0,,862049,862017,0,,846860,846828,0,,2576384,2576320,0,494665728,494651904,10081076,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
413928,413928,0,,411128,411160,0,,403404,403436,0,,1228460,1228524,0,235864320,235877376,1790538,0,0,0,
1010939,1010939,0,,1004844,1004844,0,,986276,986276,0,,3002059,3002059,0,576395328,576397824,4467989,0,0,0,
1011289,1011289,0,,1007092,1007092,0,,987007,987007,0,,3005388,3005388,0,577034496,577031232,4464622,0,0,0,
1011208,1011208,0,,1004784,1004784,0,,987985,987985,0,,3003977,3003977,0,576763584,576764928,4465977,0,0,0,
1010399,1010399,0,,1005440,1005439,0,,985860,985828,0,,3001699,3001666,0,576326208,576328704,4468453,0,0,0,
1014096,1014096,0,,1007451,1007452,0,,989986,990016,0,,3011533,3011564,0,578214336,578211072,4458589,0,0,0,
1010704,1010704,0,,1004585,1004585,0,,988287,988289,0,,3003576,3003578,0,576686592,576693504,4466561,0,0,0,
1012297,1012297,0,,1006685,1006685,0,,988339,988339,0,,3007321,3007321,0,577405632,577398528,4462721,0,0,0,
1011778,1011778,0,,1006703,1006703,0,,987508,987508,0,,3005989,3005989,0,577149888,577156800,4464129,0,0,0,
1013123,1013123,0,,1005452,1005452,0,,987376,987376,0,,3005951,3005951,0,577142592,577138368,4464151,0,0,0,
1012718,1012718,0,,1006996,1006996,0,,988840,988840,0,,3008554,3008554,0,577642368,577640448,4461284,0,0,0,
1013805,1013805,0,,1008052,1008020,0,,989019,989019,0,,3010876,3010844,0,578088192,578091456,4459270,0,0,0,
1011640,1011640,0,,1005616,1005647,0,,987773,987773,0,,3005029,3005060,0,576965568,576965568,4465062,0,0,0,
1010507,1010507,0,,1004722,1004721,0,,986992,986992,0,,3002221,3002220,0,576426432,576426240,4467632,0,0,0,
1012244,1012244,0,,1006426,1006428,0,,988940,988940,0,,3007610,3007612,0,577461120,577461696,4462527,0,0,0,
1010853,1010853,0,,1004503,1004503,0,,986284,986284,0,,3001640,3001640,0,576314880,576320832,4468377,0,0,0,
1008692,1008692,0,,1003516,1003516,0,,985712,985711,0,,2997920,2997919,0,575606592,575598528,4472029,0,0,0,
1011247,1011247,0,,1006840,1006840,0,,987033,987033,0,,3005120,3005120,0,576977088,576977472,4465014,0,0,0,
1011952,1011952,0,,1006284,1006284,0,,987545,987544,0,,3005781,3005780,0,577115712,577108608,4463998,0,0,0,
1011837,1011837,0,,1004700,1004698,0,,988367,988368,0,,3004904,3004903,0,576935808,576939264,4465231,0,0,0,
1009254,1009254,0,,1002697,1002699,0,,985043,985044,0,,2996994,2996997,0,575422848,575424576,4473007,0,0,0,
1013122,1013122,0,,1007815,1007812,0,,988378,988378,0,,3009315,3009312,0,577788480,577787136,4460641,0,0,0,
1011076,1011076,0,,1007319,1007322,0,,988357,988354,0,,3006752,3006752,0,577296384,577299264,4463252,0,0,0,
1014156,1014156,0,,1008530,1008529,0,,990488,990488,0,,3013174,3013173,0,578529408,578527488,4456757,0,0,0,
253702,253702,0,,253328,253297,0,,248178,248149,0,,755208,755148,0,144999936,144986880,1089698,0,0,0,
13605,13605,0,,13588,13620,0,,13429,13459,0,,40622,40684,0,7799424,7813824,0,0,0,0,
1006066,1006066,0,,1000841,1000841,0,,982569,982571,0,,2989476,2989478,0,573979392,573980160,731454,0,0,0,
1007531,1007531,0,,1002339,1002307,0,,984289,984289,0,,2994159,2994127,0,574878528,574877952,741279,0,0,0,
1009030,1009030,0,,1002652,1002684,0,,985429,985429,0,,2997111,2997143,0,575445312,575451072,738245,0,0,0,
1010623,1010623,0,,1004748,1004748,0,,987966,987966,0,,3003337,3003337,0,576640704,576637248,732057,0,0,0,
1010173,1010173,0,,1004156,1004124,0,,986013,986012,0,,3000342,3000309,0,576065664,576066432,735039,0,0,0,
1011390,1011390,0,,1004704,1004736,0,,987872,987873,0,,3003966,3003999,0,576767616,576756096,731346,0,0,0,
1012512,1012512,0,,1006024,1005992,0,,988323,988321,0,,3006859,3006825,0,577310784,577320960,728627,0,0,0,
1008228,1008228,0,,1003718,1003749,0,,984779,984781,0,,2996725,2996758,0,575371200,575370816,738684,0,0,0,
1007510,1007510,0,,1000661,1000662,0,,983949,983946,0,,2992120,2992118,0,574487040,574490496,743175,0,0,0,
1008087,1008087,0,,1000441,1000441,0,,985131,985134,0,,2993659,2993662,0,574782528,574782336,741737,0,0,0,
1006627,1006627,0,,1000053,1000053,0,,984375,984374,0,,2991055,2991054,0,574282560,574277568,744349,0,0,0,
1012470,1012470,0,,1006559,1006559,0,,987750,987751,0,,3006779,3006780,0,577313856,577303104,728676,0,0,0,
1010457,1010457,0,,1003816,1003816,0,,986984,986984,0,,3001257,3001257,0,576229056,576238656,734113,0,0,0,
1008269,1008269,0,,1003120,1003120,0,,984770,984770,0,,2996159,2996159,0,575262528,575265600,739228,0,0,0,
1010777,1010777,0,,1005607,1005604,0,,986116,986115,0,,3002500,3002496,0,576480000,576475776,733025,0,0,0,
1007843,1007843,0,,1003033,1003036,0,,985210,985211,0,,2996086,2996090,0,575248512,575249088,739177,0,0,0,
1008072,1008072,0,,1003299,1003299,0,,984963,984960,0,,2996334,2996331,0,575302272,575295936,739144,0,0,0,
1011708,1011708,0,,1006139,1006139,0,,986982,986985,0,,3004829,3004832,0,576927168,576931392,730566,0,0,0,
1005874,1005874,0,,1001514,1001514,0,,983028,983028,0,,2990416,2990416,0,574153728,574161024,744908,0,0,0,
1010160,1010160,0,,1004772,1004772,0,,985690,985690,0,,3000622,3000622,0,576119424,576116544,734888,0,0,0,
1008889,1008889,0,,1002839,1002839,0,,985788,985788,0,,2997516,2997516,0,575523072,575526144,737734,0,0,0,
1008864,1008864,0,,1002357,1002357,0,,985558,985557,0,,2996779,2996778,0,575387520,575381376,738510,0,0,0,
1009180,1009180,0,,1003703,1003703,0,,985733,985734,0,,2998616,2998617,0,575734464,575738880,736837,0,0,0,
658192,658192,0,,654822,654790,0,,642643,642611,0,,1955657,1955593,0,375480000,375463872,471885,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
386648,386648,0,,386648,386648,0,,386592,386592,0,,1159888,1159888,0,222698496,222698496,0,0,0,0,
624569,624569,0,,624574,624574,0,,624484,624484,0,,1873627,1873627,0,359736384,359736576,0,0,0,0,
624597,624597,0,,624592,624600,0,,624512,624512,0,,1873701,1873709,0,359752128,359753472,0,0,0,0,
624571,624571,0,,624542,624563,0,,624472,624472,0,,1873585,1873606,0,359732352,359735232,0,0,0,0,
624572,624572,0,,624601,624604,0,,624483,624515,0,,1873656,1873691,0,359736384,359747136,0,0,0,0,
624571,624571,0,,624571,624539,0,,624481,624449,0,,1873623,1873559,0,359735616,359720448,0,0,0,0,
624568,624568,0,,624574,624574,0,,624484,624484,0,,1873626,1873626,0,359736192,359737344,0,0,0,0,
624599,624599,0,,624592,624600,0,,624472,624504,0,,1873663,1873703,0,359743296,359751936,0,0,0,0,
624542,624542,0,,624542,624561,0,,624484,624476,0,,1873568,1873579,0,359725056,359725056,0,0,0,0,
624597,624597,0,,624598,624571,0,,624508,624484,0,,1873703,1873652,0,359750976,359741184,0,0,0,0,
624568,624568,0,,624574,624574,0,,624484,624484,0,,1873626,1873626,0,359736192,359736192,0,0,0,0,
624565,624565,0,,624558,624574,0,,624447,624479,0,,1873570,1873618,0,359725440,359735616,0,0,0,0,
624573,624573,0,,624573,624557,0,,624506,624474,0,,1873652,1873604,0,359741184,359731008,0,0,0,0,
624574,624574,0,,624574,624574,0,,624484,624484,0,,1873632,1873632,0,359737344,359737344,0,0,0,0,
624595,624595,0,,624593,624601,0,,624511,624511,0,,1873699,1873707,0,359751744,359752704,0,0,0,0,
624570,624570,0,,624573,624574,0,,624475,624484,0,,1873618,1873628,0,359733120,359735616,0,0,0,0,
624575,624575,0,,624575,624574,0,,624485,624484,0,,1873635,1873633,0,359737920,359737536,0,0,0,0,
624601,624601,0,,624600,624600,0,,624512,624512,0,,1873713,1873713,0,359752896,359754240,0,0,0,0,
624546,624546,0,,624544,624567,0,,624454,624476,0,,1873544,1873589,0,359720448,359727744,0,0,0,0,
624593,624593,0,,624596,624565,0,,624506,624476,0,,1873695,1873634,0,359749440,359737728,0,0,0,0,
624558,624558,0,,624534,624558,0,,624444,624468,0,,1873536,1873584,0,359728128,359734272,0,0,0,0,
624579,624579,0,,624600,624600,0,,624514,624522,0,,1873693,1873701,0,359739840,359745600,0,0,0,0,
624569,624569,0,,624571,624547,0,,624479,624447,0,,1873619,1873563,0,359734848,359722944,0,0,0,0,
624556,624556,0,,624557,624574,0,,624467,624484,0,,1873580,1873614,0,359727360,359733888,0,0,0,0,
16904,16904,0,,16903,16886,0,,16901,16884,0,,50708,50674,0,9735936,9729408,0,0,0,0,
217714,217714,0,,217714,217722,0,,217682,217691,0,,653110,653127,0,125397120,125400384,0,0,0,0,
933174,933174,0,,933174,933176,0,,933040,933041,0,,2799388,2799391,0,537482496,537483072,0,0,0,0,
933208,933208,0,,933207,933201,0,,933073,933063,0,,2799488,2799472,0,537502464,537500544,0,0,0,0,
933179,933179,0,,933163,933176,0,,933047,933047,0,,2799389,2799402,0,537485184,537483264,0,0,0,0,
933168,933168,0,,933152,933167,0,,933034,933042,0,,2799354,2799377,0,537478848,537482112,0,0,0,0,
933163,933163,0,,933198,933183,0,,933009,933033,0,,2799370,2799379,0,537472896,537480576,0,0,0,0,
