Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
481930,481930,0,,475077,475079,0,,445874,445874,0,,452722,452725,0,,445007,445010,0,,2300610,2300618,0,588956160,588969216,10198730,0,0,0,
482045,482045,0,,474927,474927,0,,446546,446545,0,,451997,451997,0,,444861,444859,0,,2300376,2300373,0,588896256,588881664,10198984,0,0,0,
438575,438575,0,,432743,432711,0,,406062,406031,0,,411469,411437,0,,404818,404788,0,,2093667,2093542,0,535978752,535946752,9101361,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
12817,12817,0,,12668,12699,0,,11864,11896,0,,12021,12053,0,,11910,11942,0,,61280,61407,0,15687680,15722240,64908,0,0,0,
482644,482644,0,,476125,476126,0,,447361,447361,0,,453145,453143,0,,445016,445013,0,,2304291,2304287,0,589898496,589899776,3945536,0,0,0,
483729,483729,0,,476281,476281,0,,446325,446325,0,,452210,452212,0,,445039,445042,0,,2303584,2303589,0,589717504,589720320,3946240,0,0,0,
482908,482908,0,,476350,476347,0,,445913,445913,0,,452734,452731,0,,445577,445577,0,,2303482,2303476,0,589691392,589689088,3946442,0,0,0,
483416,483416,0,,476400,476403,0,,446575,446575,0,,452149,452152,0,,445279,445279,0,,2303819,2303825,0,589785856,589784832,3945817,0,0,0,
483204,483204,0,,476247,476247,0,,446338,446338,0,,453024,453022,0,,444469,444469,0,,2303282,2303280,0,589640192,589641216,3946340,0,0,0,
482836,482836,0,,476443,476443,0,,446497,446495,0,,453034,453034,0,,445607,445607,0,,2304417,2304415,0,589922560,589923584,3945814,0,0,0,
482365,482365,0,,475946,475946,0,,446133,446135,0,,452038,452040,0,,444852,444852,0,,2301334,2301338,0,589141504,589142272,3948331,0,0,0,
482435,482435,0,,475403,475403,0,,446294,446291,0,,452324,452324,0,,445356,445355,0,,2301812,2301808,0,589263872,589257984,3947912,0,0,0,
482444,482444,0,,476329,476329,0,,446285,446288,0,,452597,452597,0,,444682,444683,0,,2302337,2302341,0,589406464,589413120,3947512,0,0,0,
