Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
1958314,1958314,0,,11951209,11951205,0,,1027682,1027684,0,,14937205,14937203,0,2867943168,2867945664,0,0,0,0,
1958903,1958903,0,,11950110,11950114,0,,1028065,1028063,0,,14937078,14937080,0,2867919168,2867920896,0,0,0,0,
1958341,1958341,0,,11950916,11950916,0,,1027801,1027801,0,,14937058,14937058,0,2867915136,2867914752,0,0,0,0,
1958570,1958570,0,,11950754,11950742,0,,1027798,1027798,0,,14937122,14937110,0,2867925120,2867921472,0,0,0,0,
1958301,1958301,0,,11950930,11950910,0,,1027687,1027687,0,,14936918,14936898,0,2867884416,2867892480,0,0,0,0,
1959000,1959000,0,,11950138,11950138,0,,1028120,1028120,0,,14937258,14937258,0,2867953536,2867957568,0,0,0,0,
1466115,1466115,0,,8947403,8947403,0,,769380,769380,0,,11182898,11182898,0,2147116416,2147104128,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1572572,1572572,0,,7482641,7482673,0,,825376,825376,0,,9880589,9880621,0,1897079232,1897091328,2102603,0,0,0,
2955776,2955776,0,,14066341,14066341,0,,1551149,1551149,0,,18573266,18573266,0,3566067072,3566059200,3968924,0,0,0,
2955807,2955807,0,,14064883,14064883,0,,1551201,1551201,0,,18571891,18571891,0,3565803264,3565804608,3970213,0,0,0,
2955810,2955810,0,,14063088,14063088,0,,1551217,1551228,0,,18570115,18570126,0,3565464000,3565470336,3972334,0,0,0,
2955766,2955766,0,,14067196,14067196,0,,1551149,1551138,0,,18574111,18574100,0,3566227200,3566221440,3967714,0,0,0,
2955697,2955697,0,,14067072,14067069,0,,1551173,1551173,0,,18573942,18573939,0,3566196288,3566190336,3967983,0,0,0,
2955707,2955707,0,,14069928,14069899,0,,1551096,1551096,0,,18576731,18576702,0,3566727552,3566732928,3965441,0,0,0,
2955639,2955639,0,,14070335,14070367,0,,1551091,1551105,0,,18577065,18577111,0,3566798400,3566800704,3965064,0,0,0,
2955535,2955535,0,,14071959,14071959,0,,1551098,1551084,0,,18578592,18578578,0,3567093120,3567096576,3963448,0,0,0,
2955702,2955702,0,,14072753,14072721,0,,1551143,1551143,0,,18579598,18579566,0,3567276672,3567273216,3962472,0,0,0,
2955759,2955759,0,,14064301,14064331,0,,1551183,1551183,0,,18571243,18571273,0,3565684416,3565679040,3970721,0,0,0,
2955802,2955802,0,,14073248,14073249,0,,1551207,1551207,0,,18580257,18580258,0,3567403584,3567407040,3961924,0,0,0,
2955761,2955761,0,,14070466,14070464,0,,1551178,1551178,0,,18577405,18577403,0,3566867328,3566870784,3964237,0,0,0,
2955840,2955840,0,,14071798,14071769,0,,1551217,1551217,0,,18578855,18578826,0,3567134592,3567137664,3963651,0,0,0,
2955663,2955663,0,,14065055,14065087,0,,1551179,1551180,0,,18571897,18571930,0,3565810560,3565809792,3969575,0,0,0,
2955755,2955755,0,,14070973,14070973,0,,1551198,1551200,0,,18577926,18577928,0,3566962944,3566957760,3964037,0,0,0,
2955661,2955661,0,,14072132,14072132,0,,1551180,1551177,0,,18578973,18578970,0,3567161472,3567161856,3962497,0,0,0,
2955648,2955648,0,,14067475,14067475,0,,1551116,1551116,0,,18574239,18574239,0,3566253888,3566253312,3967528,0,0,0,
2955713,2955713,0,,14066504,14066504,0,,1551157,1551157,0,,18573374,18573374,0,3566087808,3566082240,3968663,0,0,0,
2955750,2955750,0,,14071223,14071223,0,,1551120,1551130,0,,18578093,18578103,0,3566995776,3567002304,3963545,0,0,0,
2955752,2955752,0,,14072264,14072262,0,,1551190,1551180,0,,18579206,18579194,0,3567205248,3567198528,3962303,0,0,0,
2955727,2955727,0,,14072812,14072814,0,,1551138,1551138,0,,18579677,18579679,0,3567298560,3567300672,3961963,0,0,0,
2955668,2955668,0,,14065842,14065810,0,,1551104,1551110,0,,18572614,18572588,0,3565936704,3565940160,3969073,0,0,0,
