Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4830288,4830288,0,,4827836,4827866,0,,9658124,9658154,0,1612906708,1854367680,1547947,0,0,0,
8660350,8660350,0,,8618504,8618505,0,,17278854,17278855,0,2885568618,3317538048,2804839,0,0,0,
8752372,8752372,0,,8645460,8645461,0,,17397832,17397833,0,2905437944,3340383936,2685493,0,0,0,
8690207,8690207,0,,8636290,8636290,0,,17326497,17326497,0,2893530343,3326687424,2757058,0,0,0,
8669453,8669453,0,,8580658,8580658,0,,17250111,17250111,0,2880763193,3312021312,2833623,0,0,0,
8709315,8709315,0,,8605625,8605625,0,,17314940,17314940,0,2891594980,3324468480,2768514,0,0,0,
8704887,8704887,0,,8631379,8631379,0,,17336266,17336266,0,2895156422,3328563072,2747524,0,0,0,
8669314,8669314,0,,8608339,8608338,0,,17277653,17277652,0,2885373228,3317309184,2805645,0,0,0,
8682036,8682036,0,,8625650,8625651,0,,17307686,17307687,0,2890383729,3323078400,2775792,0,0,0,
8672332,8672332,0,,8618431,8618399,0,,17290763,17290731,0,2887552077,3319824000,2792827,0,0,0,
8704962,8704962,0,,8655327,8655327,0,,17360289,17360289,0,2899168263,3333175104,2723409,0,0,0,
8681807,8681807,0,,8610654,8610685,0,,17292461,17292492,0,2887840987,3320152704,2791232,0,0,0,
8701385,8701385,0,,8603168,8603169,0,,17304553,17304554,0,2889860351,3322474368,2778848,0,0,0,
8706076,8706076,0,,8607193,8607191,0,,17313269,17313267,0,2891315923,3324147264,2770509,0,0,0,
8706315,8706315,0,,8637949,8637951,0,,17344264,17344266,0,2896492088,3330099072,2739060,0,0,0,
8725228,8725228,0,,8594925,8594925,0,,17320153,17320153,0,2892465551,3325469376,2763575,0,0,0,
8762650,8762650,0,,8618400,8618398,0,,17381050,17381048,0,2902635350,3337161216,2702706,0,0,0,
8702668,8702668,0,,8586392,8586391,0,,17289060,17289059,0,2887277863,3319505472,2794266,0,0,0,
8751529,8751529,0,,8594442,8594444,0,,17345971,17345973,0,2896772314,3330420672,2737953,0,0,0,
8777430,8777430,0,,8582396,8582365,0,,17359826,17359795,0,2899090942,3333086592,2723316,0,0,0,
8819696,8819696,0,,8585723,8585752,0,,17405419,17405448,0,2906704973,3341840064,2678367,0,0,0,
8822484,8822484,0,,8556696,8556697,0,,17379180,17379181,0,2902328070,3336806592,2704111,0,0,0,
8734711,8734711,0,,8648141,8648140,0,,17382852,17382851,0,2902931274,3337503552,2700920,0,0,0,
8748700,8748700,0,,8606260,8606263,0,,17354960,17354963,0,2898283664,3332154240,2728552,0,0,0,
8735433,8735433,0,,8560438,8560438,0,,17295871,17295871,0,2888405113,3320805888,2787847,0,0,0,
8731496,8731496,0,,8576713,8576681,0,,17308209,17308177,0,2890470903,3323177088,2775365,0,0,0,
8761701,8761701,0,,8591413,8591445,0,,17353114,17353146,0,2897975382,3331797504,2730244,0,0,0,
8776168,8776168,0,,8583586,8583586,0,,17359754,17359754,0,2899073574,3333072192,2723985,0,0,0,
8765782,8765782,0,,8577754,8577753,0,,17343536,17343535,0,2896370512,3329958720,2739983,0,0,0,
8761981,8761981,0,,8565954,8565955,0,,17327935,17327936,0,2893770489,3326963712,2755474,0,0,0,
