Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
7499135,7499135,0,,7499137,7499139,0,,7499089,7499093,0,,7499096,7499083,0,,7499084,7499084,0,,37495541,37495534,0,7424115732,9598855424,0,0,0,0,
7499090,7499090,0,,7499090,7499091,0,,7499043,7499043,0,,7499043,7499043,0,,7499034,7499052,0,,37495300,37495319,0,7424073162,9598802688,0,0,0,0,
7499177,7499177,0,,7499177,7499176,0,,7499129,7499129,0,,7499122,7499138,0,,7499130,7499129,0,,37495735,37495749,0,7424158302,9598908416,0,0,0,0,
7499118,7499118,0,,7499118,7499116,0,,7499071,7499069,0,,7499070,7499068,0,,7499071,7499068,0,,37495448,37495439,0,7424096922,9598818048,0,0,0,0,
7499149,7499149,0,,7499157,7499145,0,,7499109,7499097,0,,7499111,7499097,0,,7499111,7499097,0,,37495637,37495585,0,7424125830,9598888704,0,0,0,0,
7499114,7499114,0,,7499097,7499112,0,,7499068,7499065,0,,7499065,7499078,0,,7499065,7499078,0,,37495409,37495447,0,7424103258,9598821632,0,0,0,0,
3539216,3539216,0,,3539224,3539207,0,,3539185,3539185,0,,3539186,3539173,0,,3539186,3539173,0,,17695997,17695954,0,3503794140,4530158080,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2228511,2228511,0,,2228509,2228522,0,,2228494,2228508,0,,2228496,2228508,0,,2228496,2228508,0,,11142506,11142557,0,2206226286,2852494592,0,0,0,0,
8563255,8563255,0,,8563257,8563261,0,,8563203,8563207,0,,8563211,8563199,0,,8563201,8563207,0,,42816127,42816129,0,8477593542,10960937728,0,0,0,0,
8563594,8563594,0,,8563594,8563595,0,,8563541,8563540,0,,8563530,8563548,0,,8563540,8563540,0,,42817799,42817817,0,8477927766,10961357056,0,0,0,0,
8561331,8561331,0,,8561331,8561330,0,,8561278,8561276,0,,8561278,8561276,0,,8561277,8561276,0,,42806495,42806489,0,8475684822,10958475008,0,0,0,0,
8561484,8561484,0,,8561492,8561475,0,,8561437,8561422,0,,8561429,8561431,0,,8561430,8561432,0,,42807272,42807244,0,8475841440,10958654208,0,0,0,0,
8563254,8563254,0,,8563255,8563255,0,,8563183,8563201,0,,8563210,8563192,0,,8563200,8563199,0,,42816102,42816101,0,8477584434,10960921344,0,0,0,0,
8565619,8565619,0,,8565610,8565627,0,,8565574,8565572,0,,8565564,8565564,0,,8565566,8565563,0,,42827933,42827945,0,8479932912,10963954176,0,0,0,0,
