Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
6217237,6217237,0,,6262933,6262903,0,,12480170,12480140,0,2084188390,2396193024,7603179,0,0,0,
6218630,6218630,0,,6264479,6264510,0,,12483109,12483140,0,2084679203,2396756736,7600554,0,0,0,
6209597,6209597,0,,6301935,6301935,0,,12511532,12511532,0,2089425844,2402214144,7571980,0,0,0,
6231799,6231799,0,,6325046,6325015,0,,12556845,12556814,0,2096993115,2410915008,7526792,0,0,0,
6204449,6204449,0,,6252066,6252095,0,,12456515,12456544,0,2080238005,2391649728,7627168,0,0,0,
6208878,6208878,0,,6254245,6254248,0,,12463123,12463126,0,2081341541,2392920192,7620465,0,0,0,
6229470,6229470,0,,6251166,6251166,0,,12480636,12480636,0,2084266212,2396282112,7602933,0,0,0,
6212270,6212270,0,,6263384,6263384,0,,12475654,12475654,0,2083434218,2395325568,7607767,0,0,0,
6251017,6251017,0,,6273150,6273150,0,,12524167,12524167,0,2091535889,2404640064,7559633,0,0,0,
6247117,6247117,0,,6259008,6259006,0,,12506125,12506123,0,2088522875,2401175616,7577423,0,0,0,
6213733,6213733,0,,6267692,6267692,0,,12481425,12481425,0,2084397975,2396433600,7602277,0,0,0,
6280383,6280383,0,,6280154,6280153,0,,12560537,12560536,0,2097609679,2411622912,7522791,0,0,0,
6245710,6245710,0,,6264060,6264061,0,,12509770,12509771,0,2089131590,2401876032,7573949,0,0,0,
577521,577521,0,,592112,592082,0,,1169633,1169603,0,195328711,224563776,705105,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3003695,3003695,0,,3003691,3003691,0,,6007386,6007386,0,1003233462,1153424448,0,0,0,0,
4998708,4998708,0,,4999638,4999657,0,,9998346,9998365,0,1669723782,1919679744,945,0,0,0,
4998763,4998763,0,,4999645,4999658,0,,9998408,9998421,0,1669739480,1919698560,893,0,0,0,
4998628,4998628,0,,4999554,4999554,0,,9998182,9998182,0,1669696394,1919649216,918,0,0,0,
4998713,4998713,0,,4999674,4999642,0,,9998387,9998355,0,1669725285,1919684160,939,0,0,0,
4998711,4998711,0,,4999628,4999654,0,,9998339,9998365,0,1669722613,1919686080,929,0,0,0,
4998766,4998766,0,,4999650,4999651,0,,9998416,9998417,0,1669735472,1919696064,865,0,0,0,
4998961,4998961,0,,4999640,4999613,0,,9998601,9998574,0,1669766367,1919728512,630,0,0,0,
4998815,4998815,0,,4999666,4999692,0,,9998481,9998507,0,1669746327,1919711040,921,0,0,0,
4998917,4998917,0,,4999639,4999613,0,,9998556,9998530,0,1669758852,1919717760,708,0,0,0,
4998791,4998791,0,,4999657,4999687,0,,9998448,9998478,0,1669740816,1919707776,897,0,0,0,
4998938,4998938,0,,4999648,4999648,0,,9998586,9998586,0,1669763862,1919728512,691,0,0,0,
4998762,4998762,0,,4999556,4999557,0,,9998318,9998319,0,1669719106,1919677248,901,0,0,0,
4998922,4998922,0,,4999754,4999755,0,,9998676,9998677,0,1669778892,1919745984,716,0,0,0,
4998826,4998826,0,,4999672,4999640,0,,9998498,9998466,0,1669749166,1919705472,836,0,0,0,
4999161,4999161,0,,4999613,4999613,0,,9998774,9998774,0,1669795258,1919764608,459,0,0,0,
