Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
815567,815567,0,,2241883,2241871,0,,10249599,10249578,0,,1629068,1629068,0,,14936117,14936084,0,2867728320,2867727936,0,0,0,0,
815866,815866,0,,2242528,2242528,0,,10249035,10249034,0,,1629420,1629420,0,,14936849,14936848,0,2867874816,2867871744,0,0,0,0,
815650,815650,0,,2241882,2241882,0,,10250471,10250493,0,,1628993,1628993,0,,14936996,14937018,0,2867901120,2867912640,0,0,0,0,
815642,815642,0,,2241984,2241984,0,,10250026,10249994,0,,1629489,1629511,0,,14937141,14937131,0,2867935296,2867927040,0,0,0,0,
815579,815579,0,,2241935,2241935,0,,10249390,10249422,0,,1629005,1628983,0,,14935909,14935919,0,2867697216,2867697984,0,0,0,0,
815903,815903,0,,2242533,2242534,0,,10248981,10248949,0,,1629427,1629427,0,,14936844,14936813,0,2867871552,2867877312,0,0,0,0,
815639,815639,0,,2241879,2241878,0,,10250138,10250146,0,,1629385,1629386,0,,14937041,14937049,0,2867910336,2867899776,0,0,0,0,
815598,815598,0,,2242013,2242013,0,,10250163,10250155,0,,1629161,1629160,0,,14936935,14936926,0,2867889984,2867893632,0,0,0,0,
815771,815771,0,,2242338,2242370,0,,10249837,10249837,0,,1629232,1629232,0,,14937178,14937210,0,2867942976,2867942016,0,0,0,0,
815786,815786,0,,2242096,2242064,0,,10249879,10249903,0,,1629189,1629189,0,,14936950,14936942,0,2867888256,2867890176,0,0,0,0,
815677,815677,0,,2241973,2241973,0,,10249761,10249769,0,,1629367,1629367,0,,14936778,14936786,0,2867867520,2867865600,0,0,0,0,
815584,815584,0,,2241963,2241977,0,,10250314,10250282,0,,1629161,1629163,0,,14937022,14937006,0,2867905344,2867914752,0,0,0,0,
815904,815904,0,,2242601,2242619,0,,10249180,10249180,0,,1629448,1629446,0,,14937133,14937149,0,2867932416,2867923968,0,0,0,0,
749184,749184,0,,2059300,2059268,0,,9414102,9414102,0,,1496377,1496377,0,,13718963,13718931,0,2634034752,2634031104,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
394926,394926,0,,1085448,1085449,0,,4704551,4704583,0,,788943,788943,0,,6973868,6973901,0,1338988800,1339006656,248493,0,0,0,
1231057,1231057,0,,3383685,3383684,0,,14696315,14696283,0,,2458720,2458726,0,,21769777,21769750,0,4179792768,4179790848,772291,0,0,0,
1231062,1231062,0,,3383736,3383745,0,,14696496,14696528,0,,2458857,2458851,0,,21770151,21770186,0,4179878400,4179872832,772361,0,0,0,
1231066,1231066,0,,3383780,3383771,0,,14701863,14701863,0,,2458875,2458875,0,,21775584,21775575,0,4180900992,4180898688,766888,0,0,0,
1231051,1231051,0,,3383759,3383759,0,,14694906,14694906,0,,2458835,2458844,0,,21768551,21768560,0,4179571008,4179568896,773711,0,0,0,
1231000,1231000,0,,3383713,3383713,0,,14703931,14703931,0,,2458879,2458870,0,,21777523,21777514,0,4181281536,4181281728,764657,0,0,0,
1230959,1230959,0,,3383484,3383484,0,,14695284,14695284,0,,2458373,2458373,0,,21768100,21768100,0,4179475008,4179476160,772622,0,0,0,
1231060,1231060,0,,3383688,3383688,0,,14696318,14696318,0,,2458902,2458902,0,,21769968,21769968,0,4179833856,4179832320,772370,0,0,0,
1231007,1231007,0,,3383790,3383790,0,,14698516,14698484,0,,2458820,2458820,0,,21772133,21772101,0,4180243392,4180243392,770204,0,0,0,
1231020,1231020,0,,3383775,3383775,0,,14689946,14689978,0,,2458867,2458867,0,,21763608,21763640,0,4178623104,4178618304,778556,0,0,0,
1231031,1231031,0,,3383691,3383691,0,,14710888,14710888,0,,2458818,2458818,0,,21784428,21784428,0,4182607488,4182612672,757584,0,0,0,
1230949,1230949,0,,3383576,3383576,0,,14696360,14696360,0,,2458781,2458781,0,,21769666,21769666,0,4179774720,4179778560,771708,0,0,0,
1230744,1230744,0,,3383050,3383082,0,,14693312,14693309,0,,2458326,2458327,0,,21765432,21765462,0,4178968320,4178963904,774343,0,0,0,
