Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
2267231,2267231,0,,2284949,2284949,0,,4552180,4552180,0,1165366272,1165359872,1697486,0,0,0,
2268801,2268801,0,,2285480,2285477,0,,4554281,4554278,0,1165895168,1165891840,1695493,0,0,0,
2266719,2266719,0,,2282384,2282387,0,,4549103,4549106,0,1164571136,1164566016,1700624,0,0,0,
2265796,2265796,0,,2283065,2283033,0,,4548861,4548829,0,1164500224,1164509696,1700866,0,0,0,
21996,21996,0,,23034,23034,0,,45030,45030,0,11527680,11515648,9807,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1168124,1168124,0,,1201224,1201224,0,,2369348,2369348,0,606553088,606553088,0,0,0,0,
1537306,1537306,0,,1583470,1583470,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1537439,1537439,0,,1583337,1583337,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1537551,1537551,0,,1583225,1583225,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1538710,1538710,0,,1582066,1582074,0,,3120776,3120784,0,798918656,798920704,0,0,0,0,
1539207,1539207,0,,1581579,1581603,0,,3120786,3120810,0,798921216,798933504,0,0,0,0,
1538477,1538477,0,,1582361,1582356,0,,3120838,3120833,0,798934528,798929920,0,0,0,0,
1539974,1539974,0,,1580858,1580831,0,,3120832,3120805,0,798932992,798923264,0,0,0,0,
1538886,1538886,0,,1581890,1581890,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1539187,1539187,0,,1581589,1581589,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1538102,1538102,0,,1582674,1582674,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1538302,1538302,0,,1582474,1582474,0,,3120776,3120776,0,798918656,798918656,0,0,0,0,
1537835,1537835,0,,1582950,1582952,0,,3120785,3120787,0,798920960,798928896,0,0,0,0,
1538308,1538308,0,,1582526,1582524,0,,3120834,3120832,0,798933504,798934784,0,0,0,0,
1536933,1536933,0,,1583858,1583858,0,,3120791,3120791,0,798922496,798918656,0,0,0,0,
1538277,1538277,0,,1582545,1582545,0,,3120822,3120822,0,798930432,798925056,0,0,0,0,
1538015,1538015,0,,1582742,1582761,0,,3120757,3120776,0,798918656,798918656,0,0,0,0,
433049,433049,0,,444636,444617,0,,877685,877666,0,224682496,224682496,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1447260,1447260,0,,1488949,1488981,0,,2936209,2936241,0,751669504,751683840,0,0,0,0,
2274335,2274335,0,,2294353,2294353,0,,4568688,4568688,0,1169584128,1169586432,118183,0,0,0,
2274803,2274803,0,,2292914,2292914,0,,4567717,4567717,0,1169335552,1169337600,127173,0,0,0,
2270665,2270665,0,,2287552,2287520,0,,4558217,4558185,0,1166903552,1166899200,137688,0,0,0,
2276359,2276359,0,,2296257,2296289,0,,4572616,4572648,0,1170589696,1170592768,123857,0,0,0,
2271136,2271136,0,,2288554,2288551,0,,4559690,4559687,0,1167280640,1167270656,137457,0,0,0,
2273317,2273317,0,,2293630,2293633,0,,4566947,4566950,0,1169146624,1169147136,128901,0,0,0,
2271335,2271335,0,,2289445,2289445,0,,4560780,4560780,0,1167551488,1167556352,136047,0,0,0,
2272185,2272185,0,,2293652,2293652,0,,4565837,4565837,0,1168854272,1168851968,130388,0,0,0,
2273711,2273711,0,,2292892,2292892,0,,4566603,4566603,0,1169050368,1169052160,130195,0,0,0,
2275724,2275724,0,,2295875,2295875,0,,4571599,4571599,0,1170329344,1170327552,124720,0,0,0,
2272120,2272120,0,,2292047,2292047,0,,4564167,4564167,0,1168426752,1168437504,132511,0,0,0,
2273062,2273062,0,,2292926,2292926,0,,4565988,4565988,0,1168901120,1168881152,130751,0,0,0,
2272356,2272356,0,,2292541,2292541,0,,4564897,4564897,0,1168605440,1168614400,132383,0,0,0,
2273594,2273594,0,,2291657,2291625,0,,4565251,4565219,0,1168704256,1168702208,131614,0,0,0,
2270842,2270842,0,,2290186,2290218,0,,4561028,4561060,0,1167623168,1167632384,134606,0,0,0,
2271224,2271224,0,,2289931,2289931,0,,4561155,4561155,0,1167663872,1167648000,135365,0,0,0,
1239288,1239288,0,,1251005,1250973,0,,2490293,2490261,0,637506816,637505280,70281,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
511566,511566,0,,523412,523412,0,,1034978,1034978,0,264954368,264954368,0,0,0,0,
1929830,1929830,0,,1985156,1985156,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1928600,1928600,0,,1986386,1986386,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1929325,1929325,0,,1985661,1985661,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1928914,1928914,0,,1986033,1986065,0,,3914947,3914979,0,1002234624,1002236416,0,0,0,0,
1931179,1931179,0,,1983846,1983814,0,,3915025,3914993,0,1002238208,1002236416,0,0,0,0,
1929646,1929646,0,,1985370,1985370,0,,3915016,3915016,0,1002244096,1002244096,0,0,0,0,
1928791,1928791,0,,1986195,1986195,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1928922,1928922,0,,1986064,1986064,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1929207,1929207,0,,1985779,1985779,0,,3914986,3914986,0,1002236416,1002236416,0,0,0,0,
1929884,1929884,0,,1985100,1985102,0,,3914984,3914986,0,1002235904,1002237440,0,0,0,0,
1930618,1930618,0,,1984370,1984368,0,,3914988,3914986,0,1002236928,1002235392,0,0,0,0,
